mode,score_model,risk_model,rule,thresholds,coverage,low_to_high_covered,D1_hidden_pred_ge4_covered,flag_rate_on_gold_high,MAE,QWK,low_to_high,high_to_low,label5_recall,D1_hidden_pred_ge4
abstention,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 5}",0.8446251129177959,0.3181818181818182,0.7142857142857143,0.15661375661375662,,,,,,
abstention,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.8446251129177959,0.3181818181818182,0.7142857142857143,0.15661375661375662,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",0.8012646793134598,0.24444444444444444,0.6875,0.19894179894179895,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",0.931345980126468,0.32,0.75,0.06666666666666667,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 2, ""risk_threshold"": 3, ""score_cap_threshold"": null, ""score_threshold"": 4}",0.931345980126468,0.32,0.75,0.06666666666666667,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",0.8012646793134598,0.24444444444444444,0.6875,0.19894179894179895,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",0.8012646793134598,0.24444444444444444,0.6875,0.19894179894179895,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",0.931345980126468,0.32,0.75,0.06666666666666667,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.8970189701897019,0.2765957446808511,0.7222222222222222,0.10582010582010581,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.957542908762421,0.3333333333333333,0.7619047619047619,0.042328042328042326,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 1, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.957542908762421,0.3333333333333333,0.7619047619047619,0.042328042328042326,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 2, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.957542908762421,0.3333333333333333,0.7619047619047619,0.042328042328042326,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 5}",0.8970189701897019,0.2765957446808511,0.7222222222222222,0.10582010582010581,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.8970189701897019,0.2765957446808511,0.7222222222222222,0.10582010582010581,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 3, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.957542908762421,0.3333333333333333,0.7619047619047619,0.042328042328042326,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",0.8202348690153568,0.2608695652173913,0.7058823529411765,0.17989417989417988,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",0.8202348690153568,0.2608695652173913,0.7058823529411765,0.17989417989417988,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",0.8202348690153568,0.2608695652173913,0.7058823529411765,0.17989417989417988,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_pred_le,"{""gap_threshold"": null, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.987353206865402,0.39285714285714285,0.8,0.013756613756613757,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_pred_le,"{""gap_threshold"": null, ""risk_threshold"": 3, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.9051490514905149,0.2916666666666667,0.7368421052631579,0.09735449735449736,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 1, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 2, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 3, ""score_cap_threshold"": 2, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 3, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 1, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.987353206865402,0.39285714285714285,0.8,0.013756613756613757,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 2, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.987353206865402,0.39285714285714285,0.8,0.013756613756613757,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 3, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.987353206865402,0.39285714285714285,0.8,0.013756613756613757,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 1, ""risk_threshold"": 3, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 2, ""risk_threshold"": 3, ""score_cap_threshold"": null, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 5}",0.9051490514905149,0.2916666666666667,0.7368421052631579,0.09735449735449736,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.9051490514905149,0.2916666666666667,0.7368421052631579,0.09735449735449736,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
abstention,r5g_a3_real_only_s50_b0p05_lr5em6,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 3, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",0.960252935862692,0.34615384615384615,0.7727272727272727,0.04021164021164021,,,,,,
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.6214995483288166,0.4861169867541838,0.12280701754385964,0.006349206349206349,0.670863309352518,0.2692307692307692
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.48419150858175247,0.5247366352936773,0.2807017543859649,0.006349206349206349,0.7517985611510791,0.46153846153846156
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.4679313459801265,0.5232253947998086,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",,,,,0.5609756097560976,0.51136716492728,0.22807017543859648,0.006349206349206349,0.7535971223021583,0.46153846153846156
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 2, ""risk_threshold"": 3, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.48419150858175247,0.5247366352936773,0.2807017543859649,0.006349206349206349,0.7517985611510791,0.46153846153846156
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.6214995483288166,0.4861169867541838,0.12280701754385964,0.006349206349206349,0.670863309352518,0.2692307692307692
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",,,,,0.6214995483288166,0.4861169867541838,0.12280701754385964,0.006349206349206349,0.670863309352518,0.2692307692307692
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.48419150858175247,0.5247366352936773,0.2807017543859649,0.006349206349206349,0.7517985611510791,0.46153846153846156
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_pred_le,"{""gap_threshold"": null, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",,,,,0.4327009936766034,0.5330277391884369,0.47368421052631576,0.006349206349206349,0.8111510791366906,0.8461538461538461
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 5}",,,,,0.5284552845528455,0.4944848996838439,0.22807017543859648,0.006349206349206349,0.670863309352518,0.34615384615384615
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 5}",,,,,0.45438121047877145,0.520340102712724,0.42105263157894735,0.006349206349206349,0.7787769784172662,0.7307692307692307
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",,,,,0.46883468834688347,0.5239991474946438,0.3333333333333333,0.006349206349206349,0.7535971223021583,0.5384615384615384
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 1, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",,,,,0.4327009936766034,0.5330277391884369,0.47368421052631576,0.006349206349206349,0.8111510791366906,0.8461538461538461
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 2, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",,,,,0.4327009936766034,0.5330277391884369,0.47368421052631576,0.006349206349206349,0.8111510791366906,0.8461538461538461
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 3, ""risk_threshold"": 1, ""score_cap_threshold"": null, ""score_threshold"": 5}",,,,,0.4327009936766034,0.5330277391884369,0.47368421052631576,0.006349206349206349,0.8111510791366906,0.8461538461538461
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 5}",,,,,0.5284552845528455,0.4944848996838439,0.22807017543859648,0.006349206349206349,0.670863309352518,0.34615384615384615
downgrade,r4b_shuffled_reason_balanced,r5h_h1_from_r5f2_real_highprotect_s10_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 5}",,,,,0.5284552845528455,0.4944848996838439,0.22807017543859648,0.006349206349206349,0.670863309352518,0.34615384615384615
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_pred_le,"{""gap_threshold"": null, ""risk_threshold"": 2, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.4670280036133695,0.5221622677207703,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.6115627822944896,0.4848282388139954,0.14035087719298245,0.006349206349206349,0.6762589928057554,0.3076923076923077
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_ge,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.48148148148148145,0.5224353795495511,0.2982456140350877,0.006349206349206349,0.7553956834532374,0.5
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.4670280036133695,0.5221622677207703,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,score_cap_le,"{""gap_threshold"": null, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",,,,,0.5537488708220416,0.5074778328872426,0.24561403508771928,0.006349206349206349,0.7553956834532374,0.5
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 1, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.4670280036133695,0.5221622677207703,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 1, ""score_cap_threshold"": 3, ""score_threshold"": 4}",,,,,0.5537488708220416,0.5074778328872426,0.24561403508771928,0.006349206349206349,0.7553956834532374,0.5
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 2, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.4670280036133695,0.5221622677207703,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_or_score_cap,"{""gap_threshold"": null, ""risk_threshold"": 2, ""score_cap_threshold"": 3, ""score_threshold"": 4}",,,,,0.5537488708220416,0.5074778328872426,0.24561403508771928,0.006349206349206349,0.7553956834532374,0.5
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 1, ""risk_threshold"": 2, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.4670280036133695,0.5221622677207703,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 2, ""risk_threshold"": 2, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.4670280036133695,0.5221622677207703,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,risk_and_gap,"{""gap_threshold"": 2, ""risk_threshold"": 3, ""score_cap_threshold"": null, ""score_threshold"": 4}",,,,,0.48148148148148145,0.5224353795495511,0.2982456140350877,0.006349206349206349,0.7553956834532374,0.5
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.6115627822944896,0.4848282388139954,0.14035087719298245,0.006349206349206349,0.6762589928057554,0.3076923076923077
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 1, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",,,,,0.6115627822944896,0.4848282388139954,0.14035087719298245,0.006349206349206349,0.6762589928057554,0.3076923076923077
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.48148148148148145,0.5224353795495511,0.2982456140350877,0.006349206349206349,0.7553956834532374,0.5
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 2, ""risk_threshold"": null, ""score_cap_threshold"": 3, ""score_threshold"": 4}",,,,,0.5537488708220416,0.5074778328872426,0.24561403508771928,0.006349206349206349,0.7553956834532374,0.5
downgrade,r4b_shuffled_reason_balanced,r5h_h2_from_r5f2_real_highprotect_s20_b0p02_lr1e6,gap_or_score_cap,"{""gap_threshold"": 3, ""risk_threshold"": null, ""score_cap_threshold"": 2, ""score_threshold"": 4}",,,,,0.4670280036133695,0.5221622677207703,0.3684210526315789,0.006349206349206349,0.7787769784172662,0.6538461538461539
