variant,split,threshold_method,metric,n,MAE,low_to_high_count,true_low_n,low_to_high_rate,label2_n,label2_recall
qmr,test,boundary_tower_tau,Higher-Order Thinking & Skill Development,89,0.48314606741573035,2,6,0.3333333333333333,6,0.0
qmr,test,boundary_tower_tau,Instruction Following & Task Completion,195,0.38461538461538464,5,5,1.0,5,0.0
qmr,test,boundary_tower_tau,"Motivation, Guidance & Positive Feedback",68,0.5,4,4,1.0,4,0.0
qmr,test,boundary_tower_tau,"Personalization, Adaptation & Learning Support",69,0.36231884057971014,0,2,0.0,2,0.0
qmr,test,boundary_tower_tau,Reasoning Process Rigor,79,0.7215189873417721,2,10,0.2,1,0.0
qmr,test,boundary_tower_tau,Role & Tone Consistency,50,0.14,0,0,nan,0,nan
qmr,test,boundary_tower_tau,Scenario Element Integration,110,0.32727272727272727,0,0,nan,0,nan
qmr,dev,global_threshold_on_s,Basic Factual Accuracy,130,0.6307692307692307,2,2,1.0,2,0.0
qmr,dev,global_threshold_on_s,"Clarity, Simplicity & Inspiration",90,0.5555555555555556,4,4,1.0,4,0.0
qmr,dev,global_threshold_on_s,Content Relevance & Scope Control,125,0.584,2,2,1.0,2,0.0
qmr,dev,global_threshold_on_s,Domain Knowledge Accuracy,65,0.4,0,0,nan,0,nan
qmr,dev,global_threshold_on_s,Error Identification & Correction Precision,35,0.6857142857142857,5,5,1.0,4,0.0
qmr,dev,global_threshold_on_s,Higher-Order Thinking & Skill Development,83,0.9156626506024096,7,7,1.0,7,0.0
qmr,dev,global_threshold_on_s,Instruction Following & Task Completion,200,0.52,7,7,1.0,7,0.0
qmr,dev,global_threshold_on_s,"Motivation, Guidance & Positive Feedback",60,0.9333333333333333,9,9,1.0,4,0.0
qmr,dev,global_threshold_on_s,"Personalization, Adaptation & Learning Support",70,0.4714285714285714,1,1,1.0,1,0.0
qmr,dev,global_threshold_on_s,Reasoning Process Rigor,84,0.42857142857142855,3,16,0.1875,3,0.0
qmr,dev,global_threshold_on_s,Role & Tone Consistency,50,0.2,0,0,nan,0,nan
qmr,dev,global_threshold_on_s,Scenario Element Integration,115,0.45217391304347826,4,4,1.0,4,0.0
qmr,dev,metric_threshold_on_s,Basic Factual Accuracy,130,0.23846153846153847,2,2,1.0,2,0.0
qmr,dev,metric_threshold_on_s,"Clarity, Simplicity & Inspiration",90,0.6444444444444445,4,4,1.0,4,0.0
qmr,dev,metric_threshold_on_s,Content Relevance & Scope Control,125,0.472,2,2,1.0,2,0.0
qmr,dev,metric_threshold_on_s,Domain Knowledge Accuracy,65,0.4,0,0,nan,0,nan
qmr,dev,metric_threshold_on_s,Error Identification & Correction Precision,35,0.5714285714285714,5,5,1.0,4,0.0
qmr,dev,metric_threshold_on_s,Higher-Order Thinking & Skill Development,83,0.6987951807228916,4,7,0.5714285714285714,7,0.0
qmr,dev,metric_threshold_on_s,Instruction Following & Task Completion,200,0.565,7,7,1.0,7,0.0
qmr,dev,metric_threshold_on_s,"Motivation, Guidance & Positive Feedback",60,0.8333333333333334,9,9,1.0,4,0.0
qmr,dev,metric_threshold_on_s,"Personalization, Adaptation & Learning Support",70,0.38571428571428573,0,1,0.0,1,0.0
qmr,dev,metric_threshold_on_s,Reasoning Process Rigor,84,0.4642857142857143,3,16,0.1875,3,0.0
qmr,dev,metric_threshold_on_s,Role & Tone Consistency,50,0.22,0,0,nan,0,nan
qmr,dev,metric_threshold_on_s,Scenario Element Integration,115,0.4956521739130435,4,4,1.0,4,0.0
qmr,test,global_threshold_on_s,Basic Factual Accuracy,125,0.64,1,1,1.0,1,0.0
qmr,test,global_threshold_on_s,"Clarity, Simplicity & Inspiration",85,0.49411764705882355,2,2,1.0,2,0.0
qmr,test,global_threshold_on_s,Content Relevance & Scope Control,130,0.46923076923076923,1,1,1.0,1,0.0
qmr,test,global_threshold_on_s,Domain Knowledge Accuracy,65,0.4153846153846154,0,0,nan,0,nan
qmr,test,global_threshold_on_s,Error Identification & Correction Precision,38,0.5789473684210527,0,0,nan,0,nan
qmr,test,global_threshold_on_s,Higher-Order Thinking & Skill Development,89,0.5730337078651685,6,6,1.0,6,0.0
qmr,test,global_threshold_on_s,Instruction Following & Task Completion,195,0.517948717948718,5,5,1.0,5,0.0
qmr,test,global_threshold_on_s,"Motivation, Guidance & Positive Feedback",68,0.4852941176470588,4,4,1.0,4,0.0
qmr,test,global_threshold_on_s,"Personalization, Adaptation & Learning Support",69,0.5797101449275363,2,2,1.0,2,0.0
qmr,test,global_threshold_on_s,Reasoning Process Rigor,79,0.5569620253164557,2,10,0.2,1,0.0
qmr,test,global_threshold_on_s,Role & Tone Consistency,50,0.2,0,0,nan,0,nan
qmr,test,global_threshold_on_s,Scenario Element Integration,110,0.42727272727272725,0,0,nan,0,nan
qmr,test,metric_threshold_on_s,Basic Factual Accuracy,125,0.152,1,1,1.0,1,0.0
qmr,test,metric_threshold_on_s,"Clarity, Simplicity & Inspiration",85,0.5647058823529412,2,2,1.0,2,0.0
qmr,test,metric_threshold_on_s,Content Relevance & Scope Control,130,0.4230769230769231,1,1,1.0,1,0.0
qmr,test,metric_threshold_on_s,Domain Knowledge Accuracy,65,0.5230769230769231,0,0,nan,0,nan
qmr,test,metric_threshold_on_s,Error Identification & Correction Precision,38,0.47368421052631576,0,0,nan,0,nan
qmr,test,metric_threshold_on_s,Higher-Order Thinking & Skill Development,89,0.6292134831460674,5,6,0.8333333333333334,6,0.16666666666666666
qmr,test,metric_threshold_on_s,Instruction Following & Task Completion,195,0.441025641025641,5,5,1.0,5,0.0
qmr,test,metric_threshold_on_s,"Motivation, Guidance & Positive Feedback",68,0.5735294117647058,4,4,1.0,4,0.0
qmr,test,metric_threshold_on_s,"Personalization, Adaptation & Learning Support",69,0.463768115942029,0,2,0.0,2,0.5
qmr,test,metric_threshold_on_s,Reasoning Process Rigor,79,0.6582278481012658,2,10,0.2,1,0.0
qmr,test,metric_threshold_on_s,Role & Tone Consistency,50,0.26,0,0,nan,0,nan
qmr,test,metric_threshold_on_s,Scenario Element Integration,110,0.5727272727272728,0,0,nan,0,nan
qmr,dev,oracle_dev_threshold_on_s,Basic Factual Accuracy,130,0.676923076923077,2,2,1.0,2,0.0
qmr,dev,oracle_dev_threshold_on_s,"Clarity, Simplicity & Inspiration",90,0.5,4,4,1.0,4,0.0
qmr,dev,oracle_dev_threshold_on_s,Content Relevance & Scope Control,125,0.6,2,2,1.0,2,0.0
qmr,dev,oracle_dev_threshold_on_s,Domain Knowledge Accuracy,65,0.36923076923076925,0,0,nan,0,nan
qmr,dev,oracle_dev_threshold_on_s,Error Identification & Correction Precision,35,0.8285714285714286,5,5,1.0,4,0.0
qmr,dev,oracle_dev_threshold_on_s,Higher-Order Thinking & Skill Development,83,0.8674698795180723,7,7,1.0,7,0.0
qmr,dev,oracle_dev_threshold_on_s,Instruction Following & Task Completion,200,0.535,7,7,1.0,7,0.0
qmr,dev,oracle_dev_threshold_on_s,"Motivation, Guidance & Positive Feedback",60,0.8666666666666667,9,9,1.0,4,0.0
qmr,dev,oracle_dev_threshold_on_s,"Personalization, Adaptation & Learning Support",70,0.44285714285714284,1,1,1.0,1,0.0
qmr,dev,oracle_dev_threshold_on_s,Reasoning Process Rigor,84,0.4166666666666667,3,16,0.1875,3,0.0
qmr,dev,oracle_dev_threshold_on_s,Role & Tone Consistency,50,0.18,0,0,nan,0,nan
qmr,dev,oracle_dev_threshold_on_s,Scenario Element Integration,115,0.4260869565217391,4,4,1.0,4,0.0
metric_rubric,dev,boundary_tower_tau,Basic Factual Accuracy,130,0.23846153846153847,2,2,1.0,2,0.0
metric_rubric,dev,boundary_tower_tau,"Clarity, Simplicity & Inspiration",90,0.5111111111111111,4,4,1.0,4,0.0
metric_rubric,dev,boundary_tower_tau,Content Relevance & Scope Control,125,0.32,2,2,1.0,2,0.0
metric_rubric,dev,boundary_tower_tau,Domain Knowledge Accuracy,65,0.4307692307692308,0,0,nan,0,nan
metric_rubric,dev,boundary_tower_tau,Error Identification & Correction Precision,35,0.6857142857142857,5,5,1.0,4,0.0
metric_rubric,dev,boundary_tower_tau,Higher-Order Thinking & Skill Development,83,0.5783132530120482,0,7,0.0,7,0.0
metric_rubric,dev,boundary_tower_tau,Instruction Following & Task Completion,200,0.495,7,7,1.0,7,0.0
metric_rubric,dev,boundary_tower_tau,"Motivation, Guidance & Positive Feedback",60,0.6666666666666666,5,9,0.5555555555555556,4,0.0
metric_rubric,dev,boundary_tower_tau,"Personalization, Adaptation & Learning Support",70,0.3,1,1,1.0,1,0.0
metric_rubric,dev,boundary_tower_tau,Reasoning Process Rigor,84,0.5238095238095238,3,16,0.1875,3,0.0
metric_rubric,dev,boundary_tower_tau,Role & Tone Consistency,50,0.16,0,0,nan,0,nan
metric_rubric,dev,boundary_tower_tau,Scenario Element Integration,115,0.34782608695652173,4,4,1.0,4,0.0
metric_rubric,test,boundary_tower_tau,Basic Factual Accuracy,125,0.176,1,1,1.0,1,0.0
metric_rubric,test,boundary_tower_tau,"Clarity, Simplicity & Inspiration",85,0.35294117647058826,2,2,1.0,2,0.0
metric_rubric,test,boundary_tower_tau,Content Relevance & Scope Control,130,0.3153846153846154,1,1,1.0,1,0.0
metric_rubric,test,boundary_tower_tau,Domain Knowledge Accuracy,65,0.4307692307692308,0,0,nan,0,nan
metric_rubric,test,boundary_tower_tau,Error Identification & Correction Precision,38,0.47368421052631576,0,0,nan,0,nan
metric_rubric,test,boundary_tower_tau,Higher-Order Thinking & Skill Development,89,0.5168539325842697,2,6,0.3333333333333333,6,0.0
metric_rubric,test,boundary_tower_tau,Instruction Following & Task Completion,195,0.4307692307692308,5,5,1.0,5,0.0
metric_rubric,test,boundary_tower_tau,"Motivation, Guidance & Positive Feedback",68,0.5147058823529411,2,4,0.5,4,0.0
metric_rubric,test,boundary_tower_tau,"Personalization, Adaptation & Learning Support",69,0.37681159420289856,0,2,0.0,2,0.0
metric_rubric,test,boundary_tower_tau,Reasoning Process Rigor,79,0.4430379746835443,2,10,0.2,1,0.0
metric_rubric,test,boundary_tower_tau,Role & Tone Consistency,50,0.12,0,0,nan,0,nan
metric_rubric,test,boundary_tower_tau,Scenario Element Integration,110,0.34545454545454546,0,0,nan,0,nan
metric_rubric,dev,global_threshold_on_s,Basic Factual Accuracy,130,0.6538461538461539,2,2,1.0,2,0.0
metric_rubric,dev,global_threshold_on_s,"Clarity, Simplicity & Inspiration",90,0.6,4,4,1.0,4,0.0
metric_rubric,dev,global_threshold_on_s,Content Relevance & Scope Control,125,0.552,2,2,1.0,2,0.0
metric_rubric,dev,global_threshold_on_s,Domain Knowledge Accuracy,65,0.4,0,0,nan,0,nan
metric_rubric,dev,global_threshold_on_s,Error Identification & Correction Precision,35,0.7428571428571429,5,5,1.0,4,0.0
metric_rubric,dev,global_threshold_on_s,Higher-Order Thinking & Skill Development,83,0.7710843373493976,7,7,1.0,7,0.0
metric_rubric,dev,global_threshold_on_s,Instruction Following & Task Completion,200,0.455,7,7,1.0,7,0.0
metric_rubric,dev,global_threshold_on_s,"Motivation, Guidance & Positive Feedback",60,0.8,9,9,1.0,4,0.0
metric_rubric,dev,global_threshold_on_s,"Personalization, Adaptation & Learning Support",70,0.4,1,1,1.0,1,0.0
metric_rubric,dev,global_threshold_on_s,Reasoning Process Rigor,84,0.42857142857142855,3,16,0.1875,3,0.0
metric_rubric,dev,global_threshold_on_s,Role & Tone Consistency,50,0.14,0,0,nan,0,nan
metric_rubric,dev,global_threshold_on_s,Scenario Element Integration,115,0.4260869565217391,4,4,1.0,4,0.0
metric_rubric,dev,metric_threshold_on_s,Basic Factual Accuracy,130,0.2923076923076923,2,2,1.0,2,0.0
metric_rubric,dev,metric_threshold_on_s,"Clarity, Simplicity & Inspiration",90,0.5,4,4,1.0,4,0.0
metric_rubric,dev,metric_threshold_on_s,Content Relevance & Scope Control,125,0.336,2,2,1.0,2,0.0
metric_rubric,dev,metric_threshold_on_s,Domain Knowledge Accuracy,65,0.4307692307692308,0,0,nan,0,nan
metric_rubric,dev,metric_threshold_on_s,Error Identification & Correction Precision,35,0.6571428571428571,5,5,1.0,4,0.0
metric_rubric,dev,metric_threshold_on_s,Higher-Order Thinking & Skill Development,83,0.7349397590361446,7,7,1.0,7,0.0
metric_rubric,dev,metric_threshold_on_s,Instruction Following & Task Completion,200,0.47,7,7,1.0,7,0.0
metric_rubric,dev,metric_threshold_on_s,"Motivation, Guidance & Positive Feedback",60,0.7333333333333333,9,9,1.0,4,0.0
metric_rubric,dev,metric_threshold_on_s,"Personalization, Adaptation & Learning Support",70,0.2714285714285714,1,1,1.0,1,0.0
metric_rubric,dev,metric_threshold_on_s,Reasoning Process Rigor,84,0.4523809523809524,3,16,0.1875,3,0.0
metric_rubric,dev,metric_threshold_on_s,Role & Tone Consistency,50,0.18,0,0,nan,0,nan
metric_rubric,dev,metric_threshold_on_s,Scenario Element Integration,115,0.3652173913043478,4,4,1.0,4,0.0
metric_rubric,test,global_threshold_on_s,Basic Factual Accuracy,125,0.72,1,1,1.0,1,0.0
metric_rubric,test,global_threshold_on_s,"Clarity, Simplicity & Inspiration",85,0.5176470588235295,2,2,1.0,2,0.0
metric_rubric,test,global_threshold_on_s,Content Relevance & Scope Control,130,0.47692307692307695,1,1,1.0,1,0.0
metric_rubric,test,global_threshold_on_s,Domain Knowledge Accuracy,65,0.47692307692307695,0,0,nan,0,nan
metric_rubric,test,global_threshold_on_s,Error Identification & Correction Precision,38,0.631578947368421,0,0,nan,0,nan
metric_rubric,test,global_threshold_on_s,Higher-Order Thinking & Skill Development,89,0.5730337078651685,6,6,1.0,6,0.0
metric_rubric,test,global_threshold_on_s,Instruction Following & Task Completion,195,0.48205128205128206,4,5,0.8,5,0.0
metric_rubric,test,global_threshold_on_s,"Motivation, Guidance & Positive Feedback",68,0.5,4,4,1.0,4,0.0
metric_rubric,test,global_threshold_on_s,"Personalization, Adaptation & Learning Support",69,0.5072463768115942,2,2,1.0,2,0.0
metric_rubric,test,global_threshold_on_s,Reasoning Process Rigor,79,0.5443037974683544,2,10,0.2,1,0.0
metric_rubric,test,global_threshold_on_s,Role & Tone Consistency,50,0.2,0,0,nan,0,nan
metric_rubric,test,global_threshold_on_s,Scenario Element Integration,110,0.41818181818181815,0,0,nan,0,nan
metric_rubric,test,metric_threshold_on_s,Basic Factual Accuracy,125,0.208,1,1,1.0,1,0.0
metric_rubric,test,metric_threshold_on_s,"Clarity, Simplicity & Inspiration",85,0.5529411764705883,2,2,1.0,2,0.0
metric_rubric,test,metric_threshold_on_s,Content Relevance & Scope Control,130,0.3230769230769231,1,1,1.0,1,0.0
metric_rubric,test,metric_threshold_on_s,Domain Knowledge Accuracy,65,0.5076923076923077,0,0,nan,0,nan
metric_rubric,test,metric_threshold_on_s,Error Identification & Correction Precision,38,0.5,0,0,nan,0,nan
metric_rubric,test,metric_threshold_on_s,Higher-Order Thinking & Skill Development,89,0.5955056179775281,6,6,1.0,6,0.0
metric_rubric,test,metric_threshold_on_s,Instruction Following & Task Completion,195,0.4153846153846154,5,5,1.0,5,0.0
metric_rubric,test,metric_threshold_on_s,"Motivation, Guidance & Positive Feedback",68,0.5588235294117647,4,4,1.0,4,0.0
metric_rubric,test,metric_threshold_on_s,"Personalization, Adaptation & Learning Support",69,0.391304347826087,0,2,0.0,2,0.0
metric_rubric,test,metric_threshold_on_s,Reasoning Process Rigor,79,0.4936708860759494,2,10,0.2,1,0.0
metric_rubric,test,metric_threshold_on_s,Role & Tone Consistency,50,0.18,0,0,nan,0,nan
metric_rubric,test,metric_threshold_on_s,Scenario Element Integration,110,0.4,0,0,nan,0,nan
metric_rubric,dev,oracle_dev_threshold_on_s,Basic Factual Accuracy,130,0.43846153846153846,2,2,1.0,2,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,"Clarity, Simplicity & Inspiration",90,0.6333333333333333,4,4,1.0,4,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,Content Relevance & Scope Control,125,0.408,2,2,1.0,2,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,Domain Knowledge Accuracy,65,0.36923076923076925,0,0,nan,0,nan
metric_rubric,dev,oracle_dev_threshold_on_s,Error Identification & Correction Precision,35,0.6857142857142857,5,5,1.0,4,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,Higher-Order Thinking & Skill Development,83,0.8795180722891566,7,7,1.0,7,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,Instruction Following & Task Completion,200,0.425,7,7,1.0,7,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,"Motivation, Guidance & Positive Feedback",60,0.9333333333333333,9,9,1.0,4,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,"Personalization, Adaptation & Learning Support",70,0.44285714285714284,1,1,1.0,1,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,Reasoning Process Rigor,84,0.4523809523809524,3,16,0.1875,3,0.0
metric_rubric,dev,oracle_dev_threshold_on_s,Role & Tone Consistency,50,0.16,0,0,nan,0,nan
metric_rubric,dev,oracle_dev_threshold_on_s,Scenario Element Integration,115,0.4434782608695652,4,4,1.0,4,0.0
