synthetic_id,synthetic_plan_id,target_label_5,suggested_label_5,language,metric_canonical,error_type,suggested_error_type,decision,can_use_after_revision,manual_notes
syn_eab74509411ddb5f,b96_060,2,,zh,Domain Knowledge Accuracy,rubric_violation,factual_error,revise_error_type,TRUE,manual override: error_type revised from rubric_violation to factual_error.
syn_0cefcfbf9c371f9f,b96_061,2,,en,Domain Knowledge Accuracy,factual_error,,accept,TRUE,
syn_2e332d4542524c50,b96_062,2,,zh,Domain Knowledge Accuracy,rubric_violation,factual_error,revise_error_type,TRUE,manual override: error_type revised from rubric_violation to factual_error.
syn_3187b2c67a067d7d,b96_063,2,,en,Domain Knowledge Accuracy,factual_error,,accept,TRUE,
syn_bc3a83cb8d92dfc0,b96_064,3,,zh,Domain Knowledge Accuracy,rubric_violation,factual_error,revise_error_type,TRUE,manual override: error_type revised from rubric_violation to factual_error.
syn_2b02067d6cd76e78,b96_065,1,,en,Role & Tone Consistency,scenario_mismatch,,accept,TRUE,
syn_1f3f4bf3d1e4288c,b96_066,1,2,zh,Role & Tone Consistency,superficial_fluency,,revise_label,TRUE,manual override: target label revised from 1 to 2.
syn_7e6b2147dbaab22d,b96_067,1,,en,Role & Tone Consistency,scenario_mismatch,,accept,TRUE,
syn_b2bf125c90b74cad,b96_068,2,,zh,Role & Tone Consistency,superficial_fluency,,accept,TRUE,
syn_fb3da1fd660fa0d1,b96_069,2,,en,Role & Tone Consistency,scenario_mismatch,,accept,TRUE,format-only or shallow-output risk reviewed; accepted as low/boundary synthetic sample.
syn_c1f7b5b3307f6537,b96_070,2,,zh,Role & Tone Consistency,superficial_fluency,,accept,TRUE,
syn_278f26f7426bc862,b96_071,3,,en,Role & Tone Consistency,scenario_mismatch,,accept,TRUE,format-only or shallow-output risk reviewed; accepted as low/boundary synthetic sample.
syn_28784ba134533fec,b96_072,3,,zh,Role & Tone Consistency,superficial_fluency,,accept,TRUE,format-only or shallow-output risk reviewed; accepted as low/boundary synthetic sample.
syn_beedb805961c16f3,b96_073,1,,en,Content Relevance & Scope Control,scenario_mismatch,,accept,TRUE,
syn_8c48afe220a3da6a,b96_074,1,,zh,Content Relevance & Scope Control,rubric_violation,scenario_mismatch,revise_error_type,TRUE,manual override: error_type revised from rubric_violation to scenario_mismatch.
syn_6f75c3f1a4ee114f,b96_075,1,,en,Content Relevance & Scope Control,scenario_mismatch,,reject,FALSE,manual override: reject_from_low_score_pool / relabel upward archive; content may be too good for low-score pool.
syn_942f8d9a1452adf5,b96_076,2,,zh,Content Relevance & Scope Control,rubric_violation,scenario_mismatch,revise_error_type,TRUE,manual override: error_type revised from rubric_violation to scenario_mismatch.
syn_42c59111c5532284,b96_077,2,,en,Content Relevance & Scope Control,scenario_mismatch,,accept,TRUE,format-only heuristic risk reviewed under default policy; accepted as low/boundary synthetic sample.
syn_ef5440a1929006b7,b96_078,2,,zh,Content Relevance & Scope Control,rubric_violation,scenario_mismatch,revise_error_type,TRUE,manual override: error_type revised from rubric_violation to scenario_mismatch.
syn_b2fc302bafa59ac9,b96_079,3,,en,Content Relevance & Scope Control,scenario_mismatch,,accept,TRUE,
syn_6804d8697be845c8,b96_080,3,,zh,Content Relevance & Scope Control,rubric_violation,,accept,TRUE,
syn_be0c55c2a79384de,b96_081,1,2,en,"Clarity, Simplicity & Inspiration",superficial_fluency,,revise_label,TRUE,manual override: target label revised from 1 to 2.
syn_c462648918e4b258,b96_083,1,,en,"Clarity, Simplicity & Inspiration",superficial_fluency,,accept,TRUE,
syn_1a59f7c638953632,b96_084,2,,zh,"Clarity, Simplicity & Inspiration",rubric_violation,,accept,TRUE,format-only or shallow-output risk reviewed; accepted as low/boundary synthetic sample.
syn_3cf5ef0e78eb8502,b96_085,2,,en,"Clarity, Simplicity & Inspiration",superficial_fluency,,accept,TRUE,
syn_a017739a74f0f6fc,b96_086,2,,zh,"Clarity, Simplicity & Inspiration",rubric_violation,,accept,TRUE,format-only or shallow-output risk reviewed; accepted as low/boundary synthetic sample.
syn_f77737026c871c7a,b96_087,3,,en,"Clarity, Simplicity & Inspiration",superficial_fluency,,accept,TRUE,
syn_bf28699b3ae3fd73,b96_088,3,,zh,"Clarity, Simplicity & Inspiration",rubric_violation,superficial_fluency,revise_error_type,TRUE,manual override: error_type revised from rubric_violation to superficial_fluency.
syn_d721f90674792944,b96_089,1,,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,,accept,TRUE,
syn_beef4b0077943495,b96_090,1,,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,,accept,TRUE,
syn_297c58f91f599858,b96_091,1,,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,,accept,TRUE,
syn_7249df2a7777cfce,b96_092,2,,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,,accept,TRUE,
syn_45410ad18a9c3687,b96_093,2,,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,,accept,TRUE,
syn_a8d5bf87c88e086d,b96_094,2,,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,,accept,TRUE,
syn_585b595943a9f19c,b96_095,3,,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,,accept,TRUE,
syn_bc42d317803956c0,b96_096,3,,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,,accept,TRUE,
