sample_id,pilot_group,metric,language,subject,original_human_score,qwen_score,deepseek_score,calibrated_score,recommended_training_use,sample_weight,calibration_source,calibration_confidence,codex_top80_direct_review,target_issue_flag,calibration_note,calibrated_reason_preview
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,exp27f_top40_conflict_reaudit,Content Relevance & Scope Control,en,General Pedagogy,2,5,5,5,review_only,0.25,dual_teacher_consensus,medium,True,False,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,"The evaluator output is highly relevant to the specified topic of Constructivist Learning Theory and provides teaching materials in the requested JSON format. It includes all required components: teaching objectives, key points and difficulties, and classroom "
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,exp27f_top40_conflict_reaudit,Basic Factual Accuracy,zh,Basic Medicine,2,5,5,5,review_only,0.25,dual_teacher_consensus,medium,True,False,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,The evaluator output correctly identifies that the student's answer (C - hyperpolarization) is wrong and accurately explains that hyperpolarization is indeed a step in the action potential process. It correctly identifies D (calcium ion influx) as the correct 
46133cfb383c1c10e94bab324dabdce1277ab939,exp27f_top40_conflict_reaudit,Instruction Following & Task Completion,zh,Mathematics,4,4,1,4,low_weight,1.0,human_qwen_agreement,medium,True,False,Original human score agrees with Qwen; DeepSeek is de-weighted by conflict or lower reliability.,"The evaluator output follows the requested JSON format with '评分', '评分细节', and '个性化反馈' fields. It provides detailed reasoning for each option and personalized feedback addressing the student's specific choices. However, there is a mathematical accuracy concern:"
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,exp27f_top40_conflict_reaudit,Higher-Order Thinking & Skill Development,en,Geography,5,2,2,2,review_only,0.25,dual_teacher_consensus,medium,True,True,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,"The evaluator output provides a factual explanation of plate tectonics and mountain formation without incorporating any critical thinking questions, tasks, or prompts that would engage higher-order skills. It merely presents information for comprehension, alig"
b9f1c6853708c1217088b33dabe3b2ce1f70233e,exp27f_top40_conflict_reaudit,"Clarity, Simplicity & Inspiration",zh,Applied Economics,4,3,2,3,review_only,0.25,codex_top80_conservative_median,medium,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The evaluator output provides a structured JSON with clear steps for analyzing dynamic efficiency in a two-sector economic model. However, the explanation is somewhat mechanical and lacks vivid, engaging language that would inspire deeper thinking at a PhD lev"
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,zh,General Pedagogy,5,4,1,4,review_only,0.25,codex_top80_conservative_median,low,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The evaluator output provides a correct assessment and detailed feedback, but the reasoning process lacks a rigorous logical chain. It asserts the answer is correct and describes the method's features, but does not explicitly reason through why 'cooperative le"
b01129b756e85be3f61bf81d006ca0e61ef3e530,exp27f_top40_conflict_reaudit,Scenario Element Integration,zh,Business Administration,4,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output effectively uses the main scenario elements: it correctly identifies the student's moderate anxiety, references the specific difficulties with Chinese characters and texts, and addresses exam-related nervousness. The comfort and suggestion"
b5f54f2d11493dd41a74e9e2274d26451a958dcc,exp27f_top40_conflict_reaudit,Content Relevance & Scope Control,zh,Basic Medicine,1,1,5,1,low_weight,1.0,human_qwen_agreement,medium,True,False,Original human score agrees with Qwen; DeepSeek is de-weighted by conflict or lower reliability.,"The evaluator output contains a critical factual contradiction: it correctly identifies D as the correct answer in the explanation section, but then tells the student 'your choice is correct' when the student actually chose C. This creates a fundamental logica"
e226030ea01e090a606049052bd6c187688f7a7a,exp27f_top40_conflict_reaudit,Content Relevance & Scope Control,en,Crop Science,5,5,5,5,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output is highly relevant to the question about crop success factors. It systematically analyzes each option (soil pH, seed variety, irrigation method, climate conditions) with clear roles, limitations, and dependencies, then provides a well-reas"
eebb6c2d0851b385f14d5f66295db77afd02c747,exp27f_top40_conflict_reaudit,Basic Factual Accuracy,zh,History,5,5,5,5,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output correctly identifies the student's answer as matching the correct options (A, C, E, F). The factual claims in the feedback—that serfdom, the Crusades, the Black Death, and military technology advances significantly influenced medieval feud"
022806ec04a3b92cfcb17f3ba4951ae817c1f854,exp27f_top40_conflict_reaudit,Error Identification & Correction Precision,zh,General Pedagogy,3,2,1,2,low_weight,1.0,adjacent_three_way_consensus,medium,True,True,Human and both teachers are within a small adjacent band; use median score with low weight.,The evaluator output fails to identify a critical factual error in the student's answer. The question asks which teaching method MOST emphasizes active student participation. The canonical answer in pedagogy is typically 'discovery learning' (发现学习法) or 'inquir
18ae31b0930f4812f14b417a1b631e06c74e7410,exp27f_top40_conflict_reaudit,Instruction Following & Task Completion,zh,Crop Science,3,5,5,5,review_only,0.25,dual_teacher_consensus,medium,True,False,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,"The evaluator output fully follows the instruction to generate teaching materials on crop growth model parameter optimization. It includes all required components: teaching objectives (知识与技能, 过程与方法, 情感态度价值观), key and difficult points (重点难点), and classroom acti"
1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,exp27f_top40_conflict_reaudit,Error Identification & Correction Precision,zh,General Pedagogy,1,2,2,2,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output fails to correctly identify the core error in the student's answer. The question asks which teaching method 'most emphasizes' student active participation, implying a single best answer (likely student-centered methods like inquiry-based l"
4a94159b2cfae1127c979628b87af3087401a413,exp27f_top40_conflict_reaudit,"Personalization, Adaptation & Learning Support",en,Biology,3,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output demonstrates good adaptation to the student's situation by identifying specific stressors (Biology coursework, falling behind, high self-expectations) and providing relevant, practical advice including study strategies tailored to Biology "
6195cd84a8bf06d5a3608b3bb6561111e242ace6,exp27f_top40_conflict_reaudit,"Clarity, Simplicity & Inspiration",en,Biology,3,3,4,3,high_weight,2.0,human_qwen_agreement,high,False,False,Original human score agrees with Qwen; DeepSeek is de-weighted by conflict or lower reliability.,"The evaluator output provides clear, structured reasoning for each plant part and correctly identifies leaves as the primary photosynthetic organ. However, for an elementary school audience, the language includes terms like 'chlorophyll', 'stomata', and 'gas e"
6c2ca811835d3ab2cc459573f13c0ae3caf83824,exp27f_top40_conflict_reaudit,"Personalization, Adaptation & Learning Support",zh,Clinical Medicine,3,4,5,4,low_weight,1.0,adjacent_three_way_consensus,medium,False,False,Human and both teachers are within a small adjacent band; use median score with low weight.,"The evaluator output provides a structured learning path and personalized suggestions that address the student's weak points (cardiovascular diagnosis, imaging, pharmacology), learning goal (physician licensing exam), and learning habits (evening study, prefer"
a6a61e243a1f0c09ac86c3557bd39377eff935bc,exp27f_top40_conflict_reaudit,Scenario Element Integration,zh,Clinical Medicine,3,4,3,3,high_weight,2.0,human_deepseek_agreement,high,False,False,Original human score agrees with DeepSeek; Qwen is de-weighted by conflict or lower reliability.,"The output incorporates the student's weak points and study habit, but the suggestions are generic and only shallowly integrate the scenario, resulting in ordinary personalization."
b93239ad93a7561a06f1b07c82c82f44bf81667e,exp27f_top40_conflict_reaudit,"Clarity, Simplicity & Inspiration",zh,Physical Education,3,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output generates a clear, concise multiple-choice question on motor learning and skill acquisition appropriate for university-level Physical Education. The question is well-structured, the options are plausible, and the correct answer (B) aligns "
cd63948c28174674b09c1bed2f6fa389c8ec4a34,exp27f_top40_conflict_reaudit,Scenario Element Integration,zh,Public Administration,3,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output effectively integrates the main scenario elements from the student profile: it addresses the learning goal (public policy understanding and data analysis for policy evaluation), learning style (practical, case-based learning), interests (s"
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,exp27f_top40_conflict_reaudit,Scenario Element Integration,zh,Basic Medicine,3,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output effectively integrates the main scenario elements: it correctly identifies the student's mild anxiety, references the PhD-level pressure, and specifically addresses the student's stated lack of confidence in experimental design and data an"
ff657c059d6b1fdddbeae35add3c566377c0dd86,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,zh,Applied Economics,5,4,5,5,high_weight,2.0,human_deepseek_agreement,high,False,False,Original human score agrees with DeepSeek; Qwen is de-weighted by conflict or lower reliability.,推理链条完整严密，从模型构建到优化方法再到效率条件，步骤清晰，论证充分，无逻辑跳跃。
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,zh,History,3,2,2,2,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output contains a clear factual and logical error in its reasoning. It states the student 'correctly selected three out of four factors' (学生正确选择了四个因素中的三个), but the student actually selected four options (A, C, E, F). Furthermore, the evaluator cl"
107a460ba82cd473b9a08a5d43257a7f1d336874,exp27f_top40_conflict_reaudit,Error Identification & Correction Precision,en,Theoretical Economics,2,2,2,2,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output fails to identify a critical omission in the student's answer: the student did not explain why mutual betrayal in the Prisoner's Dilemma constitutes a Nash Equilibrium (i.e., neither prisoner can unilaterally improve their outcome by switc"
1947f424625d896777f4dbddef16ab9afb7730aa,exp27f_top40_conflict_reaudit,Reasoning Process Rigor,en,Basic Medicine,1,4,5,4,review_only,0.25,codex_top80_conservative_median,medium,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The evaluator output provides correct scoring (1 for True, which is correct) and includes accurate, relevant feedback about liver regeneration. The reasoning in 'Scoring Details' is brief but factually correct, and the 'Personalized Feedback' expands on the co"
3a5e33210fd977f5c8bc6df5dc98a0402f4663ac,exp27f_top40_conflict_reaudit,"Personalization, Adaptation & Learning Support",zh,Basic Medicine,4,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides a structured JSON with emotional state analysis and comfort/suggestions. It demonstrates personalization by referencing the student's specific concerns (PhD pressure, experiment design, data analysis, lack of confidence). The sugg"
41f6f52edd1473f3cc3cde8e6923d1e09fa429d5,exp27f_top40_conflict_reaudit,"Personalization, Adaptation & Learning Support",en,Sociology,4,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The output provides personalized tasks that align with the student's interests (social justice, community engagement), learning styles (kinesthetic and visual), strengths (critical thinking, problem-solving), and areas for improvement (time management, academi"
4468842156d5b938a609185df023c4a860497e75,exp27f_top40_conflict_reaudit,Instruction Following & Task Completion,zh,General Pedagogy,3,4,5,4,low_weight,1.0,adjacent_three_way_consensus,medium,False,False,Human and both teachers are within a small adjacent band; use median score with low weight.,"The evaluator output correctly follows the instruction to provide a JSON with '评分', '评分细节', and '个性化反馈' fields. The content is relevant, the grading rationale is sound (cooperative learning does emphasize active participation), and personalized feedback is pro"
5eca8796afa57332b77efb229a632e49b196cbed,exp27f_top40_conflict_reaudit,"Motivation, Guidance & Positive Feedback",en,Geography,3,4,5,4,low_weight,1.0,adjacent_three_way_consensus,medium,False,False,Human and both teachers are within a small adjacent band; use median score with low weight.,"The evaluator output provides a generally supportive tone with positive language in the personalized feedback section. It offers useful guidance by suggesting the student review a map of the Americas and acknowledges the difficulty of geography. However, the g"
c13167075148a265b283ce6bd0a309d539f243f7,exp27f_top40_conflict_reaudit,"Motivation, Guidance & Positive Feedback",zh,History,3,4,4,4,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides structured, constructive feedback with specific suggestions for improvement (e.g., adding economic dimensions, expanding social groups, detailing policy impacts). The language is positive and supportive ('你的回答清晰概括了民权运动的主干脉络'), and"
e927013b12cac98ecddc4843316f9befc695ed6d,exp27f_top40_conflict_reaudit,Role & Tone Consistency,en,Military Science,5,5,5,5,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output perfectly adopts the role of a supportive teacher/TA providing emotional support. The tone is consistently encouraging, professional, and empathetic throughout. Validation statements, stress management strategies, and closing affirmation a"
a78d41fd92d092509e201d4cb468bba833ecdf3a,train_all_low_label,Reasoning Process Rigor,zh,Law,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer 'C. 先占原则' in JSON format without any reasoning process. The rubric explicitly requires evaluation of reasoning logic chain completeness, clarity, and rigor. A score of 1 is appropriate as there is almost no e"
c1507d3c6bb859e46a5fcae0e2d5475886c36187,train_all_low_label,Reasoning Process Rigor,zh,Law,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer 'C. 先占原则' without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain (推理逻辑链条完整、清晰、严密). The output contains no logical steps, no argumentation, and no explana"
61725aede8ed2f1879dae36d9b4f8a751b64787b,train_all_low_label,Scenario Element Integration,en,Business Administration,2,1,1,1,review_only,0.25,dual_teacher_consensus,medium,True,True,Both teachers agree but conflict with the original human score or target-scope flags; keep conservative.,"The evaluator output provides a generic, textbook-style explanation of Porter's Five Forces framework without any integration of scenario-specific information. The scenario is 'Idea Provision,' but the response does not reference any student history, learning "
ff8336b754ae2926d754192bf5a2f0c7ca6ba2a5,train_all_low_label,Reasoning Process Rigor,zh,Physical Education,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only a JSON list of selected options with no reasoning process whatsoever. The rubric explicitly requires a complete, clear, and rigorous reasoning chain. A score of 1 is appropriate because there is almost no valid reasoning proc"
6ba52ada98a9a51312929f9f19f6c7227cd562eb,train_all_low_label,Reasoning Process Rigor,zh,Physics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer selection without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain (推理逻辑链条完整、清晰、严密). The output contains zero reasoning steps, logical argumentation, or ex"
6c703c046a9b97419785484bb1dd5d5b81ccd77a,train_all_low_label,Reasoning Process Rigor,en,Mathematics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only a bare answer 'A' with no reasoning, steps, or argumentation. The rubric requires complete, clear, and rigorous reasoning for high scores, and even a score of 2 requires some reasoning. Since there is virtually no valid reaso"
378f7b2160c791b11e16c3dd68d76ed1363a3ff6,train_all_low_label,"Motivation, Guidance & Positive Feedback",zh,Basic Medicine,2,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output contains a critical factual and pedagogical error: it tells the student '你的选择是正确的' (your choice is correct), but the student selected C (超极化) while the evaluator itself identifies D (钙离子流入细胞) as the correct answer. This is contradictory an"
4d02a34fe7fc1a2f65e5defcbeec26283b13ada9,train_all_low_label,Reasoning Process Rigor,zh,History,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer selection without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain. A score of 1 is appropriate because there is virtually no effective reasoning process p"
cc218e690fef26eec817bb03c4ad9a759d05825e,train_all_low_label,Reasoning Process Rigor,zh,History,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer selection without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain (推理逻辑链条完整、清晰、严密). The output contains zero reasoning steps, logical analysis, or argumen"
4f22bf04948dfebf09ef963ef74d98df56ffdb57,train_all_low_label,Error Identification & Correction Precision,zh,Basic Medicine,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output correctly identifies the correct answer as D (calcium ion influx is not part of the action potential process), but then gives contradictory and misleading personalized feedback by telling the student 'your choice is correct' when the stude"
0c74a66a6f9ecee5580723b73f7741a8f05e1352,train_all_low_label,Error Identification & Correction Precision,zh,Mathematics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output contains severe factual errors. It incorrectly identifies the correct options as ['B', 'E'] (cosine and cubic polynomial), when in fact cosine function is not a diffeomorphism globally (it is not injective). More critically, the feedback e"
0f9bdd1ac2b116a1f087a68008be1d0a38cb8ab1,train_all_low_label,Reasoning Process Rigor,zh,Physics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer selection without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain for higher scores. A score of 1 is appropriate because there is almost no effective reas"
38c7ddb254e471811c6a5a57cccae37cc6d4656e,train_all_low_label,Reasoning Process Rigor,zh,Physics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer 'B' in JSON format without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain for higher scores. A score of 1 is appropriate because there is almost no effec"
08554936f4982f9a49b0ecb237ab00fa29370010,train_all_low_label,Error Identification & Correction Precision,zh,History,2,5,3,3,review_only,0.25,codex_top80_conservative_median,low,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The evaluator output correctly identifies that the student answer matches the correct choices, indicating no errors. However, it assigns a score of 3, which is inconsistent with the acknowledgment of a fully correct answer. This represents a false positive in "
9695560e94c04bb151b514cc850a85eb10394a00,train_all_low_label,Reasoning Process Rigor,zh,Physics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer selection without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain. A score of 1 is appropriate as there is almost no effective reasoning process presented"
4c1781a47196920cfbd9a98a60533436add7af41,train_all_low_label,Reasoning Process Rigor,en,Computer Science,1,4,3,3,review_only,0.25,codex_top80_conservative_median,medium,True,False,High-conflict sample inspected in the Codex top-conflict pass; final score uses conservative median and should not be high-weight training data.,"The answer correctly states O(n log n) and notes the pivot assumption, but it lacks any derivation or step-by-step reasoning. The brief mention of pivot selection is a partial argument, leaving the reasoning insufficiently developed for a rigorous answer. This"
eca00ddc55d718efe2435adde78462ed09661b7c,train_all_low_label,Reasoning Process Rigor,zh,History,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer selection without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain (推理逻辑链条完整、清晰、严密). The output contains zero reasoning steps, making it impossible to asse"
0a2cdf9b3f6bdc6f89db168c31be1e2a31b9ba5e,train_all_low_label,Error Identification & Correction Precision,en,Theoretical Economics,2,2,2,2,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,The evaluator output fails to identify that the student's answer is actually correct and complete. The student accurately defined Nash Equilibrium (no player can benefit by changing strategy while others keep theirs unchanged) and provided a valid Prisoner's D
44a426bf4f453df7ea5b7ac85d6f0e801f9ba296,train_all_low_label,Reasoning Process Rigor,en,Mathematics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only a final answer selection with no reasoning, steps, or argumentation. The rubric for Reasoning Process Rigor requires visible, logical, and rigorous reasoning. Since there is virtually no reasoning presented, the output falls "
f941bd555946d5f670146c0ddba2b00c76cfee04,train_all_low_label,Reasoning Process Rigor,zh,History,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer 'B' in JSON format without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain (推理逻辑链条完整、清晰、严密). A score of 1 is appropriate as there is almost no effective r"
61ce1005760ba6b25779f26dec03b15d4d61f5ec,train_all_low_label,Reasoning Process Rigor,zh,History,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer selection without any reasoning process. The rubric explicitly requires a complete, clear, and rigorous reasoning chain (推理逻辑链条完整、清晰、严密). The output contains zero reasoning steps, no logical argumentation, an"
90ed1a72c758f575b39f863d5ac03313ac9b197e,train_all_low_label,Error Identification & Correction Precision,zh,Computer Science,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output assigns a score of 1 to the student's answer, but the student's answer (B) is correct. The evaluator correctly identifies B as the correct answer in its explanation and provides positive feedback acknowledging the student's choice is corre"
34d1c2d12a4242a8a26ed4f998ae1f08b3210cdf,train_all_low_label,Basic Factual Accuracy,zh,Mathematics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output contains critical factual errors regarding diffeomorphism properties. It incorrectly identifies cosine function (B) as having diffeomorphism properties while stating that cubic polynomial functions (E) do not. In reality, cosine is not a d"
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,train_all_low_label,Reasoning Process Rigor,en,Mathematics,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only a final answer selection with no reasoning, steps, or argumentation. The rubric for Reasoning Process Rigor requires visible, logical, and rigorous reasoning. Since there is virtually no reasoning presented, it falls under th"
dcf321c484e4128628a7517762ccaf72fc0916d8,train_all_low_label,Reasoning Process Rigor,zh,Law,1,1,1,1,high_weight,2.0,dual_teacher_consensus,high,False,False,Both teachers agree and are within one point of the original human score.,"The evaluator output provides only the final answer 'C. 先占原则' in JSON format without any reasoning process. The rubric explicitly requires evaluation of reasoning logic chain completeness, clarity, and rigor. A score of 1 is appropriate because there is almost"
a2963f0bafecf877ce9d9f85ccd07d324522a500,train_all_low_label,Reasoning Process Rigor,en,Computer Science,1,2,1,1,high_weight,2.0,human_deepseek_agreement,high,False,False,Original human score agrees with DeepSeek; Qwen is de-weighted by conflict or lower reliability.,"The evaluator output contains no reasoning process, only a final answer. Without any steps or logic, it fails to meet the 'Reasoning Process Rigor' metric, matching the rubric level for virtually no valid reasoning."
