sample_id,label,label_region,qwen_failure_visibility,deepseek_failure_visibility,failure_visibility_exact,qwen_raw_overestimation_risk,deepseek_raw_overestimation_risk,raw_overestimation_risk_exact,qwen_evidence_type,deepseek_evidence_type,evidence_type_exact,major_failures_jaccard
62b2cc4828c16383397c0f6eba7db729544d5d77,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
630a88341b60ad40afcd43bf6bf3967c515b8803,2,low,missing_required_content,missing_required_content,True,medium,high,False,missing_required_content,missing_required_content,True,0.5
63ab64773fb76fbe6cba302eed79041a8316bb7c,2,low,explicit_failure,explicit_failure,True,medium,high,False,missing_required_content,rubric_mismatch,False,0.5
654c5cdb0a9fded6d0c0fa9724cca944d0d0fa0d,4,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,2,low,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
6c2ca811835d3ab2cc459573f13c0ae3caf83824,3,mid,hidden_failure,no_major_failure,False,medium,low,False,verbatim_answer_span,not_applicable,False,0.0
6c703c046a9b97419785484bb1dd5d5b81ccd77a,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,5,high,missing_required_content,explicit_failure,False,high,high,True,missing_required_content,rubric_mismatch,False,1.0
76909e50052e68bb729ed62933a86559f6a7c036,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,3,mid,explicit_failure,explicit_failure,True,medium,high,False,verbatim_answer_span,verbatim_answer_span,True,0.5
7b2343c0fac6f79059007d116f746842fe6a6637,1,low,no_major_failure,explicit_failure,False,low,high,False,not_applicable,verbatim_answer_span,False,0.0
8341e93909c0704df94f772a62c2864d3bbd1a62,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
89f8c6ed8c1b947a44510dcc18b38a1d97571453,2,low,explicit_failure,no_major_failure,False,medium,low,False,verbatim_answer_span,not_applicable,False,0.0
8ff264a74369c7106935fc453add4b92d95a8b87,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
9aadad1caf2256ca13d782acb0461e0845e58a6d,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
9ec7e3a19fad6e6c3caee049ed4fe69a3e9f1649,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
a2963f0bafecf877ce9d9f85ccd07d324522a500,1,low,missing_required_content,missing_required_content,True,high,high,True,missing_required_content,missing_required_content,True,1.0
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,2,low,hidden_failure,missing_required_content,False,medium,medium,True,verbatim_answer_span,missing_required_content,False,1.0
a6a61e243a1f0c09ac86c3557bd39377eff935bc,3,mid,hidden_failure,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
aecd1f611f3240d1b34cc110420629542708fd0a,3,mid,explicit_failure,explicit_failure,True,low,medium,False,verbatim_answer_span,verbatim_answer_span,True,1.0
b01129b756e85be3f61bf81d006ca0e61ef3e530,4,high,hidden_failure,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
b2e52bd37efe805ddffb36de59b66927cb7d0a9e,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
b51fe8038ded98685f2c18b27990ce26056dfc17,2,low,missing_required_content,no_major_failure,False,high,low,False,missing_required_content,not_applicable,False,0.0
b5f54f2d11493dd41a74e9e2274d26451a958dcc,1,low,explicit_failure,explicit_failure,True,medium,high,False,verbatim_answer_span,verbatim_answer_span,True,1.0
b93239ad93a7561a06f1b07c82c82f44bf81667e,3,mid,hidden_failure,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
b9f1c6853708c1217088b33dabe3b2ce1f70233e,4,high,hidden_failure,hidden_failure,True,medium,high,False,rubric_mismatch,verbatim_answer_span,False,0.3333333333333333
bd384e01426757c4dd86e755a75d5ef86fe6e59f,1,low,no_major_failure,missing_required_content,False,low,high,False,not_applicable,missing_required_content,False,0.0
bd7124d01e96e50d3ca931cd7e892e48a044d7a5,4,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,2,low,explicit_failure,no_major_failure,False,medium,low,False,verbatim_answer_span,not_applicable,False,0.0
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,low,explicit_failure,no_major_failure,False,low,low,True,verbatim_answer_span,not_applicable,False,0.0
c13167075148a265b283ce6bd0a309d539f243f7,3,mid,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
c1507d3c6bb859e46a5fcae0e2d5475886c36187,1,low,missing_required_content,missing_required_content,True,low,low,True,missing_required_content,missing_required_content,True,1.0
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,5,high,missing_required_content,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
c70daeced1c735f1c2daf005fb9677fedc0fe6e2,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
cc6d5db1c4f4f75e83954e1ae458ae259662bb79,3,mid,missing_required_content,missing_required_content,True,medium,high,False,missing_required_content,missing_required_content,True,1.0
cd63948c28174674b09c1bed2f6fa389c8ec4a34,3,mid,hidden_failure,no_major_failure,False,medium,low,False,missing_required_content,not_applicable,False,0.0
cf0b674668f9a20a13168541190ad544efcb4650,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
d0507dfe7e307caffb26489559bc360d53ac357d,1,low,missing_required_content,missing_required_content,True,low,medium,False,missing_required_content,missing_required_content,True,1.0
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,2,low,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
dc56b22db7bd99b5ab24603c3227a7cf91f49950,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
dcf321c484e4128628a7517762ccaf72fc0916d8,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
de4474725bb4f43b8ca668395ac6d4b329628464,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
e226030ea01e090a606049052bd6c187688f7a7a,5,high,no_major_failure,explicit_failure,False,low,high,False,not_applicable,verbatim_answer_span,False,0.0
e927013b12cac98ecddc4843316f9befc695ed6d,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,verbatim_answer_span,False,1.0
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,3,mid,no_major_failure,hidden_failure,False,low,medium,False,not_applicable,verbatim_answer_span,False,0.0
eca00ddc55d718efe2435adde78462ed09661b7c,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
eebb6c2d0851b385f14d5f66295db77afd02c747,5,high,no_major_failure,hidden_failure,False,low,high,False,not_applicable,verbatim_answer_span,False,0.0
f251793e251d1e0d57a905047fa2fa896f09a447,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,2,low,no_major_failure,explicit_failure,False,low,low,True,not_applicable,verbatim_answer_span,False,0.0
f5612be7738fe6587ba2b606bca666a43fe81795,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
fa56f52580300b84cfe4cfebbc253e20e69773f2,5,high,no_major_failure,no_major_failure,True,low,low,True,not_applicable,not_applicable,True,1.0
ff657c059d6b1fdddbeae35add3c566377c0dd86,5,high,no_major_failure,hidden_failure,False,low,high,False,not_applicable,verbatim_answer_span,False,0.0
ff8336b754ae2926d754192bf5a2f0c7ca6ba2a5,1,low,missing_required_content,missing_required_content,True,low,high,False,missing_required_content,missing_required_content,True,1.0
