sample_id,label,label_region,pilot_group,paired_exp27c_row,language,qwen_score,deepseek_score,score_exact,score_adjacent
aecd1f611f3240d1b34cc110420629542708fd0a,3,mid,exp27c_v3_60_paired_repilot,True,zh,2,2,True,True
b01129b756e85be3f61bf81d006ca0e61ef3e530,4,high,exp27c_v3_60_paired_repilot,True,zh,3,5,False,False
b2e52bd37efe805ddffb36de59b66927cb7d0a9e,3,mid,new_label3_borderline_risk_stress,False,en,5,5,True,True
b51fe8038ded98685f2c18b27990ce26056dfc17,2,low,exp27c_v3_60_paired_repilot,True,en,1,4,False,False
b5f54f2d11493dd41a74e9e2274d26451a958dcc,1,low,exp27c_v3_60_paired_repilot,True,zh,1,3,False,False
b93239ad93a7561a06f1b07c82c82f44bf81667e,3,mid,exp27c_v3_60_paired_repilot,True,zh,4,4,True,True
b9f1c6853708c1217088b33dabe3b2ce1f70233e,4,high,exp27c_v3_60_paired_repilot,True,zh,3,2,False,True
bd384e01426757c4dd86e755a75d5ef86fe6e59f,1,low,new_low_hard_disagreement_stress,False,en,4,1,False,False
bd7124d01e96e50d3ca931cd7e892e48a044d7a5,4,high,new_high_control_disagreement_stress,False,en,5,5,True,True
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,2,low,exp27c_v3_60_paired_repilot,True,zh,2,4,False,False
c0d4f41ccf2066449887e86887cb7b8903269b2a,2,low,exp27c_v3_60_paired_repilot,True,zh,1,5,False,False
c13167075148a265b283ce6bd0a309d539f243f7,3,mid,new_label3_borderline_risk_stress,False,zh,4,5,False,True
c1507d3c6bb859e46a5fcae0e2d5475886c36187,1,low,new_low_hard_disagreement_stress,False,zh,1,1,True,True
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,5,high,exp27c_v3_60_paired_repilot,True,zh,2,5,False,False
c70daeced1c735f1c2daf005fb9677fedc0fe6e2,5,high,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
cc6d5db1c4f4f75e83954e1ae458ae259662bb79,3,mid,exp27c_v3_60_paired_repilot,True,en,1,1,True,True
cd63948c28174674b09c1bed2f6fa389c8ec4a34,3,mid,exp27c_v3_60_paired_repilot,True,zh,4,4,True,True
cf0b674668f9a20a13168541190ad544efcb4650,5,high,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
d0507dfe7e307caffb26489559bc360d53ac357d,1,low,exp27c_v3_60_paired_repilot,True,en,1,1,True,True
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,2,low,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
dc56b22db7bd99b5ab24603c3227a7cf91f49950,5,high,new_education_dimension_stress,False,zh,5,5,True,True
dcf321c484e4128628a7517762ccaf72fc0916d8,1,low,exp27c_v3_60_paired_repilot,True,zh,1,1,True,True
de4474725bb4f43b8ca668395ac6d4b329628464,5,high,exp27c_v3_60_paired_repilot,True,en,5,5,True,True
e226030ea01e090a606049052bd6c187688f7a7a,5,high,exp27c_v3_60_paired_repilot,True,en,5,3,False,False
e927013b12cac98ecddc4843316f9befc695ed6d,5,high,new_education_dimension_stress,False,en,4,5,False,True
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,3,mid,exp27c_v3_60_paired_repilot,True,zh,4,3,False,True
eca00ddc55d718efe2435adde78462ed09661b7c,1,low,exp27c_v3_60_paired_repilot,True,zh,1,1,True,True
eebb6c2d0851b385f14d5f66295db77afd02c747,5,high,new_high_control_disagreement_stress,False,zh,5,3,False,False
f251793e251d1e0d57a905047fa2fa896f09a447,5,high,new_high_control_disagreement_stress,False,en,5,5,True,True
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,2,low,new_low_hard_disagreement_stress,False,zh,5,1,False,False
f5612be7738fe6587ba2b606bca666a43fe81795,5,high,exp27c_v3_60_paired_repilot,True,zh,5,5,True,True
fa56f52580300b84cfe4cfebbc253e20e69773f2,5,high,exp27c_v3_60_paired_repilot,True,zh,4,4,True,True
ff657c059d6b1fdddbeae35add3c566377c0dd86,5,high,exp27c_v3_60_paired_repilot,True,zh,4,4,True,True
ff8336b754ae2926d754192bf5a2f0c7ca6ba2a5,1,low,new_low_hard_disagreement_stress,False,zh,1,1,True,True
