variant,split,metric,n,true_low_n,low_to_high_count,low_to_high_rate,label2_n,label2_pred_ge4_count,label2_pred_ge4_rate,mean_s_for_low,mean_tau3,mean_tau4,mean_margin_tau3_for_low
qmr,dev,Instruction Following & Task Completion,200,7,7,1.0,7,7,1.0,2.109375,-0.9179027795791626,1.5972082245349883,3.0906902381352017
qmr,dev,"Motivation, Guidance & Positive Feedback",60,9,2,0.2222222222222222,4,1,0.25,1.6076388888888888,1.4898072838783265,4.191649969418844,-0.5318007204267714
qmr,dev,"Personalization, Adaptation & Learning Support",70,1,0,0.0,1,0,0.0,0.32421875,0.9827215875898089,3.997214535304478,-0.16392087936401367
qmr,dev,Reasoning Process Rigor,84,16,3,0.1875,3,3,1.0,-1.787109375,-0.14615349826358615,1.727926785037631,-1.5252657532691956
qmr,dev,Role & Tone Consistency,50,0,0,nan,0,0,nan,nan,-0.3176588201522827,3.389841527938843,nan
qmr,dev,Scenario Element Integration,115,4,4,1.0,4,4,1.0,1.888671875,0.6893963274748429,3.5824677633202593,1.381621241569519
qmr,test,Basic Factual Accuracy,125,1,1,1.0,1,1,1.0,2.96875,-2.4591522731781006,-0.5705085773468017,5.2356696128845215
qmr,test,"Clarity, Simplicity & Inspiration",85,2,2,1.0,2,2,1.0,1.2421875,-0.6669202888713164,2.381441295848173,1.0176196098327637
qmr,test,Content Relevance & Scope Control,130,1,1,1.0,1,1,1.0,2.78125,-1.7073727552707378,0.5480133680196909,4.847699165344238
qmr,test,Domain Knowledge Accuracy,65,0,0,nan,0,0,nan,nan,-1.1966416615706224,1.6015613775986892,nan
qmr,test,Error Identification & Correction Precision,38,0,0,nan,0,0,nan,nan,-1.2230630109184666,1.033551906284533,nan
qmr,test,Higher-Order Thinking & Skill Development,89,6,2,0.3333333333333333,6,2,0.3333333333333333,1.2262369791666667,0.9912377957547649,3.8558478998334222,-0.32187509536743164
qmr,test,Instruction Following & Task Completion,195,5,5,1.0,5,5,1.0,2.083203125,-1.0080703918750469,1.5477490388430082,3.074888563156128
qmr,test,"Motivation, Guidance & Positive Feedback",68,4,4,1.0,4,4,1.0,1.46337890625,0.16094162884880514,2.91032270824208,0.7737987637519836
qmr,test,"Personalization, Adaptation & Learning Support",69,2,0,0.0,2,0,0.0,0.381103515625,1.1011235955832661,4.139271079630092,-0.459197998046875
qmr,test,Reasoning Process Rigor,79,10,2,0.2,1,1,1.0,-2.321875,-0.189049248453937,1.846874463407299,-2.227443504333496
qmr,test,Role & Tone Consistency,50,0,0,nan,0,0,nan,nan,-0.4225882434844971,3.1623429679870605,nan
qmr,test,Scenario Element Integration,110,0,0,nan,0,0,nan,nan,0.48375406482002953,3.472626525705511,nan
