variant,split,sample_id,question_key,metric,gold_label,pred_label,quality_score_s,tau1,tau2,tau3,tau4,margin_tau2,margin_tau3,probs,boundary_key
metric_rubric,dev,b6b6dda03618d53072e9cb795d23ca1a8dc79a57,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,2,4,0.91796875,-2.4425790309906006,-1.8158049583435059,-0.3917856216430664,0.9330799579620361,2.733773708343506,1.3097543716430664,"[0.956108808517456, 0.9245957136154175, 0.7686783671379089, 0.49653634428977966]",8933d2a9b092a046e2c6635f8c1dad1235be15ae
metric_rubric,dev,760fc72a43fcce0f05f6e57f16c28416ee7a2536,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,2,5,2.4375,-3.0456302165985107,-2.2272462844848633,-0.9366095066070557,0.4461984634399414,4.664746284484863,3.3741095066070557,"[0.9967838525772095, 0.992461621761322, 0.971527636051178, 0.8892660737037659]",e30cecad27cfc97a5f934deba60539fbf46c43ff
metric_rubric,dev,1bdcdd67d27147705080e74bea8e7252e9ce95bb,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",2,4,2.453125,-2.7713277339935303,-1.9491180181503296,0.20551490783691406,2.9590229988098145,4.402243137359619,2.247610092163086,"[0.9989846348762512, 0.9970023036003113, 0.950957179069519, 0.3390972912311554]",83f6981cfd3f16e25941e1452261ca5394e2962c
metric_rubric,dev,b90c66a2b2bfd098d8c48fac5c5abeb2d37b630f,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",1,4,1.15625,-2.6305525302886963,-1.2999929189682007,1.022115707397461,3.5291972160339355,2.4562430381774902,0.13413429260253906,"[0.9470011591911316, 0.8664613962173462, 0.5255081653594971, 0.14104826748371124]",f0d18be11d34189cd2c8468188344a36bab80f88
metric_rubric,dev,02257ff2c77501987e43989cc8c71a017fb39dad,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,2.71875,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,5.036401748657227,3.309239387512207,"[0.9983805418014526, 0.9962917566299438, 0.975283682346344, 0.849209189414978]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,dev,fceb9659e6f4b3b5648c977ec612b79ae8a6ae29,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,2.421875,-2.2894856929779053,-0.9300422668457031,1.2384164333343506,3.1621341705322266,3.351917266845703,1.1834585666656494,"[0.9926458597183228, 0.9703949093818665, 0.774190366268158, 0.31632763147354126]",134fe8be716fe6dc497b2f2eaefdaab9a6304047
metric_rubric,dev,28cb100bda849f499ad3ad11500b7d1b494be4a7,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,2,5,2.46875,-3.0456302165985107,-2.2272462844848633,-0.9366095066070557,0.4461984634399414,4.695996284484863,3.4053595066070557,"[0.9968870282173157, 0.9927022457122803, 0.9724181294441223, 0.8924446702003479]",e30cecad27cfc97a5f934deba60539fbf46c43ff
metric_rubric,dev,e9b358073140893a17f069d26d8fe2adc338f088,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",2,4,2.40625,-2.7713277339935303,-1.9491180181503296,0.20551490783691406,2.9590229988098145,4.355368137359619,2.200735092163086,"[0.9989199638366699, 0.9968116879463196, 0.9479917287826538, 0.32538101077079773]",83f6981cfd3f16e25941e1452261ca5394e2962c
metric_rubric,dev,308181498ec49e2d421c165fdf652ef8991f34f9,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,2.921875,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,5.239526748657227,3.512364387512207,"[0.9987071752548218, 0.9970383644104004, 0.9801763296127319, 0.875882625579834]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,dev,6304a049e36db27cde8ac17418f406f0b8d94687,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,2.71875,-2.2894856929779053,-0.9300422668457031,1.2384164333343506,3.1621341705322266,3.648792266845703,1.4803335666656494,"[0.9945906400680542, 0.9780938029289246, 0.8236403465270996, 0.3866022527217865]",134fe8be716fe6dc497b2f2eaefdaab9a6304047
metric_rubric,dev,abd894527f401792d7a5cb4438ee15420de3ea1d,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,2,5,1.4140625,-2.4425790309906006,-1.8158049583435059,-0.3917856216430664,0.9330799579620361,3.229867458343506,1.8058481216430664,"[0.9716951251029968, 0.9507967829704285, 0.8396616578102112, 0.6084959506988525]",8933d2a9b092a046e2c6635f8c1dad1235be15ae
metric_rubric,dev,f45ee7ba1b382a63c9d4d3f14889365d54dc1cbd,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,2,5,2.71875,-3.0456302165985107,-2.2272462844848633,-0.9366095066070557,0.4461984634399414,4.945996284484863,3.6553595066070557,"[0.9976016879081726, 0.9943723678588867, 0.9786302447319031, 0.9150958061218262]",e30cecad27cfc97a5f934deba60539fbf46c43ff
metric_rubric,dev,a7f69c77078e9926635bb2b77ebdd28d5733ae36,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",2,4,2.734375,-2.7713277339935303,-1.9491180181503296,0.20551490783691406,2.9590229988098145,4.683493137359619,2.528860092163086,"[0.9992990493774414, 0.9979294538497925, 0.9656355977058411, 0.42645522952079773]",83f6981cfd3f16e25941e1452261ca5394e2962c
metric_rubric,dev,2a2df83ec113e46b0061b47e958a73b62cd3f358,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",1,4,1.328125,-2.6305525302886963,-1.2999929189682007,1.022115707397461,3.5291972160339355,2.6281180381774902,0.30600929260253906,"[0.9531974792480469, 0.8808896541595459, 0.5579819679260254, 0.15765826404094696]",f0d18be11d34189cd2c8468188344a36bab80f88
metric_rubric,dev,3783f563820e72434b75d23f81fd58fb010931f7,9d1179a873f8e7454e4075453ea96fee9e73ecff,Content Relevance & Scope Control,2,5,2.171875,-3.501357078552246,-2.692216396331787,-1.2918331623077393,0.1860504150390625,4.864091396331787,3.4637081623077393,"[0.9953019618988037, 0.9899691939353943, 0.9633839726448059, 0.8670065999031067]",bd23f2a81ecb775fa6a75c8334e4972a6df6d1bb
metric_rubric,dev,a30876aee5bfcd792a475f60264f22dfc7b74b91,9d1179a873f8e7454e4075453ea96fee9e73ecff,Basic Factual Accuracy,2,5,1.703125,-3.572906017303467,-2.9529261589050293,-1.9884259700775146,-0.9921717643737793,4.656051158905029,3.6915509700775146,"[0.9973087310791016, 0.9946215152740479, 0.984305739402771, 0.9535462856292725]",a5cb4375a83508adc1e697ccac23f185a0594d40
metric_rubric,dev,9ab1bf35a1c05a0d05b45d75620e919312780063,9d1179a873f8e7454e4075453ea96fee9e73ecff,Instruction Following & Task Completion,2,5,3.84375,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,6.161401748657227,4.434239387512207,"[0.9995352029800415, 0.9989340901374817, 0.9927875399589539, 0.9515631794929504]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,dev,f93c70f6bc17688bb1aa72c33100e1716657dc59,9d1179a873f8e7454e4075453ea96fee9e73ecff,Content Relevance & Scope Control,2,5,4.0625,-3.501357078552246,-2.692216396331787,-1.2918331623077393,0.1860504150390625,6.754716396331787,5.35433292388916,"[0.9992085099220276, 0.9983024597167969, 0.9936619997024536, 0.9749037623405457]",bd23f2a81ecb775fa6a75c8334e4972a6df6d1bb
metric_rubric,dev,ec3c258a92d9ea146d07d5b2d54170aa37b10793,9d1179a873f8e7454e4075453ea96fee9e73ecff,Basic Factual Accuracy,2,5,3.828125,-3.572906017303467,-2.9529261589050293,-1.9884259700775146,-0.9921717643737793,6.781051158905029,5.816551208496094,"[0.9997509121894836, 0.9995009899139404, 0.9985299110412598, 0.9955220222473145]",a5cb4375a83508adc1e697ccac23f185a0594d40
metric_rubric,dev,04bfbf54a7eeef628f3799e10e300520dcee17ca,9dcad11d15cc245e5dabc70ec2358208f1139f70,Instruction Following & Task Completion,2,4,0.7578125,-3.640228033065796,-2.8009371757507324,-1.4989500045776367,0.7810192108154297,3.5587496757507324,2.2567625045776367,"[0.9967508316040039, 0.990371584892273, 0.9497038722038269, 0.49244698882102966]",84c8dec70e40c1786e5d87a170f8c589cd7f0c18
metric_rubric,dev,4275823dfe4094d4b8e9887797ef050094c4f2c1,9dcad11d15cc245e5dabc70ec2358208f1139f70,Error Identification & Correction Precision,1,5,0.7109375,-3.290125608444214,-2.4340908527374268,-1.53121018409729,0.5684127807617188,3.1450283527374268,2.24214768409729,"[0.9765625596046448, 0.9493927359580994, 0.8899353742599487, 0.5331658124923706]",aa5c3bacfe2c71eed41bc85710e528bb74137313
metric_rubric,dev,e74e422bba24c22c7145a2d8e010496e37ab2c15,9dcad11d15cc245e5dabc70ec2358208f1139f70,"Motivation, Guidance & Positive Feedback",1,4,0.3125,-3.6975083351135254,-2.5631794929504395,-1.3285582065582275,1.293898582458496,2.8756794929504395,1.6410582065582275,"[0.9736908078193665, 0.9301935434341431, 0.8142459988594055, 0.2923932373523712]",6049ce916c273a4efb631c2463ec9a860ecb1d16
metric_rubric,dev,424183cbce35426146e3037b190e0a1967c66c16,f0c5d4db7f494adcb9a74877d7432cc57370c219,"Personalization, Adaptation & Learning Support",2,4,-0.22265625,-3.1471915245056152,-2.16080379486084,-0.3297557830810547,2.105802536010742,1.9381475448608398,0.10709953308105469,"[0.9897670149803162, 0.9539049863815308, 0.5417590737342834, 0.02558017708361149]",8db43356452b3eb287dd4d7ccc5382d96fb55af6
metric_rubric,test,86b510497e8df73ea935ed0b78fc39801d5c52d5,4c226fd44d57125e475c39da5f6d7ca8ebf1f0db,Instruction Following & Task Completion,2,5,1.40625,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,3.7239017486572266,1.996739387512207,"[0.9930800795555115, 0.9842616319656372, 0.9018183350563049, 0.5672743916511536]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,test,919424f9f46626604d977fcf5c176842c6859a03,4c226fd44d57125e475c39da5f6d7ca8ebf1f0db,Reasoning Process Rigor,2,4,0.7578125,-2.4425790309906006,-1.8158049583435059,-0.3917856216430664,0.9330799579620361,2.573617458343506,1.1495981216430664,"[0.949517011642456, 0.9136983752250671, 0.741546630859375, 0.4599122405052185]",8933d2a9b092a046e2c6635f8c1dad1235be15ae
metric_rubric,test,85f6d9139bbfaa05a78a3d7e10dd7bd1cdad624b,32ad39fb545d59e13fa61dcd53566a23d4605c7b,Instruction Following & Task Completion,2,5,1.96875,-3.065544366836548,-2.3176517486572266,-0.590489387512207,1.1624741554260254,4.286401748657227,2.559239387512207,"[0.9962831139564514, 0.9915114045143127, 0.9449198246002197, 0.710014820098877]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,test,e4c7a1f238c09284a79b4923bd3144154b823007,32ad39fb545d59e13fa61dcd53566a23d4605c7b,Content Relevance & Scope Control,2,5,2.09375,-3.501357078552246,-2.692216396331787,-1.2918331623077393,0.1860504150390625,4.785966396331787,3.3855831623077393,"[0.994944155216217, 0.9892097115516663, 0.9606913328170776, 0.8582696318626404]",bd23f2a81ecb775fa6a75c8334e4972a6df6d1bb
metric_rubric,test,d20fe40ea6c3242edf2805ec4e0f2ac1049cab3c,32ad39fb545d59e13fa61dcd53566a23d4605c7b,Reasoning Process Rigor,1,4,0.6796875,-2.4425790309906006,-1.8158049583435059,-0.3917856216430664,0.9330799579620361,2.495492458343506,1.0714731216430664,"[0.9459708333015442, 0.9078801274299622, 0.7275826930999756, 0.4421783685684204]",8933d2a9b092a046e2c6635f8c1dad1235be15ae
metric_rubric,test,54b5ce66e97a2e72fb5a268ddbb9d6923d642a8b,8ac26713d14df7365e2c787726dbe32119ce637b,"Clarity, Simplicity & Inspiration",2,4,1.1328125,-2.7713277339935303,-1.9513055086135864,0.20332765579223633,2.97147274017334,3.084117889404297,0.9294848442077637,"[0.9942333102226257, 0.9831795692443848, 0.7731289267539978, 0.08126082271337509]",83f6981cfd3f16e25941e1452261ca5394e2962c
metric_rubric,test,14abc799babd3c72b7a839e49e1d1c48478a4301,8ac26713d14df7365e2c787726dbe32119ce637b,"Clarity, Simplicity & Inspiration",2,4,1.6796875,-2.7713277339935303,-1.9513055086135864,0.20332765579223633,2.97147274017334,3.630992889404297,1.4763598442077637,"[0.9971885085105896, 0.991752564907074, 0.8751667141914368, 0.1539478749036789]",83f6981cfd3f16e25941e1452261ca5394e2962c
metric_rubric,test,90b7d1926e47fc40035e61569b3c6c4c7287d54c,8ac26713d14df7365e2c787726dbe32119ce637b,Instruction Following & Task Completion,2,5,3.359375,-3.065544366836548,-2.3186798095703125,-0.5850896835327148,1.1743369102478027,5.6780548095703125,3.944464683532715,"[0.9992043375968933, 0.9981781244277954, 0.9876388311386108, 0.9188422560691833]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,test,5b01ac1c986a03173306db8dfbb119c037dd5bde,61420731958fdcd56c8dc237c1b8606a552fe0d8,Higher-Order Thinking & Skill Development,2,4,2.15625,-2.408174991607666,-1.0776152610778809,1.4581637382507324,3.3685545921325684,3.233865261077881,0.6980862617492676,"[0.9938992261886597, 0.9736226201057434, 0.6854563355445862, 0.20542044937610626]",fc7e8be9249b083b8b1efaaf89777c4059e9e439
metric_rubric,test,5b8f7ad619de530e8b74369ed0c822976dd50002,4c226fd44d57125e475c39da5f6d7ca8ebf1f0db,Instruction Following & Task Completion,2,5,1.890625,-3.065544366836548,-2.3186798095703125,-0.5850896835327148,1.1743369102478027,4.2093048095703125,2.475714683532715,"[0.995947539806366, 0.9907596111297607, 0.9398878216743469, 0.6890142560005188]",6eabcf80dc70f9e7ec66a231afe7c9be86cea1ca
metric_rubric,test,ce5f233e3a41be139d0aa0859f1f25eb822f4284,4c226fd44d57125e475c39da5f6d7ca8ebf1f0db,Basic Factual Accuracy,2,5,2.03125,-3.572906017303467,-2.952475070953369,-1.9952099323272705,-0.9989557266235352,4.983725070953369,4.026459693908691,"[0.9981628060340881, 0.9963173866271973, 0.9892784953117371, 0.9678662419319153]",a5cb4375a83508adc1e697ccac23f185a0594d40
metric_rubric,test,dd6782a8385379189ce8cac0d34b9dd3c07746bf,30db5e431237f6e3090cb5d1c53ed338a4416c06,"Motivation, Guidance & Positive Feedback",2,4,0.5390625,-3.6960325241088867,-2.5643515586853027,-1.3269591331481934,1.2954978942871094,3.1034140586853027,1.8660216331481934,"[0.9786202907562256, 0.9427810907363892, 0.8435335755348206, 0.33560189604759216]",6049ce916c273a4efb631c2463ec9a860ecb1d16
metric_rubric,test,a1f0c389eee3902130286b10a8686f650813e7a1,1f8ede9b3a0b464a2781f4d0bd56f46d69f05fb3,Higher-Order Thinking & Skill Development,2,4,-0.228515625,-3.6510722637176514,-2.250704050064087,-0.7120242118835449,1.780714988708496,2.022188425064087,0.4835085868835449,"[0.9921017289161682, 0.9456095099449158, 0.664360761642456, 0.05533931031823158]",a648a0b8b1457a782ac5c4f3936181e46ac442dd
metric_rubric,test,e7efe3ebafbdab3b2a64d311ad9ff74a943cb3d7,203bd2376a2790af648dc36797a32ca8bc98b71f,Instruction Following & Task Completion,2,4,-1.0546875,-3.640228033065796,-2.8009371757507324,-1.4989500045776367,0.7810192108154297,1.7462496757507324,0.4442625045776367,"[0.9666338562965393, 0.9066628813743591, 0.6407022476196289, 0.08393671363592148]",84c8dec70e40c1786e5d87a170f8c589cd7f0c18
metric_rubric,test,31274740c0fd629636a3e5530b49c89ab3a8ed83,eeac2b3e518b79b57507c075453c51f515a45de8,"Motivation, Guidance & Positive Feedback",2,4,-0.486328125,-3.6804075241088867,-2.5487265586853027,-1.31687331199646,1.320082187652588,2.0623984336853027,0.83054518699646,"[0.9474114179611206, 0.866093635559082, 0.6795701384544373, 0.16312801837921143]",6049ce916c273a4efb631c2463ec9a860ecb1d16
qmr,dev,a9fb1437d7ef739f816e75d995054de210ca96a8,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,1.921875,-4.315950393676758,-3.0702245235443115,-1.099630355834961,0.6404333114624023,4.992099761962891,3.021505355834961,"[0.9999734163284302, 0.9997819066047668, 0.9939557909965515, 0.8969738483428955]",769ef56c718f3d5722821e460b13b4b5201fcbb7
qmr,dev,6b1d22832f8c2d9e51459ade117c52581ec16bf8,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,1.609375,-4.315950393676758,-3.0702245235443115,-1.1063501834869385,0.6337137222290039,4.679599761962891,2.7157251834869385,"[0.9999531507492065, 0.9996192455291748, 0.9897372126579285, 0.8377315402030945]",769ef56c718f3d5722821e460b13b4b5201fcbb7
qmr,dev,ab6c4ba7b5065f647c29431814feeb3a00e9c7b0,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,1.7109375,-3.6891510486602783,-1.8449647426605225,0.5054054260253906,2.6256237030029297,3.5559022426605225,1.2055320739746094,"[0.9993720650672913, 0.9922683835029602, 0.8383288979530334, 0.2229130119085312]",d6c3f781b557c3342ace2a7f296010e034726922
qmr,dev,057fb10dadb0ef587ef63e8c0692fb069e747f33,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,2,5,1.1796875,-3.9841201305389404,-2.699139356613159,-0.7820954322814941,0.689763069152832,3.878826856613159,1.9617829322814941,"[0.9981216788291931, 0.9911099672317505, 0.9156091809272766, 0.6446030139923096]",912555bd2b4a658bb240812fb72a494d3f9cdab2
qmr,dev,d827928fc39a06825d345c6f8c0685eba89b65cd,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,2,5,1.7265625,-4.179772853851318,-2.779388904571533,-1.1600685119628906,0.2818293571472168,4.505951404571533,2.8866310119628906,"[0.999832272529602, 0.9986839890480042, 0.9859160780906677, 0.8934386372566223]",a1bfcf6d3d6d43757c703a9e0bed76a501cd4bc6
qmr,dev,c8f82a756a23aa9b5e70f52f867ac392e2aec089,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",2,4,1.8671875,-3.7404096126556396,-2.3576340675354004,0.12077474594116211,2.642216205596924,4.2248215675354,1.746412754058838,"[0.999962568283081, 0.9995384216308594, 0.9598761200904846, 0.19640177488327026]",a4913c2d69a19ac6af78cd65b2aa1d6ac5745a20
qmr,dev,60084a95316f0f87040c9c1c0c24a16be077aa06,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,1.7421875,-4.315950393676758,-3.0757827758789062,-1.1186208724975586,0.6150059700012207,4.817970275878906,2.8608083724975586,"[0.999962568283081, 0.999698281288147, 0.9919420480728149, 0.8694791793823242]",769ef56c718f3d5722821e460b13b4b5201fcbb7
qmr,dev,bb99da8830bc11b1828c4a9637d65ecb7ee71420,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,1.8828125,-3.6891510486602783,-1.8449647426605225,0.5054054260253906,2.6187524795532227,3.7277772426605225,1.3774070739746094,"[0.9995033740997314, 0.9938755631446838, 0.8676683306694031, 0.26801082491874695]",d6c3f781b557c3342ace2a7f296010e034726922
qmr,dev,b6b6dda03618d53072e9cb795d23ca1a8dc79a57,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,2,5,1.2890625,-4.015369892120361,-2.7360341548919678,-0.8056478500366211,0.6662111282348633,4.025096893310547,2.094710350036621,"[0.9984618425369263, 0.9927089214324951, 0.9280557036399841, 0.6814340949058533]",912555bd2b4a658bb240812fb72a494d3f9cdab2
qmr,dev,760fc72a43fcce0f05f6e57f16c28416ee7a2536,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,2,5,1.84375,-4.179772853851318,-2.779388904571533,-1.1600685119628906,0.27587032318115234,4.623138904571533,3.0038185119628906,"[0.999863862991333, 0.9989226460456848, 0.9883313775062561, 0.9102793335914612]",a1bfcf6d3d6d43757c703a9e0bed76a501cd4bc6
qmr,dev,1bdcdd67d27147705080e74bea8e7252e9ce95bb,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",2,4,2.0,-3.7560346126556396,-2.3732590675354004,0.11947345733642578,2.6265549659729004,4.3732590675354,1.8805265426635742,"[0.9999715089797974, 0.9996474981307983, 0.9682820439338684, 0.24249953031539917]",a4913c2d69a19ac6af78cd65b2aa1d6ac5745a20
qmr,dev,02257ff2c77501987e43989cc8c71a017fb39dad,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,1.5390625,-4.315950393676758,-3.0702245235443115,-1.099630355834961,0.6404333114624023,4.609287261962891,2.638692855834961,"[0.9999492168426514, 0.9995837807655334, 0.9885257482528687, 0.82017982006073]",769ef56c718f3d5722821e460b13b4b5201fcbb7
qmr,dev,fceb9659e6f4b3b5648c977ec612b79ae8a6ae29,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,1.6640625,-3.6891510486602783,-1.8383839130401611,0.511986255645752,2.625332832336426,3.502446413040161,1.152076244354248,"[0.9993510842323303, 0.9918543100357056, 0.8291444182395935, 0.2111566811800003]",d6c3f781b557c3342ace2a7f296010e034726922
qmr,dev,28cb100bda849f499ad3ad11500b7d1b494be4a7,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,2,5,1.6328125,-4.180739879608154,-2.7862367630004883,-1.1731765270233154,0.25681400299072266,4.419049263000488,2.8059890270233154,"[0.9998143315315247, 0.9985439777374268, 0.9844306111335754, 0.8842679858207703]",a1bfcf6d3d6d43757c703a9e0bed76a501cd4bc6
qmr,dev,e9b358073140893a17f069d26d8fe2adc338f088,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",2,4,1.8125,-3.7404096126556396,-2.363480567932129,0.12925148010253906,2.650693893432617,4.175980567932129,1.683248519897461,"[0.9999572038650513, 0.9994816184043884, 0.9547390937805176, 0.17971430718898773]",a4913c2d69a19ac6af78cd65b2aa1d6ac5745a20
qmr,dev,308181498ec49e2d421c165fdf652ef8991f34f9,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,2,5,2.078125,-4.315950393676758,-3.0757827758789062,-1.1186208724975586,0.6150059700012207,5.153907775878906,3.1967458724975586,"[0.9999786615371704, 0.9998284578323364, 0.9954049587249756, 0.92140132188797]",769ef56c718f3d5722821e460b13b4b5201fcbb7
qmr,dev,6304a049e36db27cde8ac17418f406f0b8d94687,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,2,4,2.296875,-3.6891510486602783,-1.8449647426605225,0.5054054260253906,2.6187524795532227,4.141839981079102,1.7914695739746094,"[0.9997177720069885, 0.996510922908783, 0.920253336429596, 0.3918740451335907]",d6c3f781b557c3342ace2a7f296010e034726922
