dataset_variant,sample_id,risk_type,gold_label,rejected_score,chosen_score,chosen_schema,chosen_major_failures,chosen_score_cap,chosen_brief_reason_present,rejected_payload,rejected_source,supporting_rejected_sources,rejected_source_count,rejected_origin,message_hash,chosen_hash,rejected_hash
r6a_qwen_score_only,2d8742717c5a1fc46198eaa86449278d000b91e5,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|qwq-plus,3,real_model_score_output,2ab304ae92e8e85a2a601be706c0d5f2cd8720e6,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,2fb8ee195f5663235092141071781375d087d7eb,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o,4,real_model_score_output,86f6efc1ef7bf1ca378612a7a70641928c21a0cb,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,47f26c976985aef8becb63e728e5fc873c95eccc,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,4b76848d4dca08d734f967a0de25caa72af088bc,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,fa439d530a93932f4cf8a09f743d80c44e18e0b8,low_to_high_real_model_error,2,5,2,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,20e485978640da20a62bca65703c57c76ad615f4,e7e7fff9de6aaf514989c81720426ef63d68ca0f,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,f9ea4c7cceac7fda4707e2886b66ec08a7ac2ff7,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,55c69ec9e06bf4b1a87e35cc77e5606067db0a53,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,5dae917ce9c547b3426ad08f3ed26568e65e1f4a,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-r1|qwq-plus,3,real_model_score_output,6319cf38f825939022c11581758b34f2c15fc92d,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,a0d8761b0cd6aea4b4b2e373d723d13954b9a5db,high_to_mid_real_model_error,5,3,5,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,c4fb2d400a0c83bb4462269fe31ff0980c155641,beb005be4da3a0130f32c06ff634b762c7be9c49,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,34d1c2d12a4242a8a26ed4f998ae1f08b3210cdf,low_to_mid_real_model_error,1,3,1,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,b27a7cbd71e7287d40dab030f276861b246ed549,ea8d124a94959c34a5a3d3f5bbc8956a939cface,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,750ed218c36422a41c2b9170ad15b740992250f4,high_to_mid_real_model_error,5,3,5,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,19f2866094767464e5d34c6195ce685b82d92f7e,beb005be4da3a0130f32c06ff634b762c7be9c49,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,d373c7f5f1484f427b5a5ad756c75ae5b2731323,high_to_low_real_model_error,5,1,5,score_only,,,False,"{""score"":1}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,50fab8a7d23c297d1e2a0207410ee09856ed427c,beb005be4da3a0130f32c06ff634b762c7be9c49,ea8d124a94959c34a5a3d3f5bbc8956a939cface
r6a_qwen_score_only,2746cbd01bc15afaf3053afe8a48cc8783e50113,high_to_low_real_model_error,4,2,4,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,32d2381fdec79a1e3e25328ff33d174edc1e2988,bf2355b31a3942f09ea148ff7e236fb0f09a8390,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,feae425e29c1383a827108767836fd1c3a595500,high_to_low_real_model_error,5,1,5,score_only,,,False,"{""score"":1}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3,2,real_model_score_output,105ca21f70c97c9d686ec3426bcb6c55fb101ee3,beb005be4da3a0130f32c06ff634b762c7be9c49,ea8d124a94959c34a5a3d3f5bbc8956a939cface
r6a_qwen_score_only,88b5d66ecdaa22219bcf781219d169f927292631,mid_to_high_real_model_error,3,4,3,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,408fc32cb7df085809379862f3fb4400991169e2,0f3e87d934aa22cb85860f178b7b054798903c13,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,f54280d4caeef0bdadc941acfcd5f7fede5d6838,low_to_mid_real_model_error,1,3,1,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,6df1e551f29b594d3d20bff942564b020a40a0a5,ea8d124a94959c34a5a3d3f5bbc8956a939cface,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,a78d41fd92d092509e201d4cb468bba833ecdf3a,low_to_mid_real_model_error,1,3,1,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,275705aead0fe283fbe8ca9265ea5dbcfe3b26cd,ea8d124a94959c34a5a3d3f5bbc8956a939cface,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,a356107aea60ba977be7125cd35c33031b5c1dd5,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-v3|deepseek-r1,4,real_model_score_output,f80ac1d4940352088634d1abde6bd34d629f70f6,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,e5ae33c506ff1b2be4a3b127c5a5b3ad32fe6474,high_to_mid_real_model_error,5,3,5,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,25cbd1e69da3eca2bc025f870e9719c21c5d6473,beb005be4da3a0130f32c06ff634b762c7be9c49,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,a0de43b1b4b18389805629dbe607a30d56f3f5e1,high_to_low_real_model_error,5,2,5,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,77ae8ffde5a77a9243a645bc8468ded29aa3c5df,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,365e8b4c9ee703d23dee95e59be31577a15cacc8,low_to_high_real_model_error,2,5,2,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator,2,real_model_score_output,4067396e61b4217eee4d3dc587453eccccf4f900,e7e7fff9de6aaf514989c81720426ef63d68ca0f,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,9be75734289d2cce23e52a238880f71175306931,high_to_low_real_model_error,4,2,4,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,4d81946bf3d35930c22fb01c29831961bd26a878,bf2355b31a3942f09ea148ff7e236fb0f09a8390,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,cb0e7f1b4373b4d17c4ada0cee272863380e882f,high_to_low_real_model_error,5,2,5,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,30ec68d4e727317c1f4c114ee0a3d631cff33463,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,0a2cdf9b3f6bdc6f89db168c31be1e2a31b9ba5e,low_to_high_real_model_error,2,4,2,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,0240740783b4ee18af61031131939782499f56f7,e7e7fff9de6aaf514989c81720426ef63d68ca0f,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,low_to_high_real_model_error,1,4,1,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-r1|gpt-4o,4,real_model_score_output,e03b9ed2409092fe64f70b9527516f9c18c78659,ea8d124a94959c34a5a3d3f5bbc8956a939cface,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,9fece69ba2dccb933ebb6f1a23cc10ff95b16128,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|gpt-4o|qwq-plus,4,real_model_score_output,534ded16daf57088cdb815e64fe4c7945d811d74,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,b0e59d6589f82e0c9cdfd2b5b5df6961f5e8536d,mid_to_high_real_model_error,3,4,3,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-v3|gpt-4o,4,real_model_score_output,6d2f5418598eb87b9bc03376df889546d6b48a0e,0f3e87d934aa22cb85860f178b7b054798903c13,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,9aadad1caf2256ca13d782acb0461e0845e58a6d,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,6d8824c9c37f816c9b5cba4642bdebf1cd8d7c40,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,3943bdcf7fdf08eb1418b4235d84d913ba48b7b3,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|gpt-4o,3,real_model_score_output,d2c26a02d777dae630e5afd735a98d8332a04215,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,c2c8d5cd776fae8163c41f48153a3fb349d2b4e8,high_to_mid_real_model_error,5,3,5,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3,2,real_model_score_output,0c7ea972e8afae5641d0779ca020269da45154a8,beb005be4da3a0130f32c06ff634b762c7be9c49,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,75b32fe22fcb84acb1d7f2152fa77565cc0789eb,mid_to_high_real_model_error,3,4,3,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-r1|gpt-4o|qwq-plus,4,real_model_score_output,a6c40627b86eaadea319f79ccc166487e9faf325,0f3e87d934aa22cb85860f178b7b054798903c13,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,63f19af8be27359029d13320fa160666403cc8ea,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|gpt-4o,3,real_model_score_output,abdca218669079ae96dfdfc9e5b7e594f5a87964,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,b1af5e0cab310e92597c1dbe33423020d771aeb3,high_to_low_real_model_error,5,2,5,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-r1,2,real_model_score_output,1ca7c71389ce0691900e05f0342b4a8d8d671816,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,198938e2f622bb0de4883a3dc7e56f75c8a0dc9b,low_to_high_real_model_error,1,5,1,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|EduBenchEvaluator|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,6,real_model_score_output,d614610ee79d6ea050230858f818dcaceccdf92b,ea8d124a94959c34a5a3d3f5bbc8956a939cface,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,988e6d0eb6aef1daed86fda63f4f1208530174d0,mid_to_high_real_model_error,3,4,3,score_only,,,False,"{""score"":4}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1,3,real_model_score_output,45b9abbc7ccf979e1459e3e966977ac9e2271594,0f3e87d934aa22cb85860f178b7b054798903c13,bf2355b31a3942f09ea148ff7e236fb0f09a8390
r6a_qwen_score_only,c800537be8d7320006c67943c203ee94cb96edd6,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,c3dbf5f4c569c2d3e89b38924ee46d11add5a041,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,9695560e94c04bb151b514cc850a85eb10394a00,low_to_high_real_model_error,1,5,1,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,ebe8cf6a918d924d6211f1dbba53da6169d8b549,ea8d124a94959c34a5a3d3f5bbc8956a939cface,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,5f49408dc946e20b53fc778272f6d7e03620edfc,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,660848e8c274f3e3a37b4d9886e43b03ecbe54a3,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,a5b40ba0a800e6ec0da88e7d0591d092caa41ae1,low_to_high_real_model_error,2,5,2,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3,2,real_model_score_output,8ae08e1d4fc77fbb87b25bc7c2e9aeb16ce78faf,e7e7fff9de6aaf514989c81720426ef63d68ca0f,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,b74afb58efe37bbf2a03ce0f852e70d16e208bcd,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,ba3f41d9e7d6bdb9b5176e2354b6e1046bfe7bda,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,45d0c0cdd54aa4d0a87f613141225d0192aede43,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-r1|gpt-4o|qwq-plus,4,real_model_score_output,e89a3600b1e616b3dc3bac7bf2d5b42981e2034c,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,781982df12fd33e26ba67bff8626a027dc9b14d7,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,7e6ec110325908e56df8d2cbf210f4100404007c,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,687496c467980d9c0db49fc5c2d11772506b75fc,high_to_low_real_model_error,5,2,5,score_only,,,False,"{""score"":2}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,bb0476fe571b9b8e004b314c6d0006eb3bb5ccd1,beb005be4da3a0130f32c06ff634b762c7be9c49,e7e7fff9de6aaf514989c81720426ef63d68ca0f
r6a_qwen_score_only,4e52889ec38df9622ae4e3de9beb3ddf375a8b6e,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,14b1c5c3f7120fa9011859b3ad360f6fa202bdc4,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,6377f7e3f43e2bd08b05b5d3ca05c0fb6962bbd9,high_to_mid_real_model_error,5,3,5,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,f7f7841c4c1957ad49752d8fa43455f7d7f3cab0,beb005be4da3a0130f32c06ff634b762c7be9c49,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,354a797c3d5d365c860545112d895f8cb0416c16,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,8e91024efaff8ac46fb04c58d462b14028de73be,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,d914564de695985afdbe208e6bb67f0f4ee9bedb,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3,2,real_model_score_output,d08121ec8c9a744243648249f701c4240f48b569,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,3e94dc9e894853e65453273130534d64984fc06e,high_to_mid_real_model_error,4,3,4,score_only,,,False,"{""score"":3}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct,1,real_model_score_output,85263a86240c178c965e7e2d202ab7de17e7de88,bf2355b31a3942f09ea148ff7e236fb0f09a8390,0f3e87d934aa22cb85860f178b7b054798903c13
r6a_qwen_score_only,cbeadf4c193e757c339020fdb54196a9fe8066bc,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o|qwq-plus,5,real_model_score_output,e86395d34a73a073e56bb15a4c98abcd7ce8216c,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
r6a_qwen_score_only,5e2bba30773745dbf4fd4fb90bd1762aae524b5e,mid_to_high_real_model_error,3,5,3,score_only,,,False,"{""score"":5}",qwen3_4b_r0a_direct,qwen3_4b_r0a_direct|deepseek-v3|deepseek-r1|gpt-4o,4,real_model_score_output,f7358cdd2383a23c62016fda3e0a2427f510b00a,0f3e87d934aa22cb85860f178b7b054798903c13,beb005be4da3a0130f32c06ff634b762c7be9c49
