synthetic_id,synthetic_plan_id,target_label_5,suggested_label_5,language,metric_canonical,error_type,suggested_error_type,answer_synthetic,rationale_for_label,expected_failure_against_rubric,manual_quality_ok,manual_label_plausible,manual_error_type_match,manual_language_ok,manual_naturalness_ok,manual_no_artifact_ok,manual_rubric_alignment_ok,too_good_for_target_label,decision,can_use_after_revision,manual_notes
syn_57f198a97c0291e2,b96_011,1,,en,Scenario Element Integration,scenario_mismatch,,"{""Reasoning Provided"": ""To determine the central principle, one should reflect on the evolution of administrative theories. Many factors influence what becomes central in a given framework. Thus, careful analysis of each option is required.""}","The answer does not engage with the specific question about New Public Management; it provides a generic statement that could apply to any multiple-choice question, thus completely ignoring the scenario-specific content. It fails to reference NPM or its principles.","Severe scenario mismatch: output is generic and irrelevant to the specific educational scenario, with no integration of the question's topic.",,,,,,,,not_detected,,,
syn_920e17e7db56e1cd,b96_012,1,,zh,Scenario Element Integration,instruction_violation,,"为满足学生的学习需求，以下是建议的学习任务：

```json
{
  ""任务列表"": [
    ""学习基础理论知识"",
    ""完成课后习题"",
    ""参与小组讨论"",
    ""撰写一篇论文""
  ]
}
```",回答完全未使用学生画像中的任何具体信息（如姓名、背景、兴趣、挑战），仅给出了极其通用、模板化的学习任务列表，与任务要求的高度个性化目标背道而驰。,完全忽视场景特定信息；输出通用、模板化，且与场景不相关。,,,,,,,,not_detected,,,
syn_db2c3665c2701f48,b96_013,2,,en,Scenario Element Integration,scenario_mismatch,,"{
  ""Emotional State Analysis"": {
    ""Emotion"": ""Anxiety"",
    ""Triggers"": [""Upcoming exams""],
    ""Indicators"": [""Expressed worry"", ""Nervousness""]
  },
  ""Comfort & Advice"": {
    ""Comfort"": [
      ""It's completely normal to feel anxious before exams."",
      ""Many students go through this.""
    ],
    ""Advice"": [
      ""Make sure to get plenty of rest."",
      ""Eat well and stay hydrated."",
      ""Try relaxation techniques like deep breathing."",
      ""Plan your study time effectively.""
    ]
  }
}","The answer only makes surface-level reference to the scenario by mentioning 'exams' but fails to integrate specific triggers such as 'amount of information to memorize and apply' or 'need to perform well to meet my own expectations'. Emotional state is given generically as 'Anxiety' instead of 'Mild Anxiety', and the advice offers generic stress tips without addressing the student's self-imposed pressure or the memorization challenge, resulting in weak contextual connection.",Only surface-level reference to scenario information; did not integrate core elements effectively; weak contextual connection.,,,,,,,,not_detected,,,
syn_04500ba6aa432cc5,b96_014,2,,zh,Scenario Element Integration,instruction_violation,,"{""思路"": [{""分析"": ""这题考查市场细分，根据教学经验，学生容易误选A，但正确答案是B。因为客户需求是细分的基础。其他选项不重要。""}]}",回答仅表层提及‘教学经验’这一场景要素，但未展开任何实质性融合，对情景的利用非常浅薄；同时内容严重偏离指令要求，未提供对各选项的完整思路，整体质量低但并非完全无视场景，符合2分标准。,仅表层提及场景信息（‘根据教学经验’），未有效融合核心要素，与教学上下文连接极弱，个性化程度几乎为零。,,,,,,,,not_detected,,,
syn_880d8a0283ad35a2,b96_015,2,,en,Scenario Element Integration,scenario_mismatch,,"{""Corrected Answer"": ""The legal principle is the Double Jeopardy Clause."", ""Error Explanation"": ""The student's answer is wrong. The correct principle is about not being tried twice for the same offense.""}","The explanation only superficially references the student's original answer ('is wrong') without engaging with the specific error (confusing stare decisis with double jeopardy). This represents a major defect in integrating the scenario, making the answer unreliable for effective error correction, consistent with a label 2.","The error explanation fails to integrate the core scenario element—the student's misconception about stare decisis. It merely declares the answer wrong without addressing why it is wrong, resulting in weak contextual connection and a clear rubric failure.",,,,,,,,not_detected,,,
syn_f6aa1ad7fcd811b9,b96_016,3,,zh,Scenario Element Integration,instruction_violation,,听到你这么说，我感受到你真的很紧张和害怕，尤其在语文课上担心读不好被批评和嘲笑。你的情绪状态主要是焦虑和担忧。我建议你可以试着和老师或家长沟通一下你的感受，让他们了解你的困难。平时多练习朗读，从小声开始，慢慢建立信心。记住，每个人都会犯错，不用给自己太大压力。,回答仅简单提及了对话中的表层信息（紧张、害怕、担心批评），安慰建议笼统且缺乏个性化策略，融合程度较浅，符合3分定义。,未以JSON格式返回所要求的“情绪状态分析”和“安慰与建议”结构化内容，而是提供了通用文本回复，违反了输出格式指令；同时，对场景要素的整合仅停留在表面，未深入分析具体认知模式或给出针对性建议，个性化不足。,,,,,,,,not_detected,,,
syn_47ae529de464a185,b96_017,1,,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,,"{
  ""personalized_learning_content"": [
    {
      ""task_title"": ""Weekly Reading Assignment"",
      ""description"": ""Read the assigned textbook chapter and write a one-page summary."",
      ""resources"": [""Textbook""],
      ""timeline"": ""1 week"",
      ""outcome"": ""Summary document"",
      ""category"": ""General""
    },
    {
      ""task_title"": ""Multiple-Choice Quiz"",
      ""description"": ""Complete the online quiz on the reading material."",
      ""resources"": [""Online platform""],
      ""timeline"": ""30 minutes"",
      ""outcome"": ""Quiz score"",
      ""category"": ""Assessment""
    },
    {
      ""task_title"": ""Discussion Participation"",
      ""description"": ""Contribute to the class discussion board by posting at least two comments."",
      ""resources"": [""Discussion board""],
      ""timeline"": ""Ongoing"",
      ""outcome"": ""Discussion posts"",
      ""category"": ""Participation""
    }
  ]
}","The answer is a generic set of tasks that does not consider the student's specific profile. There is no mention of sustainable aquaculture, no alignment with the student's analytical strengths or data analysis skills, no support for academic writing or presentation weaknesses, and no incorporation of preferred visual aids, hands-on experiments, or collaborative projects. The output is identical to what one might assign to any student regardless of their background, constituting a complete failure of personalization.",No personalization; output is completely generic and conflicts with student needs by ignoring the required learning support for academic writing and presentation skills. It offers no relevant learning support.,,,,,,,,not_detected,,,
syn_00da6f839dfb0de7,b96_018,1,,zh,"Personalization, Adaptation & Learning Support",rubric_violation,,"{""情绪状态分析"": {""主要情绪"": ""轻度兴奋"", ""具体表现"": [""对语文学习感到好奇"", ""主动寻找生字记忆方法"", ""对考试充满期待""], ""潜在心理需求"": [""渴望获得表扬"", ""希望展示自己的聪明""]}, ""安慰与建议"": {""情感支持"": [""你的能力很强，不需要担心"", ""考试结果不重要，开心就好""], ""认知调整建议"": [""把所有课文抄写十遍"", ""生字记不住就放弃，反正以后用不上""], ""行为策略"": [""每天背诵整本语文书"", ""强迫自己在考前通宵学习""], ""考试应对技巧"": [""考试时先做最难的部分"", ""如果紧张就停止答题休息半小时""], ""长期建议"": [""只学语文，其他科目不重要"", ""不要参加任何课外活动以节省时间""]}}",回答的情绪分析严重错误，将学生的中度焦虑和记忆困难误解为兴奋和好奇，完全没有反映真实情绪状态。安慰与建议部分提供了误导性的、有害的策略，如通宵学习、放弃记忆、抄写惩罚等，既未提供有效的语文学习支持，也完全无视学生的个性化需求，属于严重的rubric违反。,根据评分细则1分要求“完全没有个性化考虑，输出内容可能与学生需求不符；未提供或提供了错误的学习支持”，本回答错误识别情绪，建议无效且有害（如通宵学习、放弃生字），完全没有针对学生的记忆困难和考试焦虑提供任何有价值的记忆技巧或情感支持。,,,,,,,,not_detected,,,
syn_e7ae50ef755e55c9,b96_019,1,,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,,"{
  ""Learning Path Planning"": {
    ""Phase 1"": {
      ""Focus"": ""Advanced Calculus and Linear Algebra"",
      ""Resources"": [
        ""Textbook: 'Principles of Mathematical Analysis' by Walter Rudin"",
        ""Audio-only recorded lectures on real analysis""
      ],
      ""Goals"": ""Complete all problem sets individually, no discussion with peers""
    },
    ""Phase 2"": {
      ""Focus"": ""Microeconomic Theory"",
      ""Resources"": [
        ""Dense journal articles with no visual summaries"",
        ""Lengthy monographs on consumer theory""
      ],
      ""Goals"": ""Produce written summaries without any graphs or charts""
    }
  },
  ""Personalized Recommendations"": [
    ""Concentrate exclusively on pure mathematics to build a strong theoretical foundation"",
    ""Avoid group discussions; they are a waste of time and distract from deep individual work"",
    ""Do not rely on visual learning materials; traditional text is more rigorous""
  ]
}","The answer shows no personalization: it ignores the student's learning goals (application of economic theories, quantitative analysis for policy), weak points (econometric modeling, macroeconomic policy analysis), and explicitly contradicts study habits (prefers visual materials, short sessions, group discussions). The recommended path is irrelevant and detrimental, providing zero learning support.",No personalization; output conflicts with student needs; offers incorrect or no learning support. The plan disregards all profile details and suggests an incompatible approach.,,,,,,,,not_detected,,,
syn_af7996a071bf4b15,b96_020,1,,zh,"Personalization, Adaptation & Learning Support",rubric_violation,,"{""student_name"": ""李明"", ""grade"": ""大二"", ""major"": ""数学与应用数学"", ""personalized_learning_content"": [{""主题"": ""高等数学复习"", ""学习资料"": [""《高等数学》同济版教材"", ""《线性代数》同济版教材""], ""任务"": [{""类型"": ""习题练习"", ""描述"": ""完成课后习题，并背诵公式""}], ""周期"": ""1个月""}]}",该回答完全没有针对学生的任何特点进行个性化：忽略了视觉学习风格，没有提供任何图表、图形或可视化工具；忽略了抽象概念理解困难的挑战，没有提供实际应用案例；推荐的内容是通用教材和习题，与任何学生的需求都可能不符。因此该回答符合1分标准。,回答未体现任何个性化考虑：没有根据学习风格（视觉学习者）设计图形化学习内容，没有针对抽象概念困难提供实际应用例子，学习支持不足且不相关。这完全满足1分的描述：“完全没有个性化考虑，输出内容可能与学生需求不符；未提供或提供了错误的学习支持”。,,,,,,,,not_detected,,,
syn_c8c307bb996ffe32,b96_021,2,,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,,"{
  ""Emotional State Analysis"": {
    ""Anxiety Level"": ""Moderate"",
    ""Primary Emotions"": [""Stress"", ""Worry"", ""Confusion""],
    ""Triggers"": [""Academic workload"", ""Physics homework""],
    ""Cognitive Patterns"": [""Feeling overwhelmed"", ""Lack of confidence""]
  },
  ""Comfort & Advice"": {
    ""Validation"": [""It's okay to feel stressed, many students do.""],
    ""Practical Strategies"": [
      ""Take regular breaks and practice deep breathing."",
      ""Try a study group for additional support."",
      ""Review class notes regularly.""
    ],
    ""Mindset Shifts"": [""Don't be too hard on yourself."", ""Remember that struggling is part of learning.""]
  }
}",The answer provides only generic emotional analysis and advice. It fails to personalize to the student's specific triggers—such as anxiety around problem-solving speed and getting stuck—and offers learning support that is unrelated to the actual physics challenge. This corresponds to label 2's requirement of little to no personalization and insufficient/unrelated support.,"The response is a one-size-fits-all template; it does not address the student's moderate anxiety with tailored strategies for physics problem-solving, ignoring the expressed need for help with getting stuck and time pressure.",,,,,,,,not_detected,,,
syn_0a7492bf081b6d27,b96_022,2,,zh,"Personalization, Adaptation & Learning Support",rubric_violation,,"{""学习路径规划建议"": [{""阶段"": ""基础阶段"", ""内容"": [""阅读刑法教材，理解基本概念"", ""背诵刑法法条"", ""完成课后习题""]}, {""阶段"": ""提高阶段"", ""内容"": [""做历年真题"", ""分析案例，练习文书写作"", ""参加辅导班""]}, {""阶段"": ""冲刺阶段"", ""内容"": [""回顾错题"", ""强化记忆重点法条"", ""进行模拟考试""]}], ""个性化意见生成"": {""学习方法优化"": [""制作思维导图帮助记忆"", ""定期复习笔记""], ""资源推荐"": [""教材：任意刑法学教材"", ""题库：市面上常见的法考题库""], ""习惯改善建议"": [""多和同学讨论疑难问题"", ""尝试参加学习小组""], ""薄弱点突破策略"": [""多看法条解释"", ""加强案例练习""]}}",该回答提供了完全通用的学习路径和意见，没有利用学生画像中的任何具体信息，如已修课程、学习习惯、薄弱点、学习目标等。任何学习刑法的人都会得到相同的建议，因此标签2分是准确的。,根据评分细则，2分的标准是“几乎没有体现个性化适应，输出内容/建议对所有人都一样；学习支持不足或不相关”。该回答的学习路径规划只有基础、提高、冲刺等泛化阶段，内容都是通用的“阅读教材、做真题、背诵法条”；个性化意见生成中的建议如“制作思维导图”、“多讨论”等也未针对学生案例学习偏好或条文应用薄弱点进行调整。缺乏针对性，学习支持不足。,,,,,,,,not_detected,,,
syn_f14aa5019e1dfc84,b96_023,2,,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,,"{
  ""personalized_learning_content"": [
    {
      ""topic"": ""Physical Education"",
      ""activity"": ""Read textbook chapters and summarize"",
      ""description"": ""Review chapters on human anatomy and physiology. Write a one-page summary for each chapter."",
      ""resources"": [""Anatomy and Physiology textbook"", ""Notebook for summaries""]
    },
    {
      ""topic"": ""Sports Coaching"",
      ""activity"": ""Observe a coach and take notes"",
      ""description"": ""Attend a local sports practice and observe the coach's methods. Write a reflection paper."",
      ""resources"": [""Observation log template"", ""Reflection guidelines""]
    }
  ]
}","The output provides generic learning tasks that could apply to any physical education student, failing to incorporate Alex's specific background in biomechanics and sports psychology, his master's-level studies, or his visual/kinesthetic learning preferences. The tasks (reading, summarizing, observing) do not align with his hands-on, graphical learning style and ignore his stated goals, making the personalization negligible.",Little to no personalization; output is the same for everyone; learning support is insufficient or unrelated.,,,,,,,,not_detected,,,
syn_6ecac000b63bd677,b96_024,3,,zh,"Personalization, Adaptation & Learning Support",rubric_violation,,"{
  ""情绪状态分析"": {
    ""焦虑级别"": ""重度焦虑"",
    ""主要触发因素"": [
      ""物理学科难度"",
      ""考试压力""
    ],
    ""心理状态特征"": [
      ""对物理感到挫败"",
      ""焦虑影响学习""
    ]
  },
  ""安慰与建议"": {
    ""认知重构"": [
      ""鼓励学生，告诉他很多人都会遇到困难"",
      ""强调犯错是学习过程""
    ],
    ""学习策略"": [
      ""多做练习题"",
      ""复习课本基本概念"",
      ""可以看一些教学视频""
    ],
    ""压力管理"": [
      ""感到焦虑时可以试试深呼吸"",
      ""适当休息"",
      ""保持积极心态""
    ],
    ""资源支持"": [
      ""可以找老师或同学讨论"",
      ""网上有很多学习资源""
    ]
  }
}",回答参考了学生关于物理和电磁学焦虑的陈述，情绪分析简单提及触发因素，安慰与建议尝试给出学习策略和压力管理，但内容高度通用（如“多做练习题”“深呼吸”），未针对电磁学公式应用提供具体、差异化的指导，学习支持价值有限，符合3分“尝试个性化但适应性不强”的特征。,本维度5分要求“非常好地根据学生水平/特点/需求提供了高度差异化的内容/建议/反馈”，但此回答仅提供了极通用的建议，即使更换学科或学生也几乎无需修改，与5分标准直接冲突，因此视为rubric violation。,,,,,,,,not_detected,,,
syn_a6800b496cebf41c,b96_025,1,,en,Higher-Order Thinking & Skill Development,reasoning_gap,,"To explain how plate tectonics leads to mountain formation, just recall that tectonic plates are always moving. When two plates push against each other, the land gets crumpled and rises up to form mountains. So the process is simply: movement → collision → uplift. No need to overcomplicate with subduction or faulting; that's just extra details.","The reasoning reduces a complex geological process to a rote, one-line cause-effect without any explanation of mechanisms, discouraging deeper understanding. It explicitly tells the learner not to consider details, promoting memorization over thinking.",Completely ignores higher-order skill development; encourages rote memorization and repetition; inhibits thinking flexibility by dismissing necessary complexity.,,,,,,,,not_detected,,,
syn_47af61777670fce4,b96_026,1,,zh,Higher-Order Thinking & Skill Development,superficial_fluency,,"{""姓名"": ""李华"", ""个性化学习内容或任务"": [{""类型"": ""知识记忆"", ""描述"": ""请每天背诵《教育学基础》第三章的重点概念，并在本子上默写五遍。"", ""目的"": ""加深对教育学基本概念的印象。""}, {""类型"": ""重复阅读"", ""描述"": ""反复阅读《教育心理学》第2-4章，并摘抄你认为重要的句子。"", ""目的"": ""熟悉教育心理学的基本理论。""}]}",回答内容仅限于背诵和摘抄，完全停留在记忆层面，没有任何分析、应用、评估或创造等高阶思维活动，与1分标签完全吻合。,该任务要求学生机械记忆和重复阅读，完全忽视了批判性思维、问题解决或知识迁移等高阶能力培养，与评分细则中1分‘完全忽视高阶思维培养，仅限于死记硬背或简单重复’的描述直接对应。,,,,,,,,not_detected,,,
syn_914b7d75f45a1c1c,b96_027,1,,en,Higher-Order Thinking & Skill Development,reasoning_gap,,"To explain the effects, I'd just say that when you do aerobic exercise, your heart beats faster and your breathing gets faster. This is because your muscles need more oxygen. That's the main physiological effect.","The response provides no higher-order thinking; it is a superficial statement that merely repeats basic facts without analysis, evaluation, or application. It encourages rote memorization of a single cause-effect relationship and lacks any depth in reasoning.",Completely ignores higher-order skill development; the reasoning is limited to a simplistic recall of one effect (heart rate and breathing) without exploring the cardiovascular system's actual physiological changes or long-term adaptations.,,,,,,,,not_detected,,,
