sample_id,generated_count,score_risk_rejected_count,evidence_risk_rejected_count,used_score_risk_pairs,failure_mode_auto,metric,language
3e6317e0a4cd57573a6c971fc945cfc7ee52148a,16,0,0,0,missing_key_point,Reasoning Process Rigor,en
4042b14600691c9b29b70d916e9db910c058d891,16,0,0,0,missing_key_point,Reasoning Process Rigor,en
44a426bf4f453df7ea5b7ac85d6f0e801f9ba296,16,0,0,0,missing_key_point,Reasoning Process Rigor,en
6358300a1312a268220578a420e801d4c75e9525,16,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
d7038665e81daff68cadf97e16d4c3e3c3fe543d,16,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
74489511928922f9b0aa06c74a3c42dabf84217e,16,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
5680bbfccbc4637e7c9c7e3d63698aaf2b4fa213,16,0,0,0,insufficient_evidence,Reasoning Process Rigor,en
0578273c54e1a724084529ebbc385f1bdd1076ea,16,1,1,1,surface_fluent_but_hidden_defect,Basic Factual Accuracy,en
0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,16,0,0,0,missing_key_point,Reasoning Process Rigor,en
9473740ab3e011ac08772a84e106e72f4d38f137,16,0,0,0,missing_key_point,Reasoning Process Rigor,en
9695560e94c04bb151b514cc850a85eb10394a00,16,0,0,0,insufficient_evidence,Reasoning Process Rigor,zh
198938e2f622bb0de4883a3dc7e56f75c8a0dc9b,16,0,0,0,missing_key_point,Reasoning Process Rigor,en
674bc19324921890f8c1245b4760b0909fc05534,16,0,0,0,missing_key_point,Reasoning Process Rigor,en
eca00ddc55d718efe2435adde78462ed09661b7c,16,0,0,0,missing_key_point,Reasoning Process Rigor,zh
4d02a34fe7fc1a2f65e5defcbeec26283b13ada9,16,0,0,0,missing_key_point,Reasoning Process Rigor,zh
61ce1005760ba6b25779f26dec03b15d4d61f5ec,16,0,0,0,missing_key_point,Reasoning Process Rigor,zh
cc218e690fef26eec817bb03c4ad9a759d05825e,16,0,0,0,missing_key_point,Reasoning Process Rigor,zh
