synthetic_plan_id,synthetic_id,source_record_id,source_split,source_file,source_row_index,source_question_key,source_triple_key,question,rubric_text,target_label_5,planned_target_label_5,language,metric_canonical,error_type,planned_error_type,current_label_5,human_label_5,scenario_canonical,subject_canonical,education_level_canonical,selected,selected_for_generation,selection_status,source_question_in_dev,source_question_in_test,source_triple_in_dev,source_triple_in_test,question_preview,source_answer_preview,rubric_preview,selection_notes,notes
mb011,,,,,,,,,,1,1,en,Instruction Following & Task Completion,instruction_violation,instruction_violation,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb012,,,,,,,,,,2,2,zh,Instruction Following & Task Completion,rubric_violation,rubric_violation,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb013,,,,,,,,,,1,1,en,Basic Factual Accuracy,factual_error,factual_error,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb014,,,,,,,,,,2,2,zh,Basic Factual Accuracy,overconfident_wrong,overconfident_wrong,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb015,,,,,,,,,,1,1,en,Domain Knowledge Accuracy,factual_error,factual_error,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb016,,,,,,,,,,2,2,zh,Domain Knowledge Accuracy,rubric_violation,rubric_violation,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb017,,,,,,,,,,3,3,en,Role & Tone Consistency,scenario_mismatch,scenario_mismatch,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb018,,,,,,,,,,1,1,zh,Role & Tone Consistency,superficial_fluency,superficial_fluency,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb019,,,,,,,,,,3,3,en,Content Relevance & Scope Control,scenario_mismatch,scenario_mismatch,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb020,,,,,,,,,,1,1,zh,Content Relevance & Scope Control,rubric_violation,rubric_violation,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb021,,,,,,,,,,2,2,en,"Clarity, Simplicity & Inspiration",superficial_fluency,superficial_fluency,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb022,,,,,,,,,,3,3,zh,"Clarity, Simplicity & Inspiration",rubric_violation,rubric_violation,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb023,,,,,,,,,,2,2,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,scenario_mismatch,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
mb024,,,,,,,,,,3,3,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,superficial_fluency,,,,,,False,False,unavailable,,,,,,,,BLOCKED: no complete train-only source candidate found for target,BLOCKED: no complete train-only source candidate found for target
