check,path,status,observed,expected,notes
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/tables/scenario_level_metrics.csv,PASS,rows=17 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/logs/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/logs/training_log.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/metrics.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/tables/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/tables/metric_level_metrics.csv,PASS,rows=24 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/tables/metrics_summary.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/tables/scenario_level_metrics.csv,PASS,rows=17 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/logs/training_log.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/tables/metric_level_metrics.csv,PASS,rows=24 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/tables/metrics_summary.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/tables/scenario_level_metrics.csv,PASS,rows=17 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/logs/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/logs/training_log.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/metrics.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/tables/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/tables/metric_level_metrics.csv,PASS,rows=24 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/tables/metrics_summary.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/tables/scenario_level_metrics.csv,PASS,rows=17 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/logs/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/logs/training_log.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/metrics.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/tables/dev_metrics_history.csv,PASS,rows=10 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/tables/metric_level_metrics.csv,PASS,rows=24 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/tables/metrics_summary.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/tables/scenario_level_metrics.csv,PASS,rows=17 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/logs/dev_metrics_history.csv,PASS,rows=1 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/logs/training_log.csv,PASS,rows=1 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/metrics.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/tables/dev_metrics_history.csv,PASS,rows=1 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/tables/metric_level_metrics.csv,PASS,rows=6 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/tables/metrics_summary.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/tables/scenario_level_metrics.csv,PASS,rows=2 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/logs/dev_metrics_history.csv,PASS,rows=1 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/logs/training_log.csv,PASS,rows=1 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/metrics.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/tables/dev_metrics_history.csv,PASS,rows=1 cols=31,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/tables/high_score_metrics.csv,PASS,rows=2 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/tables/low_score_metrics.csv,PASS,rows=2 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/tables/metric_level_metrics.csv,PASS,rows=6 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/tables/metrics_summary.csv,PASS,rows=2 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/tables/per_bin_metrics.csv,PASS,rows=10 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/tables/scenario_level_metrics.csv,PASS,rows=2 cols=29,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/a2_exp2_template_equivalence.csv,PASS,rows=3 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/corrected_rubric_mapping.csv,PASS,rows=1 cols=11,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/dataset_stats_by_template.csv,PASS,rows=15 cols=9,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_delta_vs_a2.csv,PASS,rows=5 cols=13,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_low_score.csv,PASS,rows=10 cols=13,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_low_score_comparison.csv,PASS,rows=5 cols=7,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_metric_delta_vs_a2.csv,PASS,rows=60 cols=6,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_metric_level.csv,PASS,rows=120 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_per_bin.csv,PASS,rows=50 cols=13,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_scenario_level.csv,PASS,rows=85 cols=32,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_summary.csv,PASS,rows=5 cols=21,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/input_ablation_token_length.csv,PASS,rows=15 cols=13,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/label_distribution_by_template.csv,PASS,rows=75 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/readability_check_exp03.csv,PASS,rows=220 cols=6,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/rubric_quality_audit.csv,PASS,rows=132 cols=8,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/rubric_repair_candidates.csv,PASS,rows=15 cols=8,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/rubric_source_audit.csv,PASS,rows=24 cols=10,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/sanity_check_exp03_outputs.csv,PASS,rows=50 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/sanity_check_exp03_setup.csv,PASS,rows=115 cols=5,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/tables/template_length_stats.csv,PASS,rows=15 cols=13,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/templates/template_lengths.csv,PASS,rows=27680 cols=8,readable,
pandas.read_csv,thesis_exp/outputs/exp03_input_ablation/templates/template_manifest.csv,PASS,rows=5 cols=7,readable,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A0_answer_only/dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A0_answer_only/test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A0_answer_only/train.jsonl,PASS,rows=2654,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A1_question_answer/dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A1_question_answer/test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A1_question_answer/train.jsonl,PASS,rows=2654,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A2_question_answer_metric/dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A2_question_answer_metric/test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A2_question_answer_metric/train.jsonl,PASS,rows=2654,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A3_question_answer_metric_rubric/dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A3_question_answer_metric_rubric/test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A3_question_answer_metric_rubric/train.jsonl,PASS,rows=2654,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A4_question_answer_metric_rubric_metadata/dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A4_question_answer_metric_rubric_metadata/test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/datasets/A4_question_answer_metric_rubric_metadata/train.jsonl,PASS,rows=2654,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A0_answer_only_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A0_answer_only_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A1_question_answer_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A1_question_answer_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A2_question_answer_metric_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A2_question_answer_metric_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A3_question_answer_metric_rubric_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A3_question_answer_metric_rubric_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A4_question_answer_metric_rubric_metadata_predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/predictions/A4_question_answer_metric_rubric_metadata_predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A0_answer_only/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A1_question_answer/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A2_question_answer_metric/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A3_question_answer_metric_rubric/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions_dev.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions_dev_best.jsonl,PASS,rows=664,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/runs/A4_question_answer_metric_rubric_metadata/predictions_test.jsonl,PASS,rows=2218,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions/predictions_dev.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions/predictions_dev_best.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions/predictions_test.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions_dev.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions_dev_best.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A3_question_answer_metric_rubric/predictions_test.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions/predictions_dev_best.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions/predictions_test.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions_dev.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions_dev_best.jsonl,PASS,rows=8,all nonempty lines parse,
jsonl line json.loads,thesis_exp/outputs/exp03_input_ablation/smoke_test/A4_question_answer_metric_rubric_metadata/predictions_test.jsonl,PASS,rows=8,all nonempty lines parse,
markdown max line length,thesis_exp/outputs/exp03_input_ablation/datasets/dataset_card.md,PASS,90,<300,
markdown max line length,thesis_exp/outputs/exp03_input_ablation/figures/figure_manifest.md,PASS,55,<300,
markdown max line length,thesis_exp/outputs/exp03_input_ablation/notion_exp03_paper_notes.md,PASS,77,<300,
markdown max line length,thesis_exp/outputs/exp03_input_ablation/notion_exp03_summary.md,PASS,174,<300,
