rubric_mode,language,metric_a,metric_b,similarity,exact_duplicate,severity,notes
proposed,en,Error Identification & Correction Precision,"Motivation, Guidance & Positive Feedback",0.05421686746987952,False,PASS,ok
proposed,en,Error Identification & Correction Precision,"Personalization, Adaptation & Learning Support",0.096875,False,PASS,ok
proposed,en,Error Identification & Correction Precision,Reasoning Process Rigor,0.07852564102564102,False,PASS,ok
proposed,en,Error Identification & Correction Precision,Role & Tone Consistency,0.08398133748055987,False,PASS,ok
proposed,en,Error Identification & Correction Precision,Scenario Element Integration,0.10233258088788563,False,PASS,ok
proposed,en,Higher-Order Thinking & Skill Development,Instruction Following & Task Completion,0.09078947368421053,False,PASS,ok
proposed,en,Higher-Order Thinking & Skill Development,"Motivation, Guidance & Positive Feedback",0.05234159779614325,False,PASS,ok
proposed,en,Higher-Order Thinking & Skill Development,"Personalization, Adaptation & Learning Support",0.06837606837606838,False,PASS,ok
proposed,en,Higher-Order Thinking & Skill Development,Reasoning Process Rigor,0.05830903790087463,False,PASS,ok
proposed,en,Higher-Order Thinking & Skill Development,Role & Tone Consistency,0.06099290780141844,False,PASS,ok
proposed,en,Higher-Order Thinking & Skill Development,Scenario Element Integration,0.10323468685478321,False,PASS,ok
proposed,en,Instruction Following & Task Completion,"Motivation, Guidance & Positive Feedback",0.05217391304347826,False,PASS,ok
proposed,en,Instruction Following & Task Completion,"Personalization, Adaptation & Learning Support",0.07657657657657657,False,PASS,ok
proposed,en,Instruction Following & Task Completion,Reasoning Process Rigor,0.1,False,PASS,ok
proposed,en,Instruction Following & Task Completion,Role & Tone Consistency,0.0687593423019432,False,PASS,ok
proposed,en,Instruction Following & Task Completion,Scenario Element Integration,0.11440984793627806,False,PASS,ok
proposed,en,"Motivation, Guidance & Positive Feedback","Personalization, Adaptation & Learning Support",0.07278481012658228,False,PASS,ok
proposed,en,"Motivation, Guidance & Positive Feedback",Reasoning Process Rigor,0.08116883116883117,False,PASS,ok
proposed,en,"Motivation, Guidance & Positive Feedback",Role & Tone Consistency,0.08503937007874016,False,PASS,ok
proposed,en,"Motivation, Guidance & Positive Feedback",Scenario Element Integration,0.06397562833206398,False,PASS,ok
proposed,en,"Personalization, Adaptation & Learning Support",Reasoning Process Rigor,0.06756756756756757,False,PASS,ok
proposed,en,"Personalization, Adaptation & Learning Support",Role & Tone Consistency,0.10310965630114566,False,PASS,ok
proposed,en,"Personalization, Adaptation & Learning Support",Scenario Element Integration,0.14861660079051384,False,PASS,ok
proposed,en,Reasoning Process Rigor,Role & Tone Consistency,0.0957983193277311,False,PASS,ok
proposed,en,Reasoning Process Rigor,Scenario Element Integration,0.058394160583941604,False,PASS,ok
proposed,en,Role & Tone Consistency,Scenario Element Integration,0.1038552321007081,False,PASS,ok
proposed,zh,Basic Factual Accuracy,"Clarity, Simplicity & Inspiration",0.15041782729805014,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Content Relevance & Scope Control,0.32653061224489793,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Domain Knowledge Accuracy,0.1509433962264151,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Error Identification & Correction Precision,0.11671087533156499,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Higher-Order Thinking & Skill Development,0.04878048780487805,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Instruction Following & Task Completion,0.19148936170212766,False,PASS,ok
proposed,zh,Basic Factual Accuracy,"Motivation, Guidance & Positive Feedback",0.07291666666666667,False,PASS,ok
proposed,zh,Basic Factual Accuracy,"Personalization, Adaptation & Learning Support",0.065,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Reasoning Process Rigor,0.27419354838709675,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Role & Tone Consistency,0.17318435754189945,False,PASS,ok
proposed,zh,Basic Factual Accuracy,Scenario Element Integration,0.26857142857142857,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Content Relevance & Scope Control,0.2422680412371134,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Domain Knowledge Accuracy,0.0673076923076923,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Error Identification & Correction Precision,0.14691943127962084,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Higher-Order Thinking & Skill Development,0.04435483870967742,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Instruction Following & Task Completion,0.15676959619952494,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration","Motivation, Guidance & Positive Feedback",0.12121212121212122,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration","Personalization, Adaptation & Learning Support",0.05393258426966292,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Reasoning Process Rigor,0.03836930455635491,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Role & Tone Consistency,0.15384615384615385,False,PASS,ok
proposed,zh,"Clarity, Simplicity & Inspiration",Scenario Element Integration,0.2481012658227848,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,Domain Knowledge Accuracy,0.08,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,Error Identification & Correction Precision,0.11330049261083744,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,Higher-Order Thinking & Skill Development,0.09166666666666666,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,Instruction Following & Task Completion,0.19753086419753085,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,"Motivation, Guidance & Positive Feedback",0.13559322033898305,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,"Personalization, Adaptation & Learning Support",0.07925407925407925,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,Reasoning Process Rigor,0.034912718204488775,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,Role & Tone Consistency,0.11369509043927649,False,PASS,ok
proposed,zh,Content Relevance & Scope Control,Scenario Element Integration,0.2638522427440633,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,Error Identification & Correction Precision,0.08755760368663594,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,Higher-Order Thinking & Skill Development,0.10236220472440945,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,Instruction Following & Task Completion,0.15242494226327943,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,"Motivation, Guidance & Positive Feedback",0.07709750566893424,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,"Personalization, Adaptation & Learning Support",0.07439824945295405,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,Reasoning Process Rigor,0.1958041958041958,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,Role & Tone Consistency,0.20722891566265061,False,PASS,ok
proposed,zh,Domain Knowledge Accuracy,Scenario Element Integration,0.25552825552825553,False,PASS,ok
proposed,zh,Error Identification & Correction Precision,Higher-Order Thinking & Skill Development,0.04669260700389105,False,PASS,ok
proposed,zh,Error Identification & Correction Precision,Instruction Following & Task Completion,0.11389521640091116,False,PASS,ok
proposed,zh,Error Identification & Correction Precision,"Motivation, Guidance & Positive Feedback",0.026845637583892617,False,PASS,ok
proposed,zh,Error Identification & Correction Precision,"Personalization, Adaptation & Learning Support",0.07775377969762419,False,PASS,ok
proposed,zh,Error Identification & Correction Precision,Reasoning Process Rigor,0.06896551724137931,False,PASS,ok
proposed,zh,Error Identification & Correction Precision,Role & Tone Consistency,0.1187648456057007,False,PASS,ok
proposed,zh,Error Identification & Correction Precision,Scenario Element Integration,0.26634382566585957,False,PASS,ok
proposed,zh,Higher-Order Thinking & Skill Development,Instruction Following & Task Completion,0.04678362573099415,False,PASS,ok
proposed,zh,Higher-Order Thinking & Skill Development,"Motivation, Guidance & Positive Feedback",0.11516314779270634,False,PASS,ok
proposed,zh,Higher-Order Thinking & Skill Development,"Personalization, Adaptation & Learning Support",0.11173184357541899,False,PASS,ok
proposed,zh,Higher-Order Thinking & Skill Development,Reasoning Process Rigor,0.10216110019646366,False,PASS,ok
proposed,zh,Higher-Order Thinking & Skill Development,Role & Tone Consistency,0.11717171717171718,False,PASS,ok
proposed,zh,Higher-Order Thinking & Skill Development,Scenario Element Integration,0.188911704312115,False,PASS,ok
proposed,zh,Instruction Following & Task Completion,"Motivation, Guidance & Positive Feedback",0.04484304932735426,False,PASS,ok
proposed,zh,Instruction Following & Task Completion,"Personalization, Adaptation & Learning Support",0.05194805194805195,False,PASS,ok
proposed,zh,Instruction Following & Task Completion,Reasoning Process Rigor,0.2119815668202765,False,PASS,ok
proposed,zh,Instruction Following & Task Completion,Role & Tone Consistency,0.09523809523809523,False,PASS,ok
proposed,zh,Instruction Following & Task Completion,Scenario Element Integration,0.2766990291262136,False,PASS,SPECIAL_CHECK zh Scenario Element Integration vs Instruction Following & Task Completion. ok
proposed,zh,"Motivation, Guidance & Positive Feedback","Personalization, Adaptation & Learning Support",0.1148936170212766,False,PASS,ok
proposed,zh,"Motivation, Guidance & Positive Feedback",Reasoning Process Rigor,0.06334841628959276,False,PASS,ok
proposed,zh,"Motivation, Guidance & Positive Feedback",Role & Tone Consistency,0.17757009345794392,False,PASS,ok
proposed,zh,"Motivation, Guidance & Positive Feedback",Scenario Element Integration,0.21904761904761905,False,PASS,ok
proposed,zh,"Personalization, Adaptation & Learning Support",Reasoning Process Rigor,0.09606986899563319,False,PASS,ok
proposed,zh,"Personalization, Adaptation & Learning Support",Role & Tone Consistency,0.21171171171171171,False,PASS,ok
proposed,zh,"Personalization, Adaptation & Learning Support",Scenario Element Integration,0.22477064220183487,False,PASS,ok
proposed,zh,Reasoning Process Rigor,Role & Tone Consistency,0.20673076923076922,False,PASS,ok
proposed,zh,Reasoning Process Rigor,Scenario Element Integration,0.2647058823529412,False,PASS,ok
proposed,zh,Role & Tone Consistency,Scenario Element Integration,0.2639593908629442,False,PASS,ok
