sample_id,question_key,question_group_id,metric,language,subject,gold_label,gold_group,score_pred,risk_pred,risk_score_cap,final_pred,flagged,is_d1_hidden,baseline_low_to_high,final_low_to_high,rescued_low_to_high,gold_high_downgraded_to_3,audit_bucket
1e74f853fe7c30e4846473b3f9fb848763ceda29,c305b07d3e5049944f2cbd8512d5e2a0d2096f3d,c305b07d3e5049944f2cbd8512d5e2a0d2096f3d,Scenario Element Integration,en,Physics,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
327136f09fa436125af9b9e6ad607199fc7a35e2,c5e865a068a848238f34733509b1d670a4295978,c5e865a068a848238f34733509b1d670a4295978,Basic Factual Accuracy,en,Literature and Art,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
34db0fb298a82d4d8be9b442f633c75a0138f554,b62e6f2789e2f37733ad215d58a732b9fd77c233,b62e6f2789e2f37733ad215d58a732b9fd77c233,Instruction Following & Task Completion,zh,Physics,4,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
44d7bab57f702b1ca8d7bda1f1e54868f6348a53,e4d01b85df4567e5140f2b386f947d196784e009,e4d01b85df4567e5140f2b386f947d196784e009,Scenario Element Integration,en,Applied Economics,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
460f4c636231eaf300a76050cf161f6f582ed000,b523d065b505435167aeeb8ac570753d31f61486,b523d065b505435167aeeb8ac570753d31f61486,Higher-Order Thinking & Skill Development,zh,Public Administration,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
480466fdd7989f9b3076d5422b132884b7d2c714,bea4c701b5b8016ddc3f538300508271dc4dda99,bea4c701b5b8016ddc3f538300508271dc4dda99,Domain Knowledge Accuracy,en,Theoretical Economics,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
494058dd6c1512887b0c7ab69cb0757835603dba,c5e865a068a848238f34733509b1d670a4295978,c5e865a068a848238f34733509b1d670a4295978,Content Relevance & Scope Control,en,Literature and Art,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
499c3aa3f71a4972478a06aa506800a6215529da,6dfa5410ccd6bff4e82457549f460215c4105f79,6dfa5410ccd6bff4e82457549f460215c4105f79,Domain Knowledge Accuracy,en,Military Science,4,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
5024080b04317278763bd48e5dd0446471073041,e4d01b85df4567e5140f2b386f947d196784e009,e4d01b85df4567e5140f2b386f947d196784e009,Reasoning Process Rigor,en,Applied Economics,4,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
58ae036ffe33095ebda2507c619a73b8d5ab1182,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,Reasoning Process Rigor,zh,Crop Science,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
5a2938a0bc25df75bad5608d62bdcead1a3cc2f9,db2ee72b5e9852d8371685f637458d2b6f933ae8,db2ee72b5e9852d8371685f637458d2b6f933ae8,Reasoning Process Rigor,en,Chemistry,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
5faf89cb0198762be0a7f4c56e46b827ab74def6,db2ee72b5e9852d8371685f637458d2b6f933ae8,db2ee72b5e9852d8371685f637458d2b6f933ae8,Scenario Element Integration,en,Chemistry,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
63c0fec670fa4c2f5082b109f671e8b973b3fbb2,bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11,bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11,Scenario Element Integration,en,Crop Science,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
6c03d9af88ae68d610e8207efd74dce103d26fac,8f1c5aeed95abdf2d61b5100731052698e7f33a9,8f1c5aeed95abdf2d61b5100731052698e7f33a9,Scenario Element Integration,en,General Pedagogy,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
6d3bf89865dddddc9f005194c830e21f70ed590d,c305b07d3e5049944f2cbd8512d5e2a0d2096f3d,c305b07d3e5049944f2cbd8512d5e2a0d2096f3d,"Personalization, Adaptation & Learning Support",en,Physics,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
73afea9ca9893266c2b147977e2bc6cb794b82bc,c5e865a068a848238f34733509b1d670a4295978,c5e865a068a848238f34733509b1d670a4295978,Instruction Following & Task Completion,en,Literature and Art,4,gold_high_4_5,5,3,,3,True,False,False,False,False,True,downgraded_gold_high_to_3
7a864fd83c7c351a4a8ba76d82ffe42fde099021,b523d065b505435167aeeb8ac570753d31f61486,b523d065b505435167aeeb8ac570753d31f61486,Scenario Element Integration,zh,Public Administration,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
7be63681d03810e3490ec9b998cb76268f37f886,c5e865a068a848238f34733509b1d670a4295978,c5e865a068a848238f34733509b1d670a4295978,Reasoning Process Rigor,en,Literature and Art,4,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
7c7ddf6dcdaccc915d37c8279752c0e907888165,7295afb9c4022f59a3b8b3e7ad39fe7f9a8b5701,7295afb9c4022f59a3b8b3e7ad39fe7f9a8b5701,Scenario Element Integration,en,Automation,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
819f72ae050e2798fed4553636ef4b6931b92a7d,bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11,bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11,Scenario Element Integration,en,Crop Science,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
81e72dd5a6968dca6f28a58733fab59bc2a08fa4,8f1c5aeed95abdf2d61b5100731052698e7f33a9,8f1c5aeed95abdf2d61b5100731052698e7f33a9,Error Identification & Correction Precision,en,General Pedagogy,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
86b5a03d2d7f127785981d1f4d7b6d13683d2754,bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11,bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11,Scenario Element Integration,en,Crop Science,4,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
870c6c9f9f989fcb688ae37b93fe1861e9cb3474,8f1c5aeed95abdf2d61b5100731052698e7f33a9,8f1c5aeed95abdf2d61b5100731052698e7f33a9,Reasoning Process Rigor,en,General Pedagogy,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
88a746365df35af2b5688810bb3bc1a2e70d75fa,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,Content Relevance & Scope Control,zh,Literature and Art,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
a65240963ea80ec66fcfb880b7fb1a038929b87a,e4d01b85df4567e5140f2b386f947d196784e009,e4d01b85df4567e5140f2b386f947d196784e009,Scenario Element Integration,en,Applied Economics,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
ae46183fb6acfd5a5f389f5ba2e6b871bbcdbd9f,9cf4454fa7d0f685a64a0967fe74cf6967ba4589,9cf4454fa7d0f685a64a0967fe74cf6967ba4589,Reasoning Process Rigor,zh,Basic Medicine,4,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
b1357ace8601a2948a59ba53e4db152ae7bcbf86,db2ee72b5e9852d8371685f637458d2b6f933ae8,db2ee72b5e9852d8371685f637458d2b6f933ae8,Scenario Element Integration,en,Chemistry,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
b4c1f9718ffb3a6bf6426b2fe64a0ff846f32a4b,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,Basic Factual Accuracy,zh,Crop Science,4,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
b8bc85412230c34c0facedf78b34819e13db4e3c,331a7a211e46b10b48878cc0084924654a80202c,331a7a211e46b10b48878cc0084924654a80202c,Reasoning Process Rigor,en,Biology,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
bb7c90de0f34544630e4984fe378212c62e1088b,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,bbbb87022034ec8c0b0a3e1103b6d447bd1cdf3f,Scenario Element Integration,en,English,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
bf6a4f3620f92a487e089b259c86f181e850df7f,e4d01b85df4567e5140f2b386f947d196784e009,e4d01b85df4567e5140f2b386f947d196784e009,Reasoning Process Rigor,en,Applied Economics,4,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
c10f8ca6b6c436776aee40326328ff0a6bbd9fe1,b62e6f2789e2f37733ad215d58a732b9fd77c233,b62e6f2789e2f37733ad215d58a732b9fd77c233,Reasoning Process Rigor,zh,Physics,4,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
c7e30dcfa47407d9233ee60aaecddbba73babcf5,c5e865a068a848238f34733509b1d670a4295978,c5e865a068a848238f34733509b1d670a4295978,Error Identification & Correction Precision,en,Literature and Art,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
caa315858ac7eaa9b33ad3d4f8a75f6e6c49366d,b62e6f2789e2f37733ad215d58a732b9fd77c233,b62e6f2789e2f37733ad215d58a732b9fd77c233,Reasoning Process Rigor,zh,Physics,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
ce5c7cd72cc7131a0620c9e4446244252c8e5ceb,c5e865a068a848238f34733509b1d670a4295978,c5e865a068a848238f34733509b1d670a4295978,Instruction Following & Task Completion,en,Literature and Art,5,gold_high_4_5,5,3,3,3,True,False,False,False,False,True,downgraded_gold_high_to_3
d5b69d007a8473ffba013605baf41ccca7b92e42,8f1c5aeed95abdf2d61b5100731052698e7f33a9,8f1c5aeed95abdf2d61b5100731052698e7f33a9,Reasoning Process Rigor,en,General Pedagogy,4,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
d8e8e26f6c3d6ff605a84b04154f643fae910fa3,331a7a211e46b10b48878cc0084924654a80202c,331a7a211e46b10b48878cc0084924654a80202c,Reasoning Process Rigor,en,Biology,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
dc16153c3ff13cfb475559216b926b0ebdc316f2,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,Basic Factual Accuracy,zh,Literature and Art,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
debea221d9d25c841e2836940f68a1884e1399f3,b62e6f2789e2f37733ad215d58a732b9fd77c233,b62e6f2789e2f37733ad215d58a732b9fd77c233,Basic Factual Accuracy,zh,Physics,5,gold_high_4_5,5,1,1,3,True,False,False,False,False,True,downgraded_gold_high_to_3
e5aae9db6bf48c9645854e1c3da9c635458612f8,7295afb9c4022f59a3b8b3e7ad39fe7f9a8b5701,7295afb9c4022f59a3b8b3e7ad39fe7f9a8b5701,Scenario Element Integration,en,Automation,5,gold_high_4_5,5,2,2,3,True,False,False,False,False,True,downgraded_gold_high_to_3
057fb10dadb0ef587ef63e8c0692fb069e747f33,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,gold_low_1_2,5,3,3,3,True,True,True,False,True,False,rescued_d1_low_to_high
28cb100bda849f499ad3ad11500b7d1b494be4a7,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,gold_low_1_2,5,3,3,3,True,True,True,False,True,False,rescued_d1_low_to_high
9ab1bf35a1c05a0d05b45d75620e919312780063,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Instruction Following & Task Completion,en,History,2,gold_low_1_2,5,3,3,3,True,True,True,False,True,False,rescued_d1_low_to_high
a30876aee5bfcd792a475f60264f22dfc7b74b91,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Basic Factual Accuracy,en,History,2,gold_low_1_2,5,1,1,3,True,True,True,False,True,False,rescued_d1_low_to_high
abd894527f401792d7a5cb4438ee15420de3ea1d,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,gold_low_1_2,5,3,3,3,True,True,True,False,True,False,rescued_d1_low_to_high
e74e422bba24c22c7145a2d8e010496e37ab2c15,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,"Motivation, Guidance & Positive Feedback",zh,Crop Science,1,gold_low_1_2,5,3,3,3,True,False,True,False,True,False,rescued_low_to_high
