sample_id,question_key,question_group_id,metric,language,subject,gold_label,is_d1_hidden,pred_r2c,low_to_high_r2c,pred_r4b,low_to_high_r4b,pred_r7d,low_to_high_r7d,pred_r7e,low_to_high_r7e,pred_dpo0,low_to_high_dpo0,pred_orc_b,low_to_high_orc_b,pred_orc_b_noreason,low_to_high_orc_b_noreason,dpo0_changed_vs_r2c,orc_b_changed_vs_dpo0,r7d_fixed_r2c_l2h,dpo0_fixed_r2c_l2h,orc_b_fixed_dpo0_l2h,orc_b_worsened_vs_dpo0
d7dfad3fc42945cc563185c1a18e2e2af3b22a5a,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",en,Business Administration,1,False,3,False,3,False,2,False,4,True,4,True,4,True,4,True,True,False,False,False,False,False
308181498ec49e2d421c165fdf652ef8991f34f9,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Instruction Following & Task Completion,en,Business Administration,2,True,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
6304a049e36db27cde8ac17418f406f0b8d94687,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Scenario Element Integration,en,Business Administration,2,True,5,True,5,True,4,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
abd894527f401792d7a5cb4438ee15420de3ea1d,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Reasoning Process Rigor,en,Business Administration,2,True,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
f45ee7ba1b382a63c9d4d3f14889365d54dc1cbd,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,Error Identification & Correction Precision,en,Business Administration,2,True,5,True,5,True,2,False,5,True,5,True,5,True,5,True,False,False,True,False,False,False
a7f69c77078e9926635bb2b77ebdd28d5733ae36,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Clarity, Simplicity & Inspiration",en,Business Administration,2,True,5,True,5,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
2a2df83ec113e46b0061b47e958a73b62cd3f358,14ba3cb00f998348fe1c491eab066379d3bf192b,14ba3cb00f998348fe1c491eab066379d3bf192b,"Motivation, Guidance & Positive Feedback",en,Business Administration,1,False,3,False,3,False,5,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
46e715a2df1e392b0e0ddb3fee67f5a339e5e608,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,"Motivation, Guidance & Positive Feedback",en,Business Administration,2,True,4,True,4,True,4,True,4,True,4,True,4,True,4,True,False,False,False,False,False,False
3e9b912912a634cbb8efa9dff2aa3d76b50565c8,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,"Motivation, Guidance & Positive Feedback",en,Business Administration,2,False,4,True,4,True,4,True,4,True,4,True,4,True,4,True,False,False,False,False,False,False
445b2809aae28589a26054f762f72053905f1f3e,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Reasoning Process Rigor,en,History,1,False,1,False,1,False,5,True,4,True,5,True,5,True,5,True,True,False,False,False,False,False
13b1d7ece3374577cc37e22e71c8766b4225fe21,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Reasoning Process Rigor,en,History,1,False,1,False,1,False,5,True,4,True,5,True,5,True,5,True,True,False,False,False,False,False
3783f563820e72434b75d23f81fd58fb010931f7,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Content Relevance & Scope Control,en,History,2,True,5,True,2,False,5,True,2,False,5,True,5,True,5,True,False,False,False,False,False,False
a30876aee5bfcd792a475f60264f22dfc7b74b91,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Basic Factual Accuracy,en,History,2,True,5,True,1,False,5,True,5,True,5,True,5,True,5,True,False,False,False,False,False,False
74b53a524e1eefdcbd05d43135aa8c054f6099b9,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Reasoning Process Rigor,en,History,1,False,1,False,1,False,1,False,4,True,5,True,5,True,5,True,True,False,False,False,False,False
ef78fd201463e8b8c8effb75791995b76b888807,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Reasoning Process Rigor,en,History,1,False,1,False,1,False,5,True,4,True,5,True,5,True,5,True,True,False,False,False,False,False
9ab1bf35a1c05a0d05b45d75620e919312780063,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Instruction Following & Task Completion,en,History,2,True,5,True,5,True,5,True,5,True,5,True,5,True,5,True,False,False,False,False,False,False
f93c70f6bc17688bb1aa72c33100e1716657dc59,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Content Relevance & Scope Control,en,History,2,True,5,True,3,False,5,True,5,True,5,True,5,True,5,True,False,False,False,False,False,False
ec3c258a92d9ea146d07d5b2d54170aa37b10793,9d1179a873f8e7454e4075453ea96fee9e73ecff,9d1179a873f8e7454e4075453ea96fee9e73ecff,Basic Factual Accuracy,en,History,2,True,5,True,3,False,5,True,5,True,5,True,5,True,5,True,False,False,False,False,False,False
e77b4e71d88f1ac753379a5028ba01c13218095e,6dfa5410ccd6bff4e82457549f460215c4105f79,6dfa5410ccd6bff4e82457549f460215c4105f79,Higher-Order Thinking & Skill Development,en,Military Science,2,False,3,False,3,False,2,False,2,False,4,True,4,True,3,False,True,False,False,False,False,False
9ca1faa5965fe160e47bb334d28dd981016e4305,985d78ba4991a939fdc1da22aedc7db26d96a046,985d78ba4991a939fdc1da22aedc7db26d96a046,Higher-Order Thinking & Skill Development,en,Biology,2,False,3,False,2,False,2,False,2,False,2,False,3,False,3,False,True,True,False,False,False,False
ec75161444c125a6b67e00b6d4823e1dbf2af100,985d78ba4991a939fdc1da22aedc7db26d96a046,985d78ba4991a939fdc1da22aedc7db26d96a046,Higher-Order Thinking & Skill Development,en,Biology,2,False,3,False,3,False,2,False,4,True,2,False,4,True,4,True,True,True,False,False,False,True
81b0a87bc2607bc381b6f4590571dc027e82c028,985d78ba4991a939fdc1da22aedc7db26d96a046,985d78ba4991a939fdc1da22aedc7db26d96a046,Higher-Order Thinking & Skill Development,en,Biology,2,False,3,False,3,False,2,False,4,True,3,False,3,False,3,False,False,False,False,False,False,False
c93c29089980f3858f31a6bb1a8a55568d3b750e,985d78ba4991a939fdc1da22aedc7db26d96a046,985d78ba4991a939fdc1da22aedc7db26d96a046,Higher-Order Thinking & Skill Development,en,Biology,2,False,3,False,3,False,2,False,4,True,3,False,3,False,3,False,False,False,False,False,False,False
8f28634f559001ad29fab2c43154693a97781300,985d78ba4991a939fdc1da22aedc7db26d96a046,985d78ba4991a939fdc1da22aedc7db26d96a046,Higher-Order Thinking & Skill Development,en,Biology,2,False,3,False,3,False,4,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
bedcf746b3175551acc7aaad35440acd6b5b1f69,bea4c701b5b8016ddc3f538300508271dc4dda99,bea4c701b5b8016ddc3f538300508271dc4dda99,Higher-Order Thinking & Skill Development,en,Theoretical Economics,2,False,3,False,3,False,4,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
04bfbf54a7eeef628f3799e10e300520dcee17ca,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,Instruction Following & Task Completion,zh,Crop Science,2,True,5,True,4,True,5,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
4275823dfe4094d4b8e9887797ef050094c4f2c1,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,Error Identification & Correction Precision,zh,Crop Science,1,False,5,True,4,True,5,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
e74e422bba24c22c7145a2d8e010496e37ab2c15,9dcad11d15cc245e5dabc70ec2358208f1139f70,9dcad11d15cc245e5dabc70ec2358208f1139f70,"Motivation, Guidance & Positive Feedback",zh,Crop Science,1,False,5,True,4,True,5,True,4,True,5,True,5,True,5,True,False,False,False,False,False,False
424183cbce35426146e3037b190e0a1967c66c16,f0c5d4db7f494adcb9a74877d7432cc57370c219,f0c5d4db7f494adcb9a74877d7432cc57370c219,"Personalization, Adaptation & Learning Support",zh,Biology,2,False,4,True,4,True,4,True,4,True,4,True,4,True,4,True,False,False,False,False,False,False
618e3f9ac563987d77505bfb7715b02ff3150ea8,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,Reasoning Process Rigor,zh,Literature and Art,1,False,4,True,1,False,5,True,4,True,4,True,4,True,4,True,False,False,False,False,False,False
fc2ff7d26cadf548e85bec147fb18b5675d6ddb3,01e981e006d5cc3c46452c8e47a7071211cd9c78,01e981e006d5cc3c46452c8e47a7071211cd9c78,Reasoning Process Rigor,zh,Computer Science,1,False,1,False,1,False,5,True,1,False,4,True,5,True,4,True,True,True,False,False,False,False
0aaf39ad6c02e6ae4963e2255bdf55dc096aecb8,01e981e006d5cc3c46452c8e47a7071211cd9c78,01e981e006d5cc3c46452c8e47a7071211cd9c78,Reasoning Process Rigor,zh,Computer Science,1,False,1,False,1,False,4,True,1,False,4,True,4,True,4,True,True,False,False,False,False,False
a6a20cc15a6ffb4d18de47f6e62cd3fbe0823c08,01e981e006d5cc3c46452c8e47a7071211cd9c78,01e981e006d5cc3c46452c8e47a7071211cd9c78,Reasoning Process Rigor,zh,Computer Science,1,False,1,False,1,False,5,True,1,False,4,True,4,True,4,True,True,False,False,False,False,False
dddcdb1af8c488b9ca8258a052e3119137a1d6a4,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,Reasoning Process Rigor,zh,Literature and Art,1,False,4,True,1,False,4,True,4,True,4,True,4,True,4,True,False,False,False,False,False,False
0e85df678d2092614f074c1c9abafdbde1b0b352,01e981e006d5cc3c46452c8e47a7071211cd9c78,01e981e006d5cc3c46452c8e47a7071211cd9c78,Reasoning Process Rigor,zh,Computer Science,1,False,1,False,1,False,5,True,1,False,4,True,4,True,4,True,True,False,False,False,False,False
5252cdfa0172dbf77581c3e43c3b94262cf1b3b6,01e981e006d5cc3c46452c8e47a7071211cd9c78,01e981e006d5cc3c46452c8e47a7071211cd9c78,Reasoning Process Rigor,zh,Computer Science,1,False,1,False,1,False,4,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
9a45c2ae20eb3b0f2c13614c2df867017d21da04,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,a2a51fd5b290f9fd0d1f9205256d33eacba0c4e6,Reasoning Process Rigor,zh,Literature and Art,1,False,4,True,1,False,5,True,1,False,4,True,4,True,4,True,False,False,False,False,False,False
504d54b92c1d0c638a58b810bfbc7bacf92dff06,b62e6f2789e2f37733ad215d58a732b9fd77c233,b62e6f2789e2f37733ad215d58a732b9fd77c233,Reasoning Process Rigor,zh,Physics,1,False,1,False,1,False,5,True,4,True,4,True,4,True,4,True,True,False,False,False,False,False
