left_variant,right_variant,effect,metric,difference_definition,point_difference,ci_low_95,ci_high_95,bootstrap_resamples,cluster_unit
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,Bin_Agreement,right_minus_left,0.008130081300812941,-0.000926848658574872,0.018711777160847796,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,QWK,right_minus_left,0.012103762538755114,-0.00814169753777462,0.03414188773754897,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,low_to_high_count,right_minus_left,-3.0,-8.0,0.0,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,low_to_high_rate,right_minus_left,-0.05263157894736836,-0.11111111111111105,0.0,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,high_to_low_count,right_minus_left,0.0,0.0,0.0,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,high_to_low_rate,right_minus_left,0.0,0.0,0.0,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,label1_recall,right_minus_left,0.0,0.0,0.0,1997,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,label2_recall,right_minus_left,0.0,0.0,0.0,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,label3_recall,right_minus_left,0.06666666666666665,-0.021052631578947323,0.17895481628599796,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,label4_recall,right_minus_left,0.005141388174807138,-0.038358798735511124,0.046448254439055724,2000,question_key
v1_original_label_matched_weight,v2_selective_hard_relabel,hard_relabel_effect,label5_recall,right_minus_left,-0.03417266187050361,-0.06433823529411764,-0.005586073942019723,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,MAE_argmax,right_minus_left,-0.00903342366757004,-0.04144399371276366,0.023454088952654217,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,Exact_Match,right_minus_left,0.02168021680216803,-0.007774570600954702,0.05174615590602232,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,Kendall_tau,right_minus_left,0.043906306524484906,0.00996376228671706,0.08221282337603665,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,Bin_Agreement,right_minus_left,-0.0027100271002709064,-0.014617565364742588,0.007470530426054068,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,QWK,right_minus_left,-0.01625577101918463,-0.048117634927052344,0.02150982274687802,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,low_to_high_count,right_minus_left,4.0,0.0,9.0,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,low_to_high_rate,right_minus_left,0.07017543859649122,0.0,0.15384615384615385,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,high_to_low_count,right_minus_left,0.0,0.0,0.0,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,high_to_low_rate,right_minus_left,0.0,0.0,0.0,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,label1_recall,right_minus_left,-0.052631578947368474,-0.1875,0.0,1997,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,label2_recall,right_minus_left,0.0,0.0,0.0,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,label3_recall,right_minus_left,-0.09523809523809523,-0.19009248327430142,-0.010749828414550466,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,label4_recall,right_minus_left,-0.09768637532133673,-0.1685393258426966,-0.03738875288842125,2000,question_key
v2_selective_hard_relabel,v3_selective_soft_audit,soft_target_effect,label5_recall,right_minus_left,0.13129496402877694,0.09490923678668144,0.16846463705592052,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,MAE_argmax,right_minus_left,0.0027100271002710175,-0.014707579707783395,0.019786406647040067,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,Exact_Match,right_minus_left,-0.0018066847335140857,-0.015124891859945538,0.011122183902897818,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,Kendall_tau,right_minus_left,0.010064501410344429,-0.011237508066218815,0.033347349956325774,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,Bin_Agreement,right_minus_left,0.0036133694670280603,-0.002876387322116411,0.011206732910366527,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,QWK,right_minus_left,-0.0024800976198877667,-0.030629068882295114,0.03112545888867801,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,low_to_high_count,right_minus_left,1.0,0.0,3.0,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,low_to_high_rate,right_minus_left,0.01754385964912286,0.0,0.08698849104859317,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,high_to_low_count,right_minus_left,-1.0,-3.0,0.0,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,high_to_low_rate,right_minus_left,-0.0010582010582010583,-0.003575685339690107,0.0,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,label1_recall,right_minus_left,-0.052631578947368474,-0.1875,0.0,1997,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,label2_recall,right_minus_left,0.0,0.0,0.0,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,label3_recall,right_minus_left,0.0380952380952381,-0.01870048954161103,0.10606060606060605,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,label4_recall,right_minus_left,-0.07197943444730082,-0.10423602645830413,-0.04199344701117659,2000,question_key
v0_original_unweighted,v3_selective_soft_audit,end_to_end_effect,label5_recall,right_minus_left,0.04136690647482011,0.022179937294748105,0.0628482635786072,2000,question_key
