source_file,language,target_label_5,count,pct
deepseek_output/processed_excel_data_2_en.jsonl,en,4,30,0.000282
deepseek_output/processed_excel_data_2_en.jsonl,en,5,272,0.002555
deepseek_output/processed_excel_data_2_en.jsonl,zh,3,1,9e-06
deepseek_output/processed_excel_data_2_en.jsonl,zh,4,3,2.8e-05
deepseek_output/processed_excel_data_2_en.jsonl,zh,5,8,7.5e-05
deepseek_output/processed_excel_data_2_zh.jsonl,zh,2,3,2.8e-05
deepseek_output/processed_excel_data_2_zh.jsonl,zh,3,29,0.000272
deepseek_output/processed_excel_data_2_zh.jsonl,zh,4,44,0.000413
deepseek_output/processed_excel_data_2_zh.jsonl,zh,5,252,0.002367
deepseek_output/unique_questions.jsonl,en,missing,25,0.000235
deepseek_output/zh_judge_20251109_223622.jsonl,zh,missing,234,0.002198
edu-data-synthesis-main/data/criteria/metrics_old.json,unknown,missing,3,2.8e-05
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,en,1,112,0.001052
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,en,2,256,0.002405
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,en,3,723,0.006791
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,en,4,2701,0.025372
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,en,5,5193,0.04878
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,zh,1,152,0.001428
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,zh,2,115,0.00108
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,zh,3,958,0.008999
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,zh,4,3447,0.032379
edu-data-synthesis-main/data/eval_data/eval_samples.jsonl,zh,5,3743,0.03516
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,en,1,73,0.000686
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,en,2,161,0.001512
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,en,3,418,0.003926
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,en,4,1619,0.015208
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,en,5,2778,0.026095
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,zh,1,109,0.001024
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,zh,2,85,0.000798
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,zh,3,599,0.005627
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,zh,4,2077,0.01951
edu-data-synthesis-main/data/eval_data/train_eval_data.jsonl,zh,5,2179,0.020468
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,en,1,39,0.000366
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,en,2,95,0.000892
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,en,3,305,0.002865
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,en,4,1011,0.009497
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,en,5,1916,0.017998
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,zh,1,43,0.000404
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,zh,2,30,0.000282
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,zh,3,359,0.003372
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,zh,4,1370,0.012869
edu-data-synthesis-main/data/eval_data/val_eval_data.jsonl,zh,5,1564,0.014691
edu-data-synthesis-main/data/zh/cjeval.jsonl,en,missing,724,0.006801
edu-data-synthesis-main/data/zh/cjeval.jsonl,zh,missing,25412,0.238707
edu-data-synthesis-main/data/zh/gaokao-bench.jsonl,en,missing,452,0.004246
edu-data-synthesis-main/data/zh/gaokao-bench.jsonl,zh,missing,2674,0.025118
edu-data-synthesis-main/init_workflows/init_evaluation_workflow_1_1.json,en,missing,1,9e-06
edu-data-synthesis-main/test_workflow.json,en,missing,1,9e-06
groupby_metric_qwq_eval_en.jsonl,en,1,38,0.000357
groupby_metric_qwq_eval_en.jsonl,en,2,53,0.000498
groupby_metric_qwq_eval_en.jsonl,en,3,84,0.000789
groupby_metric_qwq_eval_en.jsonl,en,4,313,0.00294
groupby_metric_qwq_eval_en.jsonl,en,5,2209,0.02075
groupby_metric_qwq_eval_en.jsonl,en,missing,12,0.000113
groupby_metric_qwq_eval_zh.jsonl,zh,1,12,0.000113
groupby_metric_qwq_eval_zh.jsonl,zh,2,47,0.000441
groupby_metric_qwq_eval_zh.jsonl,zh,3,123,0.001155
groupby_metric_qwq_eval_zh.jsonl,zh,4,613,0.005758
groupby_metric_qwq_eval_zh.jsonl,zh,5,1936,0.018186
groupby_metric_qwq_eval_zh.jsonl,zh,missing,1,9e-06
groupby_metric_r1_eval_en.jsonl,en,1,35,0.000329
groupby_metric_r1_eval_en.jsonl,en,2,86,0.000808
groupby_metric_r1_eval_en.jsonl,en,3,121,0.001137
groupby_metric_r1_eval_en.jsonl,en,4,454,0.004265
groupby_metric_r1_eval_en.jsonl,en,5,2070,0.019444
groupby_metric_r1_eval_en.jsonl,en,missing,1,9e-06
groupby_metric_r1_eval_zh.jsonl,zh,1,9,8.5e-05
groupby_metric_r1_eval_zh.jsonl,zh,2,68,0.000639
groupby_metric_r1_eval_zh.jsonl,zh,3,147,0.001381
groupby_metric_r1_eval_zh.jsonl,zh,4,573,0.005382
groupby_metric_r1_eval_zh.jsonl,zh,5,1791,0.016824
groupby_metric_r1_eval_zh.jsonl,zh,missing,36,0.000338
groupby_metric_v3_eval_en.jsonl,en,1,70,0.000658
groupby_metric_v3_eval_en.jsonl,en,2,9,8.5e-05
groupby_metric_v3_eval_en.jsonl,en,3,61,0.000573
groupby_metric_v3_eval_en.jsonl,en,4,617,0.005796
groupby_metric_v3_eval_en.jsonl,en,5,1996,0.018749
groupby_metric_v3_eval_en.jsonl,en,missing,32,0.000301
groupby_metric_v3_eval_zh.jsonl,zh,2,2,1.9e-05
groupby_metric_v3_eval_zh.jsonl,zh,3,15,0.000141
groupby_metric_v3_eval_zh.jsonl,zh,4,562,0.005279
groupby_metric_v3_eval_zh.jsonl,zh,5,2194,0.020609
groupby_metric_v3_eval_zh.jsonl,zh,missing,32,0.000301
human_sampled_eval_sft_criteria_test.json,en,1,2,1.9e-05
human_sampled_eval_sft_criteria_test.json,en,4,11,0.000103
human_sampled_eval_sft_criteria_test.json,en,5,20,0.000188
human_sampled_eval_sft_criteria_test.json,zh,1,48,0.000451
human_sampled_eval_sft_criteria_test.json,zh,2,60,0.000564
human_sampled_eval_sft_criteria_test.json,zh,3,326,0.003062
human_sampled_eval_sft_criteria_test.json,zh,4,1032,0.009694
human_sampled_eval_sft_criteria_test.json,zh,5,1775,0.016673
merge_model_metric.jsonl,en,1,17,0.00016
merge_model_metric.jsonl,en,2,29,0.000272
merge_model_metric.jsonl,en,3,135,0.001268
merge_model_metric.jsonl,en,4,754,0.007083
merge_model_metric.jsonl,en,5,5726,0.053787
missing,missing,missing,6,5.6e-05
sampled_merge_50_new.json,en,1,14,0.000132
sampled_merge_50_new.json,en,3,5,4.7e-05
sampled_merge_50_new.json,en,4,23,0.000216
sampled_merge_50_new.json,en,5,19,0.000178
sampled_merge_50_new.json,zh,1,1186,0.011141
sampled_merge_50_new.json,zh,2,1200,0.011272
sampled_merge_50_new.json,zh,3,1195,0.011225
sampled_merge_50_new.json,zh,4,1177,0.011056
sampled_merge_50_new.json,zh,5,1181,0.011094
sampled_merge_50_new_swift.json,zh,1,1200,0.011272
sampled_merge_50_new_swift.json,zh,2,1200,0.011272
sampled_merge_50_new_swift.json,zh,3,1200,0.011272
sampled_merge_50_new_swift.json,zh,4,1200,0.011272
sampled_merge_50_new_swift.json,zh,5,1200,0.011272
