sample_id,matched_reason_count,matched_principles,matched_scores
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,33,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""2"", ""3"", ""4""]"
6c2ca811835d3ab2cc459573f13c0ae3caf83824,17,"[""个性化适应与学习支持"", ""场景要素融合度"", ""指令遵循与任务完成""]","[""3"", ""4""]"
712cd1dd80a4537e4bee8ff3fa1e3580d4575d0a,45,"[""促进高阶思维与能力发展"", ""内容相关性与范围控制"", ""场景要素融合度"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""清晰易懂与表达启发"", ""领域知识专业性""]","[""4"", ""5""]"
7a3d744f872bfd9b86744f132f9dfc6a3c5d8e9f,0,[],[]
7b2343c0fac6f79059007d116f746842fe6a6637,32,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""1"", ""4"", ""5""]"
89f8c6ed8c1b947a44510dcc18b38a1d97571453,21,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性""]","[""1"", ""2"", ""3"", ""4""]"
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,43,"[""促进高阶思维与能力发展"", ""内容相关性与范围控制"", ""场景要素融合度"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""清晰易懂与表达启发"", ""领域知识专业性""]","[""1"", ""2"", ""3"", ""4"", ""5""]"
a6a61e243a1f0c09ac86c3557bd39377eff935bc,17,"[""个性化适应与学习支持"", ""场景要素融合度"", ""指令遵循与任务完成""]","[""3"", ""4""]"
b01129b756e85be3f61bf81d006ca0e61ef3e530,29,"[""个性化适应与学习支持"", ""场景要素融合度"", ""指令遵循与任务完成"", ""激励引导与积极反馈"", ""角色与口吻一致性""]","[""4"", ""5""]"
b51fe8038ded98685f2c18b27990ce26056dfc17,42,"[""促进高阶思维与能力发展"", ""内容相关性与范围控制"", ""场景要素融合度"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""清晰易懂与表达启发"", ""领域知识专业性""]","[""2"", ""3"", ""4"", ""5""]"
b5f54f2d11493dd41a74e9e2274d26451a958dcc,33,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""1"", ""2""]"
b93239ad93a7561a06f1b07c82c82f44bf81667e,0,[],[]
b9f1c6853708c1217088b33dabe3b2ce1f70233e,0,[],[]
bd384e01426757c4dd86e755a75d5ef86fe6e59f,33,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""1"", ""4"", ""5""]"
bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,21,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性""]","[""1"", ""2"", ""3"", ""4""]"
c0d4f41ccf2066449887e86887cb7b8903269b2a,31,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""1"", ""2"", ""3""]"
c13167075148a265b283ce6bd0a309d539f243f7,0,[],[]
c42d9020842ba63f6ee5de91d4d4b21f97f246ac,0,[],[]
cd63948c28174674b09c1bed2f6fa389c8ec4a34,0,[],[]
d47f50d9f862f2b3b38b2bce2d879ce46d379e2b,0,[],[]
e226030ea01e090a606049052bd6c187688f7a7a,46,"[""促进高阶思维与能力发展"", ""内容相关性与范围控制"", ""场景要素融合度"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""清晰易懂与表达启发"", ""领域知识专业性""]","[""2"", ""3"", ""4"", ""5""]"
e927013b12cac98ecddc4843316f9befc695ed6d,30,"[""个性化适应与学习支持"", ""场景要素融合度"", ""指令遵循与任务完成"", ""激励引导与积极反馈"", ""角色与口吻一致性""]","[""5""]"
ec9a7870c5ca6a68b1ba47d38ed2852f9d6a317e,0,[],[]
eebb6c2d0851b385f14d5f66295db77afd02c747,33,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""2"", ""3"", ""4"", ""5""]"
f33e86ba6eaa5281c801dea1ed174135a7d4c0da,33,"[""内容相关性与范围控制"", ""基础事实准确性"", ""指令遵循与任务完成"", ""推理过程严谨性"", ""激励引导与积极反馈"", ""错误识别与纠正精确性""]","[""2"", ""3"", ""4"", ""5""]"
ff657c059d6b1fdddbeae35add3c566377c0dd86,0,[],[]
