prompt_config,split,metric,n,MAE,QWK,low_to_high_count,low_to_high_rate,high_to_low_count,high_to_low_rate,label2_recall,label5_recall,mean_pred_low
R0C_3_two_pass_balanced,dev,"Clarity, Simplicity & Inspiration",90,1.6111111111111112,0.06352683461117181,0,0.0,51,0.6538461538461539,1.0,0.13333333333333333,2.0
R0C_3_two_pass_balanced,dev,Content Relevance & Scope Control,125,2.341463414634146,0.019161817433727135,0,0.0,99,0.8461538461538461,0.5,0.16326530612244897,2.0
R0C_3_two_pass_balanced,dev,Domain Knowledge Accuracy,65,1.676923076923077,0.033331404432613954,0,nan,38,0.6333333333333333,nan,0.13793103448275862,nan
R0C_3_two_pass_balanced,dev,Error Identification & Correction Precision,35,2.411764705882353,0.009871668311944637,0,0.0,27,0.9310344827586207,1.0,0.0,2.0
R0C_3_two_pass_balanced,dev,Higher-Order Thinking & Skill Development,83,1.1204819277108433,0.23387507786397876,0,0.0,25,0.5434782608695652,1.0,0.0,2.0
R0C_3_two_pass_balanced,dev,Instruction Following & Task Completion,200,1.87,0.010593220338983134,1,0.14285714285714285,127,0.7016574585635359,0.8571428571428571,0.16037735849056603,2.2857142857142856
R0C_3_two_pass_balanced,dev,"Motivation, Guidance & Positive Feedback",60,1.7166666666666666,-0.013513513513513598,1,0.1111111111111111,34,0.9444444444444444,0.75,0.0,2.2222222222222223
R0C_3_two_pass_balanced,dev,"Personalization, Adaptation & Learning Support",70,2.085714285714286,-0.03513071895424824,0,0.0,54,0.9,1.0,0.034482758620689655,2.0
R0C_3_two_pass_balanced,dev,Reasoning Process Rigor,84,1.9880952380952381,-0.24518317503392129,12,0.75,50,0.7936507936507936,1.0,0.25925925925925924,3.8125
R0C_3_two_pass_balanced,dev,Role & Tone Consistency,50,1.56,-0.008895638967237884,0,nan,26,0.5306122448979592,nan,0.4166666666666667,nan
R0C_3_two_pass_balanced,dev,Scenario Element Integration,115,2.234782608695652,0.004815087273456697,0,0.0,101,0.9619047619047619,1.0,0.0,2.0
R0C_4_high_score_protection,dev,Basic Factual Accuracy,130,2.2868217054263567,0.028387307284444274,0,0.0,96,0.7933884297520661,1.0,0.12727272727272726,2.0
R0C_4_high_score_protection,dev,"Clarity, Simplicity & Inspiration",90,1.9222222222222223,0.002670226969292311,0,0.0,66,0.8461538461538461,1.0,0.1,2.0
R0C_4_high_score_protection,dev,Content Relevance & Scope Control,125,2.16,0.030767322126418972,0,0.0,91,0.7777777777777778,1.0,0.19387755102040816,2.0
R0C_4_high_score_protection,dev,Domain Knowledge Accuracy,65,1.4761904761904763,0.05551969012265978,0,nan,29,0.48333333333333334,nan,0.4827586206896552,nan
R0C_4_high_score_protection,dev,Error Identification & Correction Precision,35,2.342857142857143,0.024038461538461453,0,0.0,26,0.896551724137931,1.0,0.0,2.0
R0C_4_high_score_protection,dev,Higher-Order Thinking & Skill Development,83,1.3614457831325302,0.05882644218866051,1,0.14285714285714285,32,0.6956521739130435,0.8571428571428571,0.21428571428571427,2.2857142857142856
R0C_4_high_score_protection,dev,Instruction Following & Task Completion,200,2.336683417085427,-0.010612187459904332,0,0.0,172,0.9502762430939227,1.0,0.009433962264150943,2.0
R0C_4_high_score_protection,dev,"Motivation, Guidance & Positive Feedback",60,1.65,-0.04582651391162029,2,0.2222222222222222,31,0.8611111111111112,0.5,0.0,2.5555555555555554
R0C_4_high_score_protection,dev,"Personalization, Adaptation & Learning Support",70,1.957142857142857,-0.04053209534862967,1,1.0,48,0.8,0.0,0.034482758620689655,5.0
R0C_4_high_score_protection,dev,Reasoning Process Rigor,84,1.6626506024096386,-0.013624170549202175,6,0.375,40,0.6349206349206349,1.0,0.2962962962962963,2.9375
R0C_4_high_score_protection,dev,Role & Tone Consistency,50,1.96,0.0004956220056170357,0,nan,36,0.7346938775510204,nan,0.25,nan
R0C_4_high_score_protection,dev,Scenario Element Integration,115,1.8347826086956522,0.0568658065576465,0,0.0,77,0.7333333333333333,1.0,0.22448979591836735,2.0
