eval_index,sample_id,question_key,question_group_id,metric,language,subject,gold_label,answer_chars,answer_words,candidate_pool,failure_mode_auto,hidden_failure_candidate_type,recommended_training_use,confidence_weight,prompt_hash,recovered_reason_hash
15,7b2343c0fac6f79059007d116f746842fe6a6637,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,578,88,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,bfbb49bad40af78b445f342f2784dacb80ea56c1,b6c1f5e2d2eb6d2e55f911de2e64e3d453c0abdc
16,bd384e01426757c4dd86e755a75d5ef86fe6e59f,5190426b37344a5dd70adf4894aacc1fb868cdff,5190426b37344a5dd70adf4894aacc1fb868cdff,Reasoning Process Rigor,en,Basic Medicine,1,565,85,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,fe8f725fb528d380dd26603326429f7f3ca8ae9d,b6c1f5e2d2eb6d2e55f911de2e64e3d453c0abdc
17,f0c923e09065792432b0f588a7eb74ea86409797,33f24cdef61905293c51bb59ca561c1f2cef3965,33f24cdef61905293c51bb59ca561c1f2cef3965,"Motivation, Guidance & Positive Feedback",zh,History,2,552,23,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,60b09b58b9ddbc6ad7161ba0b5817270e9741585,b37fc85d214c77d712ca37ee7495316dfd6cca2a
18,ccdab1ce8e955bdbf2224a22c0f14a10db6718ab,ffed2f3bb93a32c1cf81521951774f896b3283f4,ffed2f3bb93a32c1cf81521951774f896b3283f4,Scenario Element Integration,en,Biology,2,498,74,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,6e24d505cb81d18c6b101f232685119f1c6d4fd8,9a77fb4f6bac15927af3c9ee21d917a82f485e92
19,02169e6cc6f86f682c0b04047827e32859533603,182ead73c7c9bef64c812e1c3366635156817f15,182ead73c7c9bef64c812e1c3366635156817f15,Scenario Element Integration,en,Mathematics,2,483,93,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,2afb40d42549da96477bf02dd3a2bebd0691ebf9,b9af74532f4ea4e67e499f6fcf73cf41ebc7768d
20,9b98fbe73d713149b38df9e497e2ad0a0a022c91,f6cf3e1b280ca78c17a557b97001a3fea411a738,f6cf3e1b280ca78c17a557b97001a3fea411a738,Higher-Order Thinking & Skill Development,en,Aquaculture,2,424,56,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,e2bf225f73a506b78a8fc27bbf3c425898923a5d,b3aff492ba64c553045777a848c1b2cae698762b
21,ba114a1a8452ac012af5a1940b242d85f38538d3,578358b94591dcdb7b73304c5498c56a12d9c95d,578358b94591dcdb7b73304c5498c56a12d9c95d,"Motivation, Guidance & Positive Feedback",en,Law,2,421,60,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,644b332a7769016801069d5956f5de769a407dc1,5945fd18695ed5576f01b707391b4db1734c7287
22,90ed1a72c758f575b39f863d5ac03313ac9b197e,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,Error Identification & Correction Precision,zh,Computer Science,1,418,21,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,d99ba1760035dfd9575ceb43cad009829e66c02d,c63ee02b223a378d3fcc5cb7f5642f0d1c154c01
23,1c013ab584f1c5a49f0e03d8517d29eb909322be,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Error Identification & Correction Precision,zh,Basic Medicine,1,393,12,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,28bd3012c658b1c93d08b13333f3a9b7c607c429,0599310e9599a2d177f26a931ba6ba295f18a482
24,17e0ba51820c815389e5f672d6bed2ca748a8775,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Error Identification & Correction Precision,zh,Mathematics,2,330,21,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,4fd03b604a3d4ad1f092ab6cf7a6b551c244f419,aa544b32848d6ed8f63d86c7504dd4ba6c243e4a
25,89f8c6ed8c1b947a44510dcc18b38a1d97571453,3b26f4f8f9f7314ee644e63efa2173afbb702c33,3b26f4f8f9f7314ee644e63efa2173afbb702c33,Basic Factual Accuracy,zh,Law,2,271,8,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,b3cf8a61f5afe62e45cd429a918b1d34639c4fdc,0aad6f3bb0352f0ee57c10c6a72b3f685338b6c4
26,bdfb1901aed7bfddbd4bcd0898854e7ecfd4513c,3b26f4f8f9f7314ee644e63efa2173afbb702c33,3b26f4f8f9f7314ee644e63efa2173afbb702c33,Reasoning Process Rigor,zh,Law,2,271,8,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,4e1d1dc5a8986d81f79a135001b7eb05f5cb76df,181c09eb3eece1f7c0df22b98bfaa00e099b80dc
27,f33e86ba6eaa5281c801dea1ed174135a7d4c0da,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Basic Factual Accuracy,zh,Basic Medicine,2,267,11,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,e045f95d73390b93a23539a9a4c7b18f8d03533c,d9e0374d874de535cea573afca1941a1b8edfa7a
28,b5f54f2d11493dd41a74e9e2274d26451a958dcc,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Content Relevance & Scope Control,zh,Basic Medicine,1,265,19,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,228b640b1ea4f388aa703c492c91256f042aab08,169a325697ded935362daf9dc6fa84f5ad108fe9
29,e2c88c65f2542bab93dbf50c022a42b356f788d2,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Reasoning Process Rigor,zh,Basic Medicine,1,265,19,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,bdfc813dc99a70edb52d4e91932c56527b6bcd35,e106d87ae0a762ec254840d281e3802cb6e2d4b9
30,4f22bf04948dfebf09ef963ef74d98df56ffdb57,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,Error Identification & Correction Precision,zh,Basic Medicine,1,265,19,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,fe48d3e4e17cd8c631999fcb05c41b322b9c3110,a96b02ce6230da11c213122296b8f50c04b6a574
31,378f7b2160c791b11e16c3dd68d76ed1363a3ff6,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,"Motivation, Guidance & Positive Feedback",zh,Basic Medicine,2,265,19,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,792e3b4e208f720342edc2d09221db5add4d5cf7,f0ff981088c285dafba4ac000ffaa7427d9fad7e
32,63ab64773fb76fbe6cba302eed79041a8316bb7c,33f24cdef61905293c51bb59ca561c1f2cef3965,33f24cdef61905293c51bb59ca561c1f2cef3965,"Motivation, Guidance & Positive Feedback",zh,History,2,260,10,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,f3e040f2c36d527a4d9b05f7463c74d9a6a92b6a,ec7369126d9099839fa1eea0e2d233b0b59c4ce2
33,4c1781a47196920cfbd9a98a60533436add7af41,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,Reasoning Process Rigor,en,Computer Science,1,250,43,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,93015a2008c66638a638a264e0ce2e33ed077789,cc8691a6439fff30dca252a35408ed67d3c566e4
34,1d5f77fabc222d72e4fb87f25eb3e5c41e786cf4,85398269c1c07a9498c3eae4b08315e4db78a74e,85398269c1c07a9498c3eae4b08315e4db78a74e,Error Identification & Correction Precision,zh,General Pedagogy,1,238,10,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,f7dc7ac4e6652c71de6f997b2cdab528eab35b59,9e86df862d7b633a7726acb65b9f0c10de7f4ff2
35,630a88341b60ad40afcd43bf6bf3967c515b8803,33f24cdef61905293c51bb59ca561c1f2cef3965,33f24cdef61905293c51bb59ca561c1f2cef3965,"Motivation, Guidance & Positive Feedback",zh,History,2,235,13,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,3a5de2835a8c511aaf8075c81d20fcc1dfa85974,0e18e56c1d791032e5d9a172e7fa914a2ba04007
36,c0d4f41ccf2066449887e86887cb7b8903269b2a,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Content Relevance & Scope Control,zh,Mathematics,2,226,19,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,e4831fb14fe0ffccd8dc2f98ee44992f3639b0c0,641e82211fbd129a86b87fd9ceff6d6a9ad424e3
37,1bd5e1ce094da34aea6531591c2674bd221634b6,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Reasoning Process Rigor,zh,Mathematics,2,226,19,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,49fbb3b254fbc4a7d1db830cfd776f1971d29895,44ee39cead0178d55feec303fef27bfb832cf001
38,0c74a66a6f9ecee5580723b73f7741a8f05e1352,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Error Identification & Correction Precision,zh,Mathematics,1,226,19,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,2f8617e012e1559a551469068cd53b609c890395,ad672bede4be6d27087cf5711638d88a052e0e62
39,b21b8c3ac37ecaa0e26ae36e530a7f7c75594d53,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,Reasoning Process Rigor,en,Computer Science,1,181,34,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,e1ae350ddb6407d039f8a83a933fde7df678053e,5c80c0bfbce57dbc5247fdda5d0acb109f63fa6e
40,a2963f0bafecf877ce9d9f85ccd07d324522a500,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,Reasoning Process Rigor,en,Computer Science,1,140,25,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,5b44e682517409e9860f3e90f5f62bb29836301b,b47079cc138cfe6eb546f60d8719ff90722de8f9
41,a5b40ba0a800e6ec0da88e7d0591d092caa41ae1,fdcc493923c6536e26519ec07f9693ca405da624,fdcc493923c6536e26519ec07f9693ca405da624,"Motivation, Guidance & Positive Feedback",zh,English,2,120,18,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,ee484846ac54582b64d13b332e056989d06e449d,bedd37701d417a5f7fba5f4e3983e5624b026eed
42,76909e50052e68bb729ed62933a86559f6a7c036,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,107,16,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,3342ba44c247a2b45f4bedd79b8a6ddf8e0d7ddd,f6aa75c8d619c6294972842a85779d3ee7926674
43,2805e4237ccaed90f917ee91a5c2c44743bbd1b1,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,107,16,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,8086d61491a70de01a0779ca4b1220d7838ad7ab,f6aa75c8d619c6294972842a85779d3ee7926674
44,8b2201addbda2de262f29b819d9d4a430827f8c8,379759b00c0ded53ca5135bf363df1ca0f8ae778,379759b00c0ded53ca5135bf363df1ca0f8ae778,Reasoning Process Rigor,zh,Physical Education,1,100,11,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,f6684ca72a06854879f1eaa2c2a6bf9beee800c4,2eb54afb81fcdd1ddea75e50f830548483a7bf05
45,3e6317e0a4cd57573a6c971fc945cfc7ee52148a,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,95,14,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,549f1e77eb458e9087363ce4d56e97c5b5ae9e81,5afec1cf6fe8e355d54ecae3dd1e2c17cb023afc
46,4042b14600691c9b29b70d916e9db910c058d891,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,95,14,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,b8f274fad6814f82efe60a9f0c6ea22a24eca169,0280ff1d49c324ef179df47312136925735fd453
47,6a65ddfebb3698d3eb20f814a761580fa2f8be48,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Content Relevance & Scope Control,en,Mathematics,2,59,10,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,02f344e55fcc6d14295737a97dc7915c5cf0626f,8f4dba7dcddc533cf979e1341328d09b7436bbf5
48,44a426bf4f453df7ea5b7ac85d6f0e801f9ba296,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Reasoning Process Rigor,en,Mathematics,1,59,10,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,9a631935eb58b5db9635a7c0f76482e2f84bfe09,2e5004e0054d9dbcea41196f581e28689844bd47
49,6358300a1312a268220578a420e801d4c75e9525,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,55,8,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,994c2bdaf1356496ec298b8c15ae785621bc725d,fcb311406fb61968222f2e2556864b684162cb92
50,d7038665e81daff68cadf97e16d4c3e3c3fe543d,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,53,8,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,583745808538328880e7762cd667014e75ad54f6,fcb311406fb61968222f2e2556864b684162cb92
51,74489511928922f9b0aa06c74a3c42dabf84217e,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,53,8,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,19702334254ef18c650e9b3b0b0e9e8f45a9df11,fcb311406fb61968222f2e2556864b684162cb92
52,5680bbfccbc4637e7c9c7e3d63698aaf2b4fa213,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,53,8,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,ffacb6899fdeb97f295a4b0c99a0530413525295,fcb311406fb61968222f2e2556864b684162cb92
53,0578273c54e1a724084529ebbc385f1bdd1076ea,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Basic Factual Accuracy,en,Mathematics,1,47,8,pool_a_strict_d1_like_low,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,fb48b7ec514f568684a478b4f132cff13f8bac3c,4dc43595fa21fbb39a735e42f017d7e3861d7f7e
54,0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Reasoning Process Rigor,en,Mathematics,1,47,8,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,86102696262c1cd9218d92ef6e456fdd7138510f,2e5004e0054d9dbcea41196f581e28689844bd47
55,9473740ab3e011ac08772a84e106e72f4d38f137,1fbaba4fd0689522a2df03a5be806cfca5328f00,1fbaba4fd0689522a2df03a5be806cfca5328f00,Reasoning Process Rigor,en,Crop Science,1,43,7,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,7b842d48f5acc9653b03953df03f0a36c4ea0bca,6bc6e4fffb021af601c829f8923a31db9f973cee
56,9695560e94c04bb151b514cc850a85eb10394a00,3f583749c39a53d68120dd4302b4c6888f5dd6d7,3f583749c39a53d68120dd4302b4c6888f5dd6d7,Reasoning Process Rigor,zh,Physics,1,43,7,pool_a_strict_d1_like_low,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0a0df6adb39ecd85adfe74baec0918ab82cf7bdb,9e609688abeaea61d11fb264abda311a1a085e02
57,198938e2f622bb0de4883a3dc7e56f75c8a0dc9b,1fbaba4fd0689522a2df03a5be806cfca5328f00,1fbaba4fd0689522a2df03a5be806cfca5328f00,Reasoning Process Rigor,en,Crop Science,1,41,7,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,b9487873d2376373ad993fde269a40c5bd7c5a9c,6bc6e4fffb021af601c829f8923a31db9f973cee
58,674bc19324921890f8c1245b4760b0909fc05534,1fbaba4fd0689522a2df03a5be806cfca5328f00,1fbaba4fd0689522a2df03a5be806cfca5328f00,Reasoning Process Rigor,en,Crop Science,1,41,7,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,1264a7db2f835bcfaa4d25d09f33c068b22f0552,6bc6e4fffb021af601c829f8923a31db9f973cee
59,eca00ddc55d718efe2435adde78462ed09661b7c,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,8908425556f1a53089ef39c6600e1cdfc1ad9348,9a87133ef716805f8aee080d693bd3f5bcb7e145
60,4d02a34fe7fc1a2f65e5defcbeec26283b13ada9,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,7a7e2d53a6af1eaa55e6a922a6a30bc49b288108,9a87133ef716805f8aee080d693bd3f5bcb7e145
61,61ce1005760ba6b25779f26dec03b15d4d61f5ec,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,a01cb5ef4d18db3353b9e5f67022c3cf99fee97f,9a87133ef716805f8aee080d693bd3f5bcb7e145
62,cc218e690fef26eec817bb03c4ad9a759d05825e,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,pool_a_strict_d1_like_low,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,288db7584f3117555643fa63dbc2767b16772806,9a87133ef716805f8aee080d693bd3f5bcb7e145
