synthetic_id,target_label_5,language,metric_canonical,error_type,possible_label_too_low,possible_too_good_for_target,possible_error_type_mismatch,possible_format_only_failure,possible_artifact,possible_language_issue,possible_rubric_alignment_issue,needs_review,flag_reasons
syn_42c59111c5532284,2,en,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_ef5440a1929006b7,2,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_b2fc302bafa59ac9,3,en,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_6804d8697be845c8,3,zh,Content Relevance & Scope Control,rubric_violation,false,false,false,false,false,false,false,false,
syn_be0c55c2a79384de,2,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_c462648918e4b258,1,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_1a59f7c638953632,2,zh,"Clarity, Simplicity & Inspiration",rubric_violation,false,false,false,false,false,false,false,false,
syn_3cf5ef0e78eb8502,2,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_a017739a74f0f6fc,2,zh,"Clarity, Simplicity & Inspiration",rubric_violation,false,false,false,false,false,false,false,false,
syn_f77737026c871c7a,3,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_bf28699b3ae3fd73,3,zh,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_d721f90674792944,1,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_beef4b0077943495,1,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_297c58f91f599858,1,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_7249df2a7777cfce,2,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_45410ad18a9c3687,2,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_a8d5bf87c88e086d,2,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_585b595943a9f19c,3,en,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_bc42d317803956c0,3,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_482d263f0184a548,3,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_0c2734d057684a54,2,zh,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_ad3af640f4fef515,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_c3f2ec628ebb1cdc,1,zh,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_fe2cd35d32432697,2,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_31cb288b52fe2ab9,1,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_ddd1f1db87125251,2,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_1e9e21c275479f5e,1,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_22079d437c51e6f8,2,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_dc335a11f706f79d,1,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_ee4f2fcaedc8d9b5,3,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_08bd1b326a3d000f,2,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_c6d487777bf263fc,1,en,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_ec337cba3079a095,2,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_d6b38e07f14d2de3,1,en,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_c67e6e115163dac5,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_4ba860a4e3bbf333,1,en,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_7c85c53ccc7559c8,2,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_363c7aab75950916,1,en,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_65ff9916a88d6d3e,2,en,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_4a089cfae8ece015,1,zh,Content Relevance & Scope Control,rubric_violation,false,false,false,false,false,false,false,false,
syn_ac2ad1519840c78a,1,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_fecdc32256cc8161,1,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_087617b502f132d3,2,zh,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_1a288bd69b7bcc16,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_85bb84942c705362,2,zh,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_050f1197e0ed6114,1,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_1d94a18e300f3a56,3,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_4795f23bf4cda75a,2,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_f62154057ce9daa5,2,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_46fadf7e4cf30d84,1,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_543d0457a901d496,2,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_1407d548515cddb9,1,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_31b5aa72d1388d40,2,en,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_e332c576f92ec06f,1,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_524181cd150d6a41,3,en,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_8ff9bf173c9e9619,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_dbc656bee3b3b86a,1,en,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_202da735fadfd240,2,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_e075d6c5c4981b49,1,en,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_2ee975316e1e3eaa,2,zh,Domain Knowledge Accuracy,rubric_violation,false,false,true,false,false,false,false,true,error_type alignment risk; rubric_violation on Domain Knowledge Accuracy is treated as factual/domain error
syn_d243adb03796d854,1,en,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_ddfbe8eed319cbe5,2,zh,Content Relevance & Scope Control,rubric_violation,false,false,false,false,false,false,false,false,
syn_0401361450170d3b,1,en,"Clarity, Simplicity & Inspiration",rubric_violation,false,false,false,false,false,false,false,false,
syn_a3fb7b65b271ad26,1,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_25e541b2fbb72a5a,3,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_2e2e9ac6da6046e3,2,zh,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_277c46c9ee11b850,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_1ee5c7fb35ad9889,2,zh,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_9803a50c21839bd0,1,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_2c01bf5baf9a8d80,2,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_496a848b89431acd,1,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_f8ebd0a020225b05,2,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_d01604da0669f918,1,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_72144f804060d630,3,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_dee1a27266d7a173,2,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_19e74c71cc5f3ac6,1,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_d95608ddea45995f,2,en,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_8217749fc7f55e28,1,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_4e140abb76538d2d,2,en,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_c10f061112a8b2f6,1,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_7807eec5382c9b13,2,en,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_74cbd104e575be6c,1,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_1748747606f3d59b,3,en,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_4354779b73910577,2,zh,Domain Knowledge Accuracy,rubric_violation,false,false,true,false,false,false,false,true,error_type alignment risk; rubric_violation on Domain Knowledge Accuracy is treated as factual/domain error
syn_69be00709e60a312,1,en,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_0e4fb276f6549533,2,zh,Content Relevance & Scope Control,rubric_violation,false,false,false,false,false,false,false,false,
syn_70ee35113d633fc6,1,en,"Clarity, Simplicity & Inspiration",rubric_violation,false,false,false,false,false,false,false,false,
syn_3c976ea29f442398,1,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_567a761e18317b73,2,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_f1b773f8a34966fa,1,zh,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_06a521c1dec7baa5,2,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_060ee6ba751815be,1,zh,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_b979c7cde2482062,3,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_655e8624667e7cd0,2,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_80e9f3c5608a3c9a,1,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_c19e9013b11573d3,2,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_84dfb9d444f53ed6,1,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_b93d5f4b70987ba5,2,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_2aa92f35c6d4e4d9,1,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_0aadf682cd9967c0,2,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_cd54f8829425fc91,1,en,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_1c006a2b55fc1d1f,3,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_de6566693e70f908,2,en,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_45df6552f460cec0,1,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_7fa43c0ddcdf5a92,2,en,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_2b389d9dc7aecc54,1,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_9b88007c7c9ab308,2,en,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_6e5d157783ce6350,1,zh,Domain Knowledge Accuracy,rubric_violation,false,false,true,false,false,false,false,true,error_type alignment risk; rubric_violation on Domain Knowledge Accuracy is treated as factual/domain error
syn_9061dc45a8abd973,1,en,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_fd28e6c0e287d4fa,2,zh,Content Relevance & Scope Control,rubric_violation,false,false,false,false,false,false,false,false,
syn_ff358a5bcbdd5623,1,en,"Clarity, Simplicity & Inspiration",rubric_violation,false,false,false,false,false,false,false,false,
syn_4d908d520c669f2e,3,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_ce3ed4ea64b7904b,2,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_b08a50a2df3637a2,1,zh,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_14f49b19f2ec37db,2,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_dd07d90fad5824f2,1,zh,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_b9b92f71f04a7a59,2,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_3ff61931a4da3572,1,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_080636c09000c716,1,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_e708c0abc0131b20,3,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_646a3b9540298037,2,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_97e8576110d51872,1,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_c95ea8ade169a2c7,2,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_ce63795e69aa7939,1,en,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_60ff86159778de39,2,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_3146472f89ebef09,1,en,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_8d105d714e64085b,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_4ea1aa799b6a57b8,1,en,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_3601b0af675bdec3,3,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_342e66192fe558d2,1,en,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_0ec7fad9180c09bd,2,zh,Content Relevance & Scope Control,rubric_violation,false,false,false,false,false,false,false,false,
syn_b7338bb50fe716e5,1,en,"Clarity, Simplicity & Inspiration",rubric_violation,false,false,false,false,false,false,false,false,
syn_7c518277084403c0,2,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_195408fbe67f5d5d,1,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_8fbf08377805218f,2,zh,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_ff9250f9f3a0b6f6,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_84b20fae80bf58c9,3,zh,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_62d5fe44b5bd5c71,2,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_62c5f325b211e155,1,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_c20062a4e95fb595,2,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_fe13e205eca1fb84,1,zh,Domain Knowledge Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_3bbc55021850e6ba,2,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_37c6868abcf1f62c,1,zh,Content Relevance & Scope Control,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_e2838c752feef22f,2,en,"Clarity, Simplicity & Inspiration",superficial_fluency,false,false,false,false,false,false,false,false,
syn_abe0f53d68c848fa,1,zh,"Motivation, Guidance & Positive Feedback",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_6de100d1dd874af2,3,en,Reasoning Process Rigor,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_a6485fc5076793de,2,zh,Scenario Element Integration,instruction_violation,false,false,false,false,false,false,false,false,
syn_c0faae495e1b524b,1,en,"Personalization, Adaptation & Learning Support",rubric_violation,false,false,false,false,false,false,false,false,
syn_c4e4944dfaef0f06,2,zh,Higher-Order Thinking & Skill Development,superficial_fluency,false,false,false,false,false,false,false,false,
syn_3986df0d4c21fc46,1,en,Error Identification & Correction Precision,reasoning_gap,false,false,false,false,false,false,false,false,
syn_7b04e0b9469deb34,2,zh,Instruction Following & Task Completion,rubric_violation,false,false,false,false,false,false,false,false,
syn_484726c5aafc24c3,1,en,Basic Factual Accuracy,overconfident_wrong,false,false,false,false,false,false,false,false,
syn_c5e016aa901656d1,1,zh,Domain Knowledge Accuracy,rubric_violation,false,false,true,false,false,false,false,true,error_type alignment risk; rubric_violation on Domain Knowledge Accuracy is treated as factual/domain error
syn_d68e3b0a764ab487,2,en,Role & Tone Consistency,superficial_fluency,false,false,false,false,false,false,false,false,
syn_486714937138b336,1,zh,Content Relevance & Scope Control,rubric_violation,false,false,false,false,false,false,false,false,
syn_f891ab58c6dc2c24,2,zh,"Motivation, Guidance & Positive Feedback",superficial_fluency,false,false,false,false,false,false,false,false,
syn_f8f432b956d3993e,1,en,Reasoning Process Rigor,reasoning_gap,false,false,false,false,false,false,false,false,
syn_df94419dc3f66c14,2,zh,Scenario Element Integration,scenario_mismatch,false,false,false,false,false,false,false,false,
syn_9825eab0d6f0b9b7,1,en,"Personalization, Adaptation & Learning Support",scenario_mismatch,false,false,false,false,false,false,false,false,
syn_3988a0dc3ea7580c,2,zh,Higher-Order Thinking & Skill Development,reasoning_gap,false,false,false,false,false,false,false,false,
syn_fb4caf2eb8be4806,1,en,Error Identification & Correction Precision,factual_error,false,false,false,false,false,false,false,false,
syn_702b81e9864184ce,2,zh,Instruction Following & Task Completion,instruction_violation,false,false,false,false,false,false,false,false,
syn_3b905dd4282c68d1,1,en,Basic Factual Accuracy,factual_error,false,false,false,false,false,false,false,false,
syn_1006293c9b88a5eb,2,en,Role & Tone Consistency,scenario_mismatch,false,false,false,false,false,false,false,false,
