metric_canonical,language,target_label_5,target_count,error_types,notes
Instruction Following & Task Completion,zh,2,7,"[""instruction_violation"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=3; train-only source required
Instruction Following & Task Completion,zh,3,2,"[""instruction_violation"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=3; train-only source required
"Motivation, Guidance & Positive Feedback",en,1,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=8; train-only source required
"Motivation, Guidance & Positive Feedback",en,2,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=8; train-only source required
"Motivation, Guidance & Positive Feedback",en,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=8; train-only source required
"Motivation, Guidance & Positive Feedback",zh,1,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=5; train-only source required
"Motivation, Guidance & Positive Feedback",zh,2,7,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=5; train-only source required
"Motivation, Guidance & Positive Feedback",zh,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""superficial_fluency""]",train low-score count for this metric/language=5; train-only source required
"Personalization, Adaptation & Learning Support",en,1,7,"[""scenario_mismatch"", ""rubric_violation"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
"Personalization, Adaptation & Learning Support",en,2,7,"[""scenario_mismatch"", ""rubric_violation"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
"Personalization, Adaptation & Learning Support",en,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
"Personalization, Adaptation & Learning Support",zh,1,7,"[""scenario_mismatch"", ""rubric_violation"", ""instruction_violation""]",train low-score count for this metric/language=1; train-only source required
"Personalization, Adaptation & Learning Support",zh,2,7,"[""scenario_mismatch"", ""rubric_violation"", ""instruction_violation""]",train low-score count for this metric/language=1; train-only source required
"Personalization, Adaptation & Learning Support",zh,3,2,"[""scenario_mismatch"", ""rubric_violation"", ""instruction_violation""]",train low-score count for this metric/language=1; train-only source required
Reasoning Process Rigor,en,1,7,"[""reasoning_gap"", ""overconfident_wrong"", ""factual_error""]",train low-score count for this metric/language=9; train-only source required
Reasoning Process Rigor,en,2,7,"[""reasoning_gap"", ""overconfident_wrong"", ""factual_error""]",train low-score count for this metric/language=9; train-only source required
Reasoning Process Rigor,en,3,2,"[""reasoning_gap"", ""overconfident_wrong"", ""factual_error""]",train low-score count for this metric/language=9; train-only source required
Reasoning Process Rigor,zh,1,7,"[""reasoning_gap"", ""overconfident_wrong"", ""factual_error""]",train low-score count for this metric/language=7; train-only source required
Reasoning Process Rigor,zh,2,7,"[""reasoning_gap"", ""overconfident_wrong"", ""factual_error""]",train low-score count for this metric/language=7; train-only source required
Reasoning Process Rigor,zh,3,2,"[""reasoning_gap"", ""overconfident_wrong"", ""factual_error""]",train low-score count for this metric/language=7; train-only source required
Role & Tone Consistency,en,1,7,"[""scenario_mismatch"", ""superficial_fluency"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
Role & Tone Consistency,en,2,7,"[""scenario_mismatch"", ""superficial_fluency"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
Role & Tone Consistency,en,3,2,"[""scenario_mismatch"", ""superficial_fluency"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
Role & Tone Consistency,zh,1,7,"[""scenario_mismatch"", ""superficial_fluency"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
Role & Tone Consistency,zh,2,7,"[""scenario_mismatch"", ""superficial_fluency"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
Role & Tone Consistency,zh,3,2,"[""scenario_mismatch"", ""superficial_fluency"", ""instruction_violation""]",train low-score count for this metric/language=0; train-only source required
Scenario Element Integration,en,1,7,"[""scenario_mismatch"", ""instruction_violation"", ""rubric_violation""]",train low-score count for this metric/language=5; train-only source required
Scenario Element Integration,en,2,7,"[""scenario_mismatch"", ""instruction_violation"", ""rubric_violation""]",train low-score count for this metric/language=5; train-only source required
Scenario Element Integration,en,3,2,"[""scenario_mismatch"", ""instruction_violation"", ""rubric_violation""]",train low-score count for this metric/language=5; train-only source required
Scenario Element Integration,zh,1,7,"[""scenario_mismatch"", ""instruction_violation"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Scenario Element Integration,zh,2,7,"[""scenario_mismatch"", ""instruction_violation"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
Scenario Element Integration,zh,3,2,"[""scenario_mismatch"", ""instruction_violation"", ""rubric_violation""]",train low-score count for this metric/language=0; train-only source required
