sample_id,pilot_group,original_score,original_region,qwen_score,deepseek_score,score_gap,qwen_failure_bucket,deepseek_failure_bucket,qwen_derived_risk,deepseek_derived_risk,qwen_training_use,deepseek_training_use,conflict_type,adjudication_priority,question_preview,answer_preview,rubric_preview,top80_for_adjudication
3bcc02fdb1dc40baccc625e0649658243cccf44d,train_all_low_label,2,low,5,2,3,no_failure,visible_failure,low,high,review_only,high_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"问题：在神经生理学中，动作电位的过程中不包括以下哪一个步骤？ A) 去极化 B) 再极化 C) 超极化 D) 钙离子流入细胞 学生的答案：C) 超极化 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": ""错误"", ""评分细节"": { ""正确答案"": ""D) 钙离子流入细胞"", ""学生答案"": ""C) 超极化"", ""知识点解析"": ""动作电位的核心阶段包括：1) **去极化**（钠离子快速内流），2) **再极化/复极化**（钾离子外流，恢复静息电位），3) **超极化**（短暂膜电位低于静息值，属于后电位的一部分）。选项D的“钙离子流入细胞”主要发生在突触末梢的神经递质释放阶段，而非动作电位本身的...","[""5分： 所有涉及的客观事实（定义、公式、日期、名词、代码语法等）完全准确无误。"", ""4分： 绝大部分事实准确，可能存在个别极其微小的、非关键性的笔误或疏漏。"", ""3分： 大部分事实准确，但存在少量明显的事实错误，需要核查。"", ""2分： 包含较多或关键性的事实错误，信息不可靠。"", ""1分： 充斥着大量事实错误，信息完全错误或误导。""]",True
bd384e01426757c4dd86e755a75d5ef86fe6e59f,exp27f_top40_conflict_reaudit,1,low,4,1,3,no_failure,hidden_or_missing_failure,low,high,review_only,high_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" ...","```json { ""Score"": 1, ""ScoringDetails"": { ""Accuracy"": 1, ""Explanation"": ""The student's answer is correct. The human liver indeed has a remarkable ability to regenerate. After a portion of the liver is removed, the rem...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
26347fdbe0a04b7bfbc0e5079be670bb041a82f8,train_all_low_label,2,low,2,4,2,hidden_or_missing_failure,no_failure,high,low,high_weight,review_only,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,Question: Which of the following factors is most crucial for determining the success of a crop in a particular region? A) Soil pH B) Seed variety C) Irrigation method D) Climate conditions Please provide reasoning bas...,"```json { ""Reasoning Provided"": { ""Analysis of Options"": { ""A) Soil pH"": { ""Role"": ""Affects nutrient availability and plant health."", ""Adjustability"": ""Can be modified with amendments like lime or sulfur."", ""Limitatio...","[""5: Fully integrated all key scenario elements (e.g., student history, learning preferences); output is highly personalized and well-matched to the teaching context."", ""4: Used major scenario elements effectively; re...",True
7b2343c0fac6f79059007d116f746842fe6a6637,exp27f_top40_conflict_reaudit,1,low,4,2,2,no_failure,visible_failure,low,high,review_only,low_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,1,"Question: True or False: The human liver has the capacity to regenerate after surgical removal of a portion of its tissue. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" ...","```json { ""Score"": 1, ""Scoring Details"": { ""Correctness"": true, ""Explanation"": ""The student's answer is correct. The human liver does indeed have a remarkable ability to regenerate after partial removal, a process kno...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
994d4e155a8f105839639aba605151175ef4de88,train_all_low_label,1,low,2,4,2,hidden_or_missing_failure,no_failure,unclear,low,low_weight,review_only,audit_hard_conflict;deepseek_lenient_qwen_strict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;score_gap_ge2;training_use_disagreement,1,"问题：在研究中世纪封建制度发展的过程中，下列哪些因素对其演变起到了关键作用？（可选择多个） A. 农奴制 B. 城市化进程 C. 十字军东征 D. 文艺复兴 E. 黑死病的流行 F. 军事科技的进步 学生的答案：['A', 'C', 'E', 'F'] 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 3, ""评分细节"": ""学生正确选择了四个因素中的三个，但漏掉了对城市化进程的影响。"", ""个性化反馈"": ""您的回答非常接近完全正确。您准确地指出了农奴制、十字军东征、黑死病的流行以及军事科技的进步对中世纪封建制度演变的关键影响。然而，城市化进程同样是一个重要的因素，它促进了经济和社会结构的变化，进一步削弱了封建制度的基础。希望您能更加全面地考虑各个因素的影响。"" } ```","[""5分： 精准定位所有错误（无遗漏、无误报），给出的纠正建议完全正确、清晰且是最优或非常好的方案。"", ""4分： 准确定位了大部分主要错误，纠正建议基本正确有效，可能遗漏极少数次要错误或建议不够完美。"", ""3分： 定位了部分错误但有明显遗漏或误报，纠正建议部分正确但可能不够清晰、完整或并非最佳方案。"", ""2分： 错误定位不准确，遗漏了关键错误或大量误报，纠正建议存在错误或难以理解。"", ""1分： 完全未能识别错误，或给出了完...",True
25a37166756d804397ce1540111f9b80f5bd477b,train_all_low_label,2,low,4,3,1,no_failure,hidden_or_missing_failure,low,medium,review_only,low_weight,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;training_use_disagreement,1,"学生画像：学生的画像：{'姓名': '王小明', '年龄': 21, '年级': '大三', '专业': '临床医学', '学习风格': '偏好视觉学习', '兴趣': '外科手术、病理学', '当前挑战': '在解剖学应用上有困难', '目标': '提高解剖学的实际应用能力'} 请根据学生画像，为每位学生生成 ‘个性化的学习内容或任务’:,以json格式返回","```json { ""学生"": { ""姓名"": ""王小明"", ""年龄"": 21, ""年级"": ""大三"", ""专业"": ""临床医学"", ""个性化学习内容或任务"": [ { ""学习风格"": ""偏好视觉学习"", ""内容"": ""观看高质量的解剖学视频教程，包括详细的3D解剖模型动画。"", ""任务"": ""完成每个视频后的在线测验，检验对解剖知识的理解。"" }, { ""兴趣"": ""外科手术"", ""内容"": ""研究外科手术相关的解剖结构和操作技...","[""5分： 交互或内容设计巧妙，能显著促进学生的批判性思维、创新思维、问题解决或知识迁移应用能力（例如通过开放性问题、对比分析、案例探究、项目式任务等）。"", ""4分： 能提出引导性问题或设计有一定挑战性的任务，对培养学生的高阶思维和能力（如分析、评估、应用）有积极作用。"", ""3分： 在促进高阶思维方面有所尝试（如提出一些简单的思考题），但深度和广度有限，效果不明显，整体仍偏重知识复述或简单应用。"", ""2分： 交互或内容主要停...",True
365e8b4c9ee703d23dee95e59be31577a15cacc8,train_all_low_label,2,low,3,4,1,hidden_or_missing_failure,no_failure,medium,low,low_weight,review_only,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;training_use_disagreement,1,"Subject:Physical Education Education Level:Undergraduate Knowledge Point:The FITT principle is a foundational concept in physical education that stands for Frequency, Intensity, Time, and Type. It is used to structure...","```json { ""Question"": ""Explain the FITT principle and how each component (Frequency, Intensity, Time, and Type) contributes to designing an effective exercise program."", ""Provided Reasoning"": ""This question is appropr...","[""5: Skillfully designed to promote critical/creative thinking, problem-solving, or transfer of knowledge (e.g., through open-ended questions, comparative analysis, case study, project-based tasks)."", ""4: Includes gui...",True
a5b76b94f849ef3c81364bfd2a49a16777a2d7fa,exp27f_top40_conflict_reaudit,2,low,4,3,1,hidden_or_missing_failure,hidden_or_missing_failure,low,low,review_only,low_weight,audit_hard_conflict;low_human_teacher_high;one_teacher_disagrees_with_human;training_use_disagreement,1,"Question: Explain how Porter's Five Forces framework can be used to analyze the competitive environment of an industry. Please provide reasoning based on this question. Do not provide the answer directly.. ""Reasoning ...","```json { ""Reasoning Provided"": ""To answer this question, it is essential to understand the components of Porter's Five Forces framework and how they interact to shape the competitive environment of an industry. The f...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
d669073d100a7f3755e1ce0ec3bd63e9b6c54e34,train_all_low_label,2,low,4,3,1,hidden_or_missing_failure,visible_failure,low,low,review_only,low_weight,audit_hard_conflict;failure_bucket_disagreement;low_human_teacher_high;one_teacher_disagrees_with_human;training_use_disagreement,1,Question: Explain the concept of Nash Equilibrium in game theory and provide an example. Student's Answer: Nash Equilibrium is a situation in a game where each player's strategy is optimal given the strategies of all ...,"```json { ""Score"": 4, ""ScoringDetails"": { ""ConceptUnderstanding"": 2, ""ExampleRelevance"": 2, ""ExplanationClarity"": 1, ""TotalPossiblePoints"": 5 }, ""PersonalizedFeedback"": { ""Positive"": ""You correctly identified the conc...","[""5: Precisely identified all errors (no omission or false positives); provided completely correct, clear, and optimal correction suggestions."", ""4: Correctly located most major errors; suggestions are generally accur...",True
3fdc81f613bf237c32a80d3fb798df97d4a1a3ab,train_all_low_label,2,low,5,5,0,no_failure,no_failure,low,low,review_only,review_only,audit_hard_conflict;both_teachers_disagree_with_human;low_human_teacher_high,1,"问题：解释“需求弹性”的概念及其在经济学中的重要性。 学生的答案：需求弹性是指需求量对价格变化的反应程度。在经济学中，它很重要，因为它帮助企业了解价格变动对销售额的影响，也帮助政府制定税收政策。 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 75, ""评分细节"": { ""定义准确性"": 80, ""重要性阐述"": 70 }, ""个性化反馈"": ""你的回答准确地捕捉到了需求弹性的核心概念，即需求量对价格变化的敏感度。然而，对于需求弹性的重要性，你可以进一步扩展，比如提及它如何影响企业的定价策略、生产决策以及市场竞争力等。此外，也可以探讨需求弹性在资源分配和消费者福利方面的作用。"" } ```","[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完...",True
65890fb994cef054dc75e0e6dd4c1b3e2d91805d,exp27f_top40_conflict_reaudit,2,low,4,4,0,no_failure,no_failure,low,low,review_only,review_only,audit_hard_conflict;both_teachers_disagree_with_human;low_human_teacher_high,1,"问题：解释“需求弹性”的概念及其在经济学中的重要性。 学生的答案：需求弹性是指需求量对价格变化的反应程度。在经济学中，它很重要，因为它帮助企业了解价格变动对销售额的影响，也帮助政府制定税收政策。 请根据问题和学生答案给出""评分"":""评分细节"":""个性化反馈"":,以json格式返回","```json { ""评分"": 3, ""评分细节"": { ""概念解释准确性"": 2, ""完整性"": 2, ""逻辑清晰度"": 2 }, ""个性化反馈"": [ ""概念解释准确性较高，但可以进一步明确需求弹性的具体定义，例如提到需求弹性是衡量需求量随价格变化而变化的程度的一个指标。"", ""答案较为简略，建议增加更多关于需求弹性的类型（如价格弹性、收入弹性等）以及其在实际经济活动中的应用实例。"", ""逻辑清晰度尚可，但可以更详细地说明需求...","[""5分： 完全理解并精准执行所有指令，完美达成核心任务目标，格式完全符合要求。"", ""4分： 准确理解主要指令，正确执行任务，核心目标达成度高，格式基本符合要求，可能有极少细节遗漏或偏差。"", ""3分： 理解了指令大意但可能忽略部分细节，任务基本完成但存在一些不准确或遗漏之处，格式有明显尝试但存在较多偏差。"", ""2分： 对指令理解有偏差，任务完成度低或有严重错误，格式多数不符合要求。"", ""1分： 完全误解或无视指令，任务未完...",True
6a65ddfebb3698d3eb20f814a761580fa2f8be48,train_all_low_label,2,low,5,5,0,no_failure,no_failure,low,low,review_only,review_only,audit_hard_conflict;both_teachers_disagree_with_human;low_human_teacher_high,1,"Subject:Mathematics Education Level:PhD Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities? A) f(z) has no singular...","```json { ""answer"": ""A) f(z) has no singularities."" } ```","[""5: Content is highly relevant to the specified topic/theme/question; strictly within required difficulty/scope/discipline without redundant or irrelevant information."", ""4: Overall relevance is high; scope control i...",True
fa439d530a93932f4cf8a09f743d80c44e18e0b8,train_all_low_label,2,low,5,5,0,no_failure,no_failure,low,low,review_only,review_only,audit_hard_conflict;both_teachers_disagree_with_human;low_human_teacher_high,1,"Subject:Mathematics Education Level:PhD Question:In the context of complex analysis, consider the function f(z) = z^2 + 1. Which of the following statements is true regarding its singularities? A) f(z) has no singular...","{ ""Answer"": ""A) f(z) has no singularities."" }","[""5: Content is highly relevant to the specified topic/theme/question; strictly within required difficulty/scope/discipline without redundant or irrelevant information."", ""4: Overall relevance is high; scope control i...",True
ffbcfd835bce6f2c49e6ba425055824d75949505,train_all_low_label,2,low,5,5,0,no_failure,no_failure,low,low,review_only,review_only,audit_hard_conflict;both_teachers_disagree_with_human;low_human_teacher_high,1,"Subject:Computer Science Education Level:Undergraduate Question:What is the time complexity of the quicksort algorithm in the average case scenario? . Please generate the corresponding answer based on the question. ""A...","```json { ""Answer"": { ""time_complexity"": { ""average_case"": ""O(n log n)"", ""explanation"": ""Quicksort's average case time complexity is O(n log n) due to the algorithm's divide-and-conquer strategy. On average, the pivot...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
01cc5ff057b6de65aa7fc51623308f2c778c9ee7,train_high_disagreement_protection,5,high,5,1,4,no_failure,visible_failure,low,high,high_weight,exclude,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;high_human_teacher_low;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,2,"Question: True or False: The Andes Mountains are located in North America. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in J...","{ ""Score"": 0, ""Scoring Details"": { ""Correct Answer"": ""False"", ""Student's Answer"": ""True"", ""Explanation"": ""The Andes Mountains are located in South America, not North America. They extend through seven South American c...","[""5: All stated factual elements (definitions, formulas, dates, terms, syntax, etc.) are completely accurate."", ""4: Vast majority of facts are correct; possibly contains very minor, non-critical typos or omissions."", ...",True
b0b06cf7ec9851b59aa9cefd67952406532da5d6,train_high_disagreement_protection,4,high,5,1,4,no_failure,visible_failure,low,high,low_weight,review_only,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;high_human_teacher_low;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,2,"Question: True or False: The Andes Mountains are located in North America. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in J...","```json { ""Score"": 0, ""Scoring Details"": { ""Correct Answer"": ""False"", ""Student's Answer"": ""True"", ""Explanation"": ""The Andes Mountains are not located in North America. They are actually located in South America, runni...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
c5e071f6d3124ab0ca810e095f6bd3a2e30aaa1c,train_high_disagreement_protection,5,high,5,1,4,no_failure,hidden_or_missing_failure,low,high,high_weight,exclude,audit_hard_conflict;derived_risk_disagreement;failure_bucket_disagreement;high_human_teacher_low;one_teacher_disagrees_with_human;qwen_lenient_deepseek_strict;score_gap_ge2;training_use_disagreement,2,"Question: True or False: The Andes Mountains are located in North America. Student's Answer: True Please provide ""Score"", ""Scoring Details"", and ""Personalized Feedback"" based on the question and student's answer, in J...","{ ""Score"": 0, ""Scoring Details"": { ""Correct Answer"": ""False"", ""Student's Answer"": ""True"", ""Explanation"": ""The Andes Mountains are located in South America, not North America. They extend through seven South American c...","[""5: Reasoning is complete, clear, and rigorous; all steps are correct; arguments are strong and free of logical fallacies."", ""4: Reasoning is largely correct and logically coherent with minor issues in individual ste...",True
