eval_index,sample_id,question_key,question_group_id,metric,language,subject,gold_label,answer_chars,answer_words,failure_mode_auto,hidden_failure_candidate_type,recommended_training_use,confidence_weight,d2_prediction_count,d2_model_high_count,d2_evidence_risk_count,d2_model_high_adapters,d2_evidence_risk_adapters,prompt_hash,recovered_reason_hash
37,1bd5e1ce094da34aea6531591c2674bd221634b6,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Reasoning Process Rigor,zh,Mathematics,2,226,19,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,49fbb3b254fbc4a7d1db830cfd776f1971d29895,44ee39cead0178d55feec303fef27bfb832cf001
38,0c74a66a6f9ecee5580723b73f7741a8f05e1352,80b4f169dced8f900b4d6467567222045b1c13a3,80b4f169dced8f900b4d6467567222045b1c13a3,Error Identification & Correction Precision,zh,Mathematics,1,226,19,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,2f8617e012e1559a551469068cd53b609c890395,ad672bede4be6d27087cf5711638d88a052e0e62
39,b21b8c3ac37ecaa0e26ae36e530a7f7c75594d53,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,Reasoning Process Rigor,en,Computer Science,1,181,34,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,e1ae350ddb6407d039f8a83a933fde7df678053e,5c80c0bfbce57dbc5247fdda5d0acb109f63fa6e
40,a2963f0bafecf877ce9d9f85ccd07d324522a500,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,Reasoning Process Rigor,en,Computer Science,1,140,25,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,5b44e682517409e9860f3e90f5f62bb29836301b,b47079cc138cfe6eb546f60d8719ff90722de8f9
41,a5b40ba0a800e6ec0da88e7d0591d092caa41ae1,fdcc493923c6536e26519ec07f9693ca405da624,fdcc493923c6536e26519ec07f9693ca405da624,"Motivation, Guidance & Positive Feedback",zh,English,2,120,18,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,ee484846ac54582b64d13b332e056989d06e449d,bedd37701d417a5f7fba5f4e3983e5624b026eed
42,76909e50052e68bb729ed62933a86559f6a7c036,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,107,16,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,3342ba44c247a2b45f4bedd79b8a6ddf8e0d7ddd,f6aa75c8d619c6294972842a85779d3ee7926674
43,2805e4237ccaed90f917ee91a5c2c44743bbd1b1,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,107,16,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,8086d61491a70de01a0779ca4b1220d7838ad7ab,f6aa75c8d619c6294972842a85779d3ee7926674
44,8b2201addbda2de262f29b819d9d4a430827f8c8,379759b00c0ded53ca5135bf363df1ca0f8ae778,379759b00c0ded53ca5135bf363df1ca0f8ae778,Reasoning Process Rigor,zh,Physical Education,1,100,11,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,f6684ca72a06854879f1eaa2c2a6bf9beee800c4,2eb54afb81fcdd1ddea75e50f830548483a7bf05
45,3e6317e0a4cd57573a6c971fc945cfc7ee52148a,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,95,14,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,549f1e77eb458e9087363ce4d56e97c5b5ae9e81,5afec1cf6fe8e355d54ecae3dd1e2c17cb023afc
46,4042b14600691c9b29b70d916e9db910c058d891,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,Reasoning Process Rigor,en,Applied Economics,1,95,14,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,b8f274fad6814f82efe60a9f0c6ea22a24eca169,0280ff1d49c324ef179df47312136925735fd453
47,6a65ddfebb3698d3eb20f814a761580fa2f8be48,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Content Relevance & Scope Control,en,Mathematics,2,59,10,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,02f344e55fcc6d14295737a97dc7915c5cf0626f,8f4dba7dcddc533cf979e1341328d09b7436bbf5
48,44a426bf4f453df7ea5b7ac85d6f0e801f9ba296,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Reasoning Process Rigor,en,Mathematics,1,59,10,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,9a631935eb58b5db9635a7c0f76482e2f84bfe09,2e5004e0054d9dbcea41196f581e28689844bd47
49,6358300a1312a268220578a420e801d4c75e9525,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,55,8,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,994c2bdaf1356496ec298b8c15ae785621bc725d,fcb311406fb61968222f2e2556864b684162cb92
50,d7038665e81daff68cadf97e16d4c3e3c3fe543d,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,53,8,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,583745808538328880e7762cd667014e75ad54f6,fcb311406fb61968222f2e2556864b684162cb92
51,74489511928922f9b0aa06c74a3c42dabf84217e,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,53,8,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,19702334254ef18c650e9b3b0b0e9e8f45a9df11,fcb311406fb61968222f2e2556864b684162cb92
52,5680bbfccbc4637e7c9c7e3d63698aaf2b4fa213,50a125b94d56b250cab34175d4465b85ca2df963,50a125b94d56b250cab34175d4465b85ca2df963,Reasoning Process Rigor,en,Psychology,1,53,8,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,ffacb6899fdeb97f295a4b0c99a0530413525295,fcb311406fb61968222f2e2556864b684162cb92
53,0578273c54e1a724084529ebbc385f1bdd1076ea,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Basic Factual Accuracy,en,Mathematics,1,47,8,surface_fluent_but_hidden_defect,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,fb48b7ec514f568684a478b4f132cff13f8bac3c,4dc43595fa21fbb39a735e42f017d7e3861d7f7e
54,0a86fc4b2478f8c922c1ab7ce85590f94b9d2136,aa48c48cd6bf14c4713397de0e37c7971495e79d,aa48c48cd6bf14c4713397de0e37c7971495e79d,Reasoning Process Rigor,en,Mathematics,1,47,8,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,86102696262c1cd9218d92ef6e456fdd7138510f,2e5004e0054d9dbcea41196f581e28689844bd47
55,9473740ab3e011ac08772a84e106e72f4d38f137,1fbaba4fd0689522a2df03a5be806cfca5328f00,1fbaba4fd0689522a2df03a5be806cfca5328f00,Reasoning Process Rigor,en,Crop Science,1,43,7,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,7b842d48f5acc9653b03953df03f0a36c4ea0bca,6bc6e4fffb021af601c829f8923a31db9f973cee
56,9695560e94c04bb151b514cc850a85eb10394a00,3f583749c39a53d68120dd4302b4c6888f5dd6d7,3f583749c39a53d68120dd4302b4c6888f5dd6d7,Reasoning Process Rigor,zh,Physics,1,43,7,insufficient_evidence,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,0a0df6adb39ecd85adfe74baec0918ab82cf7bdb,9e609688abeaea61d11fb264abda311a1a085e02
57,198938e2f622bb0de4883a3dc7e56f75c8a0dc9b,1fbaba4fd0689522a2df03a5be806cfca5328f00,1fbaba4fd0689522a2df03a5be806cfca5328f00,Reasoning Process Rigor,en,Crop Science,1,41,7,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,b9487873d2376373ad993fde269a40c5bd7c5a9c,6bc6e4fffb021af601c829f8923a31db9f973cee
58,674bc19324921890f8c1245b4760b0909fc05534,1fbaba4fd0689522a2df03a5be806cfca5328f00,1fbaba4fd0689522a2df03a5be806cfca5328f00,Reasoning Process Rigor,en,Crop Science,1,41,7,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,1264a7db2f835bcfaa4d25d09f33c068b22f0552,6bc6e4fffb021af601c829f8923a31db9f973cee
59,eca00ddc55d718efe2435adde78462ed09661b7c,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,8908425556f1a53089ef39c6600e1cdfc1ad9348,9a87133ef716805f8aee080d693bd3f5bcb7e145
60,4d02a34fe7fc1a2f65e5defcbeec26283b13ada9,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,7a7e2d53a6af1eaa55e6a922a6a30bc49b288108,9a87133ef716805f8aee080d693bd3f5bcb7e145
61,61ce1005760ba6b25779f26dec03b15d4d61f5ec,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,a01cb5ef4d18db3353b9e5f67022c3cf99fee97f,9a87133ef716805f8aee080d693bd3f5bcb7e145
62,cc218e690fef26eec817bb03c4ad9a759d05825e,93a5ca2decc82169ec51fce4735b568ddb829c8a,93a5ca2decc82169ec51fce4735b568ddb829c8a,Reasoning Process Rigor,zh,History,1,41,7,missing_key_point,weak_evidence_positive,weak_evidence_positive,0.8500,0,0,0,,,288db7584f3117555643fa63dbc2767b16772806,9a87133ef716805f8aee080d693bd3f5bcb7e145
