artifact,path,exists,expected_rows,availability,byte_size,sha256,hash_status
4b_fold_1_heldout,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_1/heldout_predictions.jsonl,True,,AVAILABLE,349957,0e89ea73284828e4db3f67fef2fe5f72d1cfd5f95f3e765dadb8a12093c982c6,HASHED
4b_fold_1_summary,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_1/run_summary.json,True,,AVAILABLE,6721,624e5e7bc9baec26ad288d99e9f54daa28dcdf2f97f12e6daed9ab56ee19112e,HASHED
4b_fold_1_adapter,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_1/teacher_adapter_and_head.pt,True,,AVAILABLE,132356764,,SKIPPED_HEAVY_PRIVATE
0.6b_fold_2_heldout,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_2/heldout_predictions.jsonl,True,,AVAILABLE,13147401,fdd992c5b675f0ac2a3cd3afc4de8219b4888bb16ecf3475144525df170700bb,HASHED
0.6b_fold_2_summary,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_2/run_summary.json,True,,AVAILABLE,9544,87badc2fcc169ee9ff13e80f8e60b1256ba3750c15db54214c1e6288a8eab549,HASHED
0.6b_fold_2_checkpoint,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_2/model.pt,False,,MISSING,,,NOT_AVAILABLE
4b_fold_2_all_logits,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_2/teacher_logits_all.jsonl,True,2654,AVAILABLE,517781,2482e439ebaa50d0d0aef87a21753187dec8cca95a2f5812611bc2e06156ddb3,HASHED
4b_fold_2_heldout,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_2/heldout_predictions.jsonl,True,,AVAILABLE,395054,0e807d5c35cb9390bafcf726f39131f102d7df5a5832ccad66150ac680fc8fa6,HASHED
4b_fold_2_summary,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_2/run_summary.json,True,,AVAILABLE,6749,77a2c1b1b5e0e487a3aa7bff345cd938ba9a09ebf85f9086b052c93536558cbf,HASHED
4b_fold_2_adapter,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_2/teacher_adapter_and_head.pt,True,,AVAILABLE,132356764,,SKIPPED_HEAVY_PRIVATE
0.6b_fold_3_heldout,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_3/heldout_predictions.jsonl,True,,AVAILABLE,13335024,6957f7b3a3581a3fdeb8f7e279f3fd2970ff3af0c724e63eb4cdb14f31fee868,HASHED
0.6b_fold_3_summary,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_3/run_summary.json,True,,AVAILABLE,9503,5e4ced6d858f32fae0105eb6eb550f4aba1aa6a5993f368a61cd0b24092ec32f,HASHED
0.6b_fold_3_checkpoint,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_3/model.pt,False,,MISSING,,,NOT_AVAILABLE
4b_fold_3_all_logits,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_3/teacher_logits_all.jsonl,True,2654,AVAILABLE,519153,d7515ed480ec560bf32e3c1c675755aabee42df1c58553db508f5374f040dd19,HASHED
4b_fold_3_heldout,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_3/heldout_predictions.jsonl,True,,AVAILABLE,401030,5d0a2d109a4faba7e4eb21374d811454dce8658dd57cc22b4483feb5e7262356,HASHED
4b_fold_3_summary,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_3/run_summary.json,True,,AVAILABLE,6690,e00e8032d71cf8d679bc247116e0e87980d6ca5bfe8e7c037d1e0ef9cfce61e4,HASHED
4b_fold_3_adapter,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_3/teacher_adapter_and_head.pt,True,,AVAILABLE,132356764,,SKIPPED_HEAVY_PRIVATE
0.6b_fold_4_heldout,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_4/heldout_predictions.jsonl,True,,AVAILABLE,11613604,aeb9f57e7eb7d991cd4b0dbcf4d8168eb4fb798550807c3675e20a7c8dc3d03c,HASHED
0.6b_fold_4_summary,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_4/run_summary.json,True,,AVAILABLE,9495,d1aaee311b078072b913ae40764d646a3211c56fbbdbdd96889c75314bdec0ba,HASHED
0.6b_fold_4_checkpoint,thesis_exp/runs/exp44_taco_score/groupcv/C0_E4_baseline/seed_42/fold_4/model.pt,False,,MISSING,,,NOT_AVAILABLE
4b_fold_4_all_logits,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_4/teacher_logits_all.jsonl,True,2654,AVAILABLE,518430,1becd51ba353e6c6e1e28b1235109ec2239a402bf0d41fcf2a3c9278f4971c0c,HASHED
4b_fold_4_heldout,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_4/heldout_predictions.jsonl,True,,AVAILABLE,348851,f17c6009c011ff02ca2901b908a89a6d81344e64e2c456f4b7d3428a0ce9595d,HASHED
4b_fold_4_summary,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_4/run_summary.json,True,,AVAILABLE,6732,5ca3ae88171a6107ceb5988fc3baa6831f48b7a4197a3665d93bf798cce9ce44,HASHED
4b_fold_4_adapter,thesis_exp/runs/exp46_hato_kd/groupcv/T1_4B_teacher/seed_42/fold_4/teacher_adapter_and_head.pt,True,,AVAILABLE,132356764,,SKIPPED_HEAVY_PRIVATE
