pair_id_hash,sample_id_hash,question_key_hash,language,metric_group,operator,both_schema_target_valid,order1_source_preferred,order2_source_preferred,order_consistent_source_preferred,tie,order_conflict,confidence_ok,degradation_ok,preservation_ok,uncertainty_ok,accepted,rejection_reasons
exp40a_2e7651eaa25894e450103df2,bd38b2e5001405a3952b7f825e330970af9a712d,f1f947604e25a14868aeebe46ba3a2c375d74f99,en,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,False,False,False,False,False,True,True,True,True,False,source_preference
exp40a_30190d379f1cdcf9da217cb3,b699bb9bd3ca799fddc31e020918e6b22eaad433,d0434a705d581d2aebdcf53be8acafc5da9b8e4e,en,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_3035552cc19a40eb72f70806,d7376dce5d461d3276c81d4462dea67f4f6ac9f2,c704daf936433b064b6ac838c48f647752e9e2be,zh,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_30a668dd834775d1f1d13213,b5c17dfb02e78b48f54592dfb8b038bb13a230d2,80821dde94820931139007ec347a98d42be34695,en,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_30c78c462e23ab02b826b71c,bd3a9465eb5bc64d41fca6a99e39db5c4265b031,50a125b94d56b250cab34175d4465b85ca2df963,en,Factual & Reasoning Accuracy,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_3121a167559d9cb02b6b8127,b6eb6a3179f08f55f88820e5b6d2052d33ba7abc,c5e865a068a848238f34733509b1d670a4295978,en,Factual & Reasoning Accuracy,remove_required_key_point,True,False,False,False,True,False,True,False,True,True,False,source_preference|tie|degradation
exp40a_3150905d77037195450547b1,69f84a100ade27cc4871b05da10f6aaf23ceb026,182ead73c7c9bef64c812e1c3366635156817f15,en,Factual & Reasoning Accuracy,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_3217e63b19327de306d304e9,68cdf70c55643038fff786ae3cee7b9622ae59fc,203bd2376a2790af648dc36797a32ca8bc98b71f,zh,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,False,False,False,True,True,True,True,True,False,source_preference
exp40a_32c552587854daaf0fd140b7,4dd02cc677565b675307c1d1329f08feef7b06f6,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,en,Scenario Adaptability,violate_explicit_task_or_format_constraint,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_34158c2d6b9cc144248f6db0,0676331be88dbae14fe2c13e851ee2124e60a350,7bdbfc3be37d434120cd61c75738b9ba4e2b67ad,en,Factual & Reasoning Accuracy,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,False,True,False,preservation
exp40a_348c328416edea31230c6246,6009f7ba98dbc1184c2f2eb3e689b8cbaf272369,d2dfb2224f4f7d3f932930cf1d4240b74deb2f11,zh,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_35e0c867454b625b06dea4ef,57151a809ec6aaa4aad98596e5f8b07cc3c6b312,30db5e431237f6e3090cb5d1c53ed338a4416c06,zh,Pedagogical Application,violate_explicit_task_or_format_constraint,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_37c7e2bf7d809bbfcca3111a,6c10fe476b6f1d0dcb5504d4b80b07be38cad0f0,1bbfb9a5f532b875aaa1b5a1500fb88535b21a51,en,Factual & Reasoning Accuracy,introduce_scope_drift_or_irrelevant_content,True,False,False,False,False,False,True,True,True,True,False,source_preference
exp40a_388fff4998a48580bcc6b4c2,c442136a886ea40809e78583fabb26e7eceae437,01e981e006d5cc3c46452c8e47a7071211cd9c78,zh,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_394255ba1445fec87f3f57c7,2441f5da5d7acfa4f91a85d28f03672a92972f96,71a14244232914c689e46f4d03977b3ac0067a23,zh,Pedagogical Application,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_39b9e3ad886ab600041ca3c6,5cf92ae6e911701eed946b87825c30da1f906f16,85398269c1c07a9498c3eae4b08315e4db78a74e,zh,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_3a66e35eb9589b6086b6cc8f,ad95ab8babe360890ebf760af8c9fc9a6988ea0b,f1957be055b3faa0aea88aa4c67e38d0b94b2a4d,zh,Pedagogical Application,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_3bdd0c1d6b06158fade5e52c,70cdde082a9a4dc905fe0940102bb56a8e4fad4d,b0ec9ece1525000e58e3539446f4c4e03dc1c08f,zh,Scenario Adaptability,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_3ea0205c8dbc7745b31e97c0,f3dec97b5a224422a3e4ed5938cf6f97ee32348e,fdee3eafe1a0b0c9952436eb5c8fd2bb759f6b98,zh,Factual & Reasoning Accuracy,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_3ed3309640878e290244e19a,ea3d92063eef1ffbf781d5c4cb99b99ebb35979a,64465da5babb6f11f1382962a213791b28164276,zh,Scenario Adaptability,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_3edaac0f4779622f8b0185ed,adbdcedea8657e99327f89d1e39c17f4bd99a71b,1f8ede9b3a0b464a2781f4d0bd56f46d69f05fb3,zh,Scenario Adaptability,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_40c44069aa001d88c4e4b7e2,092e45579d1eb967e6b69d085b1d122398a4e99d,65831171afc5c704e20127508706abce1bfb315c,zh,Pedagogical Application,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_43459341dacfa5b70bc6dc58,6a8ffc17c2d50876d9935fb568b84447fd530655,04c137c5aec1fd5e3fc9bc4897bc62409a8e32e7,zh,Factual & Reasoning Accuracy,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,False,True,False,preservation
exp40a_441735e33b33006da4fe3399,08a14ef1bb86c88256e72b859096b410fd284d94,6ae2184d2c28a7dffc1319a61a68cf2584970be2,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_46d5c87897847292fd5a933e,54426a768c1a2ebab889a2a609e28310b3a939fe,fdcc493923c6536e26519ec07f9693ca405da624,zh,Pedagogical Application,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_47225c34b61863eb6a1057a3,e8f46f10a1be58e732840ce04cee4a0bea3c264d,b7036c32a59491e7304339cad703b6953309017b,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_474a3cfd66798b59d868baa8,c6683e8e655411c77238b70a1fe905676d4cafe1,14e6dfb98fe659be9bca96d36b8e8c3b5beda0d4,en,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_48004598c0fce2798b013227,cf9041165b52e6a1a51c3b94dcc087328aba8f99,9170c4d4b31f4dd5c699c2524cc746bd54865e83,en,Scenario Adaptability,remove_required_key_point,True,False,False,False,False,False,True,True,True,True,False,source_preference
exp40a_4882f529bfd520b4ff41cb12,9d3b2b8d6b6adfc788a87619b264dbacc0eb7852,33f24cdef61905293c51bb59ca561c1f2cef3965,zh,Scenario Adaptability,remove_required_key_point,True,False,False,False,False,False,True,True,True,True,False,source_preference
exp40a_4beeb0254c0a0284723edb63,19c0fa03c864642d8bc83f2794cc14fb1adbf199,7d31b9d0eef59066afff9ba848a799e2668bbed2,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_4c1e9ee8178caceb1af0ed88,e9ba46bba76a2c1058c1e9200db8f7ee177674e0,578358b94591dcdb7b73304c5498c56a12d9c95d,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_4c4c228b4250c9e2f8c974a5,db2102b907e21623f166f5605840ba4b14ab8108,8dbbdc416b94778b6562e10ea62ae70dc2861047,zh,Factual & Reasoning Accuracy,introduce_factual_or_rubric_contradiction,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_4d4d327eefcefc7f9bbdb4e3,149f9441c4d8d11ab5ae76d131041560ce986240,8cdf1aba67fd11f6ef4d3de526d6c99b7ecebfd4,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_4d6e85a999b004da6801952b,6e7aa98455d0694d91b00797c1b088a78f2cb0f0,5f10a3a85e0efd1be4f1e1773e836f0ef17e29b2,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_4f12c08e31bb3639cb385b2a,d63b1470b8c0538f4b651d399a314b971b0a2db5,79fdfb756f474701ec773130d79d5faed04b45b9,zh,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_4fdd197802668f5059e80101,40b6c899d90fdb1a2082c8199aa519c4b1b72961,f705a20fd802b901fb36788b9a24a96983b5ab1e,en,Pedagogical Application,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_509673c3fa314f23c7e41100,928a07e42131a7a7ae63d6d9d9f5893ea971fca5,8d6f3489f6b2e6537bde56dfdfb795a23952cc5a,zh,Pedagogical Application,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_5273839c346474428f9a5c71,47cc5167d6fcb3ac24c16d56adfc4bef24cf61eb,32ad39fb545d59e13fa61dcd53566a23d4605c7b,en,Scenario Adaptability,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_52a639f60e45b88fddd496d4,a66f0d9262590243b179e74ad011958d3c4696c5,5a8663d57769fe35066bd7a0879ffa16b30fef1f,en,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_553595d394c50a95f6a8fdc9,43303f67b98c41d3781f0318c9e023da0c1186fe,639f94d782b2c115eb52a4aae8b943c69735f697,en,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_55a6ce6a1bd89aab7b493847,a12fea16114a72e4feece0b40af69f082b5e7553,00390e119f0cc1f62aa2726f07ddfc3fd9bcb599,zh,Factual & Reasoning Accuracy,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_572dbef3cf624cccab4c0737,8235b0f9f4ee9e165aa7afcd733c2ef00b17a344,0d15c361c4d8191bd918c895893f7acb5b4970f8,zh,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_57ca0a2270e71ff3302fc64d,c44834512256e0b3a522214d5006bfffd91cf63f,5869d39b967206a8fc1c0ce82c2c96a58047d0ec,en,Pedagogical Application,violate_explicit_task_or_format_constraint,True,False,False,False,True,False,True,False,True,True,False,source_preference|tie|degradation
exp40a_58f1a9488895483f1c01887c,2467aa95e191a3f0e29eb2bccb2e3d23072a6771,bd2b8ecc9401f3b7b41a53bb89b2c8375428ff11,en,Pedagogical Application,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_5bb970ff1c6ce17227b95ef7,dbdfada59371d59195748d31f0b9c2b699c37f29,02ce58cfa46bbe8455359e7783c8e7014804cae9,zh,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_5d11be9be3b0c1d45a5c3614,249af2a2e6c61afd655825d4fd44d6463db30ee5,b4e8463f79efb7c28a37f3dee049ee3dee03f6de,en,Scenario Adaptability,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_5d3b2bf8d5a8b5133b77de69,8646a5e993de5a511e646ca6556f3d97fee98e36,414ba6d9775b2d468e4fbb2fbc213cbff8960997,zh,Pedagogical Application,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_5df22c7cb98822359a31f288,687496c467980d9c0db49fc5c2d11772506b75fc,ac5843a5b2798e8500cac73be37d8147d820498f,zh,Factual & Reasoning Accuracy,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_5fbcf05253f094e566258f7b,0284805df66b2a4fdfe8be98139ba1385f7021bc,85c4c4f06a98174d52ae51ed006345fe8dc8f85b,zh,Factual & Reasoning Accuracy,introduce_scope_drift_or_irrelevant_content,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_5fce6f2d99dac41e9856dbc1,8916755cedcfcf2fa7e193349e473294180b9526,a1b67cde2ac0c2a69a2631e08f31330c603fd3ac,zh,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_5ff8f68db382a36284634d70,30376d33c321d346beb04ca8ce165cf8e75e80d3,379759b00c0ded53ca5135bf363df1ca0f8ae778,zh,Factual & Reasoning Accuracy,remove_required_key_point,True,False,True,False,True,False,True,False,True,True,False,source_preference|tie|degradation
exp40a_600fde66814dcb9b630a624c,6d4feb8b6162c6908d6fb004bed7cea2110298ef,8fab64f1090cd363036f72bb8f088eeaf4344ad1,zh,Factual & Reasoning Accuracy,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_61605265ef62e71fb9d91b23,7c9d89348cf2e2abaca9c93771205bb3de4c18db,3bde34d7d722994a823dfe59375b0708f8ffa30d,zh,Scenario Adaptability,introduce_factual_or_rubric_contradiction,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_6172ef615574546139857c1f,6b00df6b0ccf15fb1d2fcc53b813769d37423547,18a572cd7d58d8207b76214c513e04fed2826537,en,Pedagogical Application,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_65db94294ca02084f84778b5,02072d13e99d6ee933d8a792fccced69a4c70245,1f8ede9b3a0b464a2781f4d0bd56f46d69f05fb3,zh,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_671ddb5af406c986085f2e60,a0390169dc66f5be6725336010b21f42275e9b55,60286ca13f8911fb790079d9f9c83f8858745790,zh,Scenario Adaptability,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_678c1dec9ddc448c157cc617,3354ddf36faa571c53b52bc8809ce2c25431e797,ce9b05f8b8c3c09bfac56ea4f5f177bac9474ddb,zh,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_67d9cf3d32fd2d3b2b74ca72,4d00566af251aa7d5cebea4c3a2d0b3b93821b85,77549e9a87652e35c3eb0c10ff7c6e47a57e0ceb,en,Pedagogical Application,introduce_factual_or_rubric_contradiction,True,True,True,True,False,False,True,True,True,True,True,
exp40a_68025f363910727eba543199,08e17a89ec6bdaf01401e8273bb48c4a9389829d,7f281c5d001646c5cd068f561302e9f2c1b03a4e,en,Scenario Adaptability,remove_required_key_point,True,True,True,True,False,False,True,True,True,True,True,
exp40a_6819bc5d9db6cd9764092a6a,ce130a637dd501c4932eb3d38209b11bdf225e6f,6185c5b44a5061f148ff9e88e2575a5c27e82a12,en,Pedagogical Application,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_681d3b6fbc6e8f43269b9207,dc140f683351de3f95860f1a1eb5fd9e0d63b215,4acd2f421d6a5a424b3461cdf88a6e42db9e26d0,en,Pedagogical Application,violate_explicit_task_or_format_constraint,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_68299f1d6beccc1b25b4de2f,f2ce9bdbbf6be947ffa4940b026ab08df8a0ab47,bea4c701b5b8016ddc3f538300508271dc4dda99,en,Scenario Adaptability,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_6886ff99084a9402701ab92f,4137b3767bcee82093fd5d42df25a8a3ea154015,770c45352988affabdaebdbaa7ba14d12f370c74,zh,Pedagogical Application,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_6ab0e457c795b9028b961476,c92fd9b75e9f0680fafec12b22691e5b57e5778a,a14dd4244f84330a2a60fd7f7cbd5a3786581d31,zh,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_6ad7e9478309334535e75e42,f9b7df672c22cc9b32ae03126964fb6283488e26,80c997dc9bc9becf50e310e86fb5550097076469,zh,Pedagogical Application,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_6b8dd1370125317fb38d9587,fd9950388b7289f3afde0680adfded3592259399,e8922027d8310e6add3557cc6124b73e059813c6,zh,Factual & Reasoning Accuracy,remove_reasoning_or_supporting_evidence,True,False,True,False,True,False,True,False,True,True,False,source_preference|tie|degradation
exp40a_6cd641b69a062b12e1cb0394,79f2577664431c1521fb39b31d7f80587cf19f04,ebf6383ccf11081172d762d21b7079671bd2437d,en,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_6dc87910b7132e29aedf696e,5ef9348bb9397d80c47771ea9dabc8ee74d7994e,5521f0a4e2a152535843ec29e0f211a7e46f39b4,zh,Pedagogical Application,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_6dd1f9953814d597099e4b2a,ebecfd2dc6562833d920c7c70c1619691629bb3f,f9a3b1ea300bc14ffd7aaea8a710311b094d2ca2,zh,Scenario Adaptability,remove_required_key_point,True,False,True,False,False,True,True,True,True,True,False,source_preference
exp40a_6f5b6117255df2db0d06f86c,6bc36b99f77c520d1812a8ede03437e7a66317eb,af118a044e3b1291ec846f46ee9e224b55ec6e7a,en,Scenario Adaptability,remove_reasoning_or_supporting_evidence,True,True,True,True,False,False,True,True,True,True,True,
exp40a_710e9704426b52c9d566b376,084026b6cbc0059133efd4e8e312dfa97348e4f7,eeac2b3e518b79b57507c075453c51f515a45de8,zh,Pedagogical Application,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
exp40a_717ec868fead851a2513d885,4405dca3cf5a7c3c509bb3b5ef32f805420d4b66,d3122422d778a7a742755c5826d1c14073802199,zh,Scenario Adaptability,violate_explicit_task_or_format_constraint,True,True,True,True,False,False,True,True,True,True,True,
exp40a_72293ec121b503b2984bdfe0,a4762a9463e41fd19f75a46b11b4629254702196,aa48c48cd6bf14c4713397de0e37c7971495e79d,en,Scenario Adaptability,introduce_scope_drift_or_irrelevant_content,True,True,True,True,False,False,True,True,True,True,True,
